case_study,clustering_type,cache_hits,cache_misses,hit_rate_pct,cluster_time_s_cached,cluster_time_s_uncached
gep,convex_hull,1140000,824600,58.02707930367505,,
gep,convex_hull_with_null,1182960,840040,58.4755313890262,,
gep,conical_hull,1089040,875560,55.43316705690726,,
5bus,convex_hull,1325380,639220,67.46309681360073,,
5bus,convex_hull_with_null,1314520,708480,64.97874443895205,,
5bus,conical_hull,1183400,781200,60.23618039295531,,
p2x,convex_hull,1213680,750920,61.77746106077573,,
p2x,convex_hull_with_null,1221340,801660,60.372713791398915,,
p2x,conical_hull,1188680,775920,60.50493739183549,,
118bus,convex_hull,1266980,697620,64.49048152295633,,
118bus,convex_hull_with_null,1295560,727440,64.04152249134948,,
118bus,conical_hull,1190040,774560,60.57416267942584,,
synth_dev,conical_hull,553,482,53.429951690821255,0.006854709,0.010270333
synth_dev,conical_hull,483,552,46.666666666666664,0.006018125,0.009378375
synth_dev,conical_hull,499,536,48.21256038647343,0.006349708,0.009868042
synth_dev,conical_hull,1371,719,65.59808612440192,0.01330875,0.038920708
synth_dev,conical_hull,1338,752,64.01913875598086,0.0124635,0.042235375
synth_dev,conical_hull,1428,662,68.32535885167464,0.010587167,0.041101292
synth_dev,conical_hull,2952,948,75.6923076923077,0.050964709,0.230252375
synth_dev,conical_hull,2865,1035,73.46153846153847,0.053302417,0.413158083
synth_dev,conical_hull,3119,781,79.97435897435898,0.024187708,0.225590458
synth_dev,conical_hull,5047,1273,79.85759493670886,0.119562958,0.773159375
synth_dev,conical_hull,4918,1402,77.81645569620254,0.372646667,0.749561
synth_dev,conical_hull,5428,892,85.88607594936708,0.064078,0.984733709
synth_dev,conical_hull,553,482,53.429951690821255,0.006854709,0.010982208
synth_dev,conical_hull,483,552,46.666666666666664,0.006018125,0.010391208
synth_dev,conical_hull,499,536,48.21256038647343,0.006349708,0.009086291
synth_dev,conical_hull,1371,719,65.59808612440192,0.01330875,0.039933833
synth_dev,conical_hull,1338,752,64.01913875598086,0.0124635,0.0412925
synth_dev,conical_hull,1428,662,68.32535885167464,0.010587167,0.235260417
synth_dev,conical_hull,2952,948,75.6923076923077,0.050964709,0.402511417
synth_dev,conical_hull,2865,1035,73.46153846153847,0.053302417,0.205811167
synth_dev,conical_hull,3119,781,79.97435897435898,0.024187708,0.400159625
synth_dev,conical_hull,5047,1273,79.85759493670886,0.119562958,0.739589875
synth_dev,conical_hull,4918,1402,77.81645569620254,0.372646667,1.006722541
synth_dev,conical_hull,5428,892,85.88607594936708,0.064078,1.024992833
synth_dev,conical_hull,553,482,53.429951690821255,0.006854709,0.011066458
synth_dev,conical_hull,483,552,46.666666666666664,0.006018125,0.010503166
synth_dev,conical_hull,499,536,48.21256038647343,0.006349708,0.05279275
synth_dev,conical_hull,1371,719,65.59808612440192,0.01330875,0.073126208
synth_dev,conical_hull,1338,752,64.01913875598086,0.0124635,0.042095209
synth_dev,conical_hull,1428,662,68.32535885167464,0.010587167,0.042117334
synth_dev,conical_hull,2952,948,75.6923076923077,0.050964709,0.227398
synth_dev,conical_hull,2865,1035,73.46153846153847,0.053302417,0.251247459
synth_dev,conical_hull,3119,781,79.97435897435898,0.024187708,0.446217083
synth_dev,conical_hull,5047,1273,79.85759493670886,0.119562958,0.772174333
synth_dev,conical_hull,4918,1402,77.81645569620254,0.372646667,1.00510425
synth_dev,conical_hull,5428,892,85.88607594936708,0.064078,1.155009541
synth_dev,conical_hull,553,482,53.429951690821255,0.006854709,0.010925208
synth_dev,conical_hull,483,552,46.666666666666664,0.006018125,0.0107605
synth_dev,conical_hull,499,536,48.21256038647343,0.006349708,0.009188625
synth_dev,conical_hull,1371,719,65.59808612440192,0.01330875,0.039914625
synth_dev,conical_hull,1338,752,64.01913875598086,0.0124635,0.041454041
synth_dev,conical_hull,1428,662,68.32535885167464,0.010587167,0.041806125
synth_dev,conical_hull,2952,948,75.6923076923077,0.050964709,0.407061416
synth_dev,conical_hull,2865,1035,73.46153846153847,0.053302417,0.231780208
synth_dev,conical_hull,3119,781,79.97435897435898,0.024187708,0.415442667
synth_dev,conical_hull,5047,1273,79.85759493670886,0.119562958,0.74695675
synth_dev,conical_hull,4918,1402,77.81645569620254,0.372646667,0.805034958
synth_dev,conical_hull,5428,892,85.88607594936708,0.064078,1.028644042
synth_dev,conical_hull,553,482,53.429951690821255,0.006854709,0.011009542
synth_dev,conical_hull,483,552,46.666666666666664,0.006018125,0.010536083
synth_dev,conical_hull,499,536,48.21256038647343,0.006349708,0.009276333
synth_dev,conical_hull,1371,719,65.59808612440192,0.01330875,0.03899025
synth_dev,conical_hull,1338,752,64.01913875598086,0.0124635,0.071294208
synth_dev,conical_hull,1428,662,68.32535885167464,0.010587167,0.041580625
synth_dev,conical_hull,2952,948,75.6923076923077,0.050964709,0.228515708
synth_dev,conical_hull,2865,1035,73.46153846153847,0.053302417,0.212202583
synth_dev,conical_hull,3119,781,79.97435897435898,0.024187708,0.423477041
synth_dev,conical_hull,5047,1273,79.85759493670886,0.119562958,0.770634959
synth_dev,conical_hull,4918,1402,77.81645569620254,0.372646667,0.913050333
synth_dev,conical_hull,5428,892,85.88607594936708,0.064078,1.005243959
