case_study,clustering_type,weight_type,n_rep_periods,capacity_l1_diff_pct
gep,k_means,dirac,10,76.52590708678832
gep,k_means,dirac,20,61.65053135728815
gep,k_means,dirac,40,43.23749981915336
gep,k_means,dirac,80,31.893369275193532
gep,k_means,convex,10,78.67652364344805
gep,k_means,convex,20,56.32006958525624
gep,k_means,convex,40,39.62125595922292
gep,k_means,convex,80,27.873269158379568
gep,k_means,conical_bounded,10,77.37146615043447
gep,k_means,conical_bounded,20,56.161482384724515
gep,k_means,conical_bounded,40,39.86864345597846
gep,k_means,conical_bounded,80,29.041385330028863
gep,k_means,conical,10,77.88837078519029
gep,k_means,conical,20,60.92330375597786
gep,k_means,conical,40,38.06737048755297
gep,k_means,conical,80,26.76819312167006
gep,k_medoids,dirac,10,67.42396696926554
gep,k_medoids,dirac,20,53.73368032155141
gep,k_medoids,dirac,40,34.84608023501919
gep,k_medoids,dirac,80,19.127466018347587
gep,k_medoids,convex,10,60.86247514566859
gep,k_medoids,convex,20,52.99451676795058
gep,k_medoids,convex,40,34.48193134503763
gep,k_medoids,convex,80,18.627410786934135
gep,k_medoids,conical_bounded,10,61.26775530550501
gep,k_medoids,conical_bounded,20,53.36926820779869
gep,k_medoids,conical_bounded,40,35.45109207091183
gep,k_medoids,conical_bounded,80,18.990732870252362
gep,k_medoids,conical,10,61.76096432235803
gep,k_medoids,conical,20,50.958650209877696
gep,k_medoids,conical,40,33.9761336385861
gep,k_medoids,conical,80,21.082205198635595
gep,hierarchical,dirac,10,60.03940852583513
gep,hierarchical,dirac,20,51.350287543682725
gep,hierarchical,dirac,40,28.492671155839442
gep,hierarchical,dirac,80,18.67636312445498
gep,hierarchical,convex,10,65.89331670303704
gep,hierarchical,convex,20,45.73370697872049
gep,hierarchical,convex,40,31.09861780127339
gep,hierarchical,convex,80,21.831629356177537
gep,hierarchical,conical_bounded,10,68.86831176394467
gep,hierarchical,conical_bounded,20,45.94641463329628
gep,hierarchical,conical_bounded,40,34.14232530134672
gep,hierarchical,conical_bounded,80,22.80415948566793
gep,hierarchical,conical,10,67.82839357547829
gep,hierarchical,conical,20,43.30607309230978
gep,hierarchical,conical,40,23.54572385922275
gep,hierarchical,conical,80,22.063509619587677
gep,chronological,dirac,10,73.16736670209647
gep,chronological,dirac,20,56.30622412210031
gep,chronological,dirac,40,35.04685988040881
gep,chronological,dirac,80,15.278080354966828
gep,chronological,convex,10,67.14549611685247
gep,chronological,convex,20,50.57843216141559
gep,chronological,convex,40,43.7912360465135
gep,chronological,convex,80,15.748852550592185
gep,chronological,conical_bounded,10,72.17624096027596
gep,chronological,conical_bounded,20,43.250600957412786
gep,chronological,conical_bounded,40,35.00354860299246
gep,chronological,conical_bounded,80,16.27391877097244
gep,chronological,conical,10,70.24994604426873
gep,chronological,conical,20,45.92927492816282
gep,chronological,conical,40,42.71406575892472
gep,chronological,conical,80,16.084122302157716
gep,convex_hull,dirac,10,66.91260539287381
gep,convex_hull,dirac,20,51.19463294191552
gep,convex_hull,dirac,40,32.2070072211783
