case_study,clustering_type,weight_type,n_rep_periods,total_spillage,total_borrow,max_weight_sum,eval_cost_of_operations,eval_cost_of_borrow
gep,k_means,dirac,10,0.0,0.0,1.0,3.1798383838544065e8,0.0
gep,k_means,dirac,20,0.0,0.0,1.0,1.457606383502956e8,0.0
gep,k_means,dirac,40,0.0,0.0,1.0,8.469708432955089e7,0.0
gep,k_means,dirac,80,0.0,0.0,1.0,4.7350212508743964e7,0.0
gep,k_means,convex,10,0.0,0.0,1.0000000000000002,3.2166496913471633e8,0.0
gep,k_means,convex,20,0.0,0.0,1.0000000000000002,1.5049479964553842e8,0.0
gep,k_means,convex,40,0.0,0.0,1.0000000000000004,8.235131232602029e7,0.0
gep,k_means,convex,80,0.0,0.0,1.0000000000000002,4.127157579044214e7,0.0
gep,k_means,conical_bounded,10,0.0,0.0,1.0,3.2402159285973084e8,0.0
gep,k_means,conical_bounded,20,0.0,0.0,1.0000000000000002,1.5198203456503806e8,0.0
gep,k_means,conical_bounded,40,0.0,0.0,1.0000000000000002,8.261429637914579e7,0.0
gep,k_means,conical_bounded,80,0.0,0.0,1.0000000000000002,4.119473678449316e7,0.0
gep,k_means,conical,10,0.0,0.0,1.3150429376234212,3.098110268209427e8,0.0
gep,k_means,conical,20,0.0,0.0,1.3003468145232202,1.4996477098690927e8,0.0
gep,k_means,conical,40,0.0,0.0,1.311816440936269,7.978921814564185e7,0.0
gep,k_means,conical,80,0.0,0.0,1.2690427449082375,4.0596096283763304e7,0.0
gep,k_medoids,dirac,10,0.0,0.0,1.0,2.508146692124408e8,0.0
gep,k_medoids,dirac,20,0.0,0.0,1.0,9.822279298889387e7,0.0
gep,k_medoids,dirac,40,0.0,0.0,1.0,4.581775640802978e7,0.0
gep,k_medoids,dirac,80,0.0,0.0,1.0,2.801903227370436e7,0.0
gep,k_medoids,convex,10,0.0,0.0,1.0000000000000004,2.698194079658046e8,0.0
gep,k_medoids,convex,20,0.0,0.0,1.0000000000000002,9.893279581319061e7,0.0
gep,k_medoids,convex,40,0.0,0.0,1.0000000000000004,4.46954129141197e7,0.0
gep,k_medoids,convex,80,0.0,0.0,1.0000000000000002,2.660129142532581e7,0.0
gep,k_medoids,conical_bounded,10,0.0,0.0,1.0,2.748620266741206e8,0.0
gep,k_medoids,conical_bounded,20,0.0,0.0,1.0000000000000002,1.056328784771113e8,0.0
gep,k_medoids,conical_bounded,40,0.0,0.0,1.0000000000000002,4.520336608035718e7,0.0
gep,k_medoids,conical_bounded,80,0.0,0.0,1.0000000000000002,2.6801802659479853e7,0.0
gep,k_medoids,conical,10,0.0,0.0,1.3725737929745252,2.5565492224867845e8,0.0
gep,k_medoids,conical,20,0.0,0.0,1.314915630591979,9.514936405569044e7,0.0
gep,k_medoids,conical,40,0.0,0.0,1.3542891861697888,4.31515888517067e7,0.0
gep,k_medoids,conical,80,0.0,0.0,1.3274527105991745,2.614046891839624e7,0.0
gep,hierarchical,dirac,10,0.0,0.0,1.0,1.996095539623739e8,0.0
gep,hierarchical,dirac,20,0.0,0.0,1.0,5.3418910953515425e7,0.0
gep,hierarchical,dirac,40,0.0,0.0,1.0,3.60183539669758e7,0.0
gep,hierarchical,dirac,80,0.0,0.0,1.0,2.660649349842045e7,0.0
gep,hierarchical,convex,10,0.0,0.0,1.0000000000000002,2.1042797453027418e8,0.0
gep,hierarchical,convex,20,0.0,0.0,1.0000000000000002,5.8439298801869765e7,0.0
gep,hierarchical,convex,40,0.0,0.0,1.0000000000000004,3.9756247326671004e7,0.0
gep,hierarchical,convex,80,0.0,0.0,1.0000000000000002,2.6233967278543763e7,0.0
gep,hierarchical,conical_bounded,10,0.0,0.0,1.0,2.210143998871263e8,0.0
gep,hierarchical,conical_bounded,20,0.0,0.0,1.0000000000000002,5.933123748391535e7,0.0
gep,hierarchical,conical_bounded,40,0.0,0.0,1.0000000000000002,4.003739621850443e7,0.0
gep,hierarchical,conical_bounded,80,0.0,0.0,1.0000000000000002,2.6873223284362487e7,0.0
gep,hierarchical,conical,10,0.0,0.0,1.3275587800635733,2.2682232020420402e8,0.0
gep,hierarchical,conical,20,0.0,0.0,1.457530557603171,5.473969675452267e7,0.0
gep,hierarchical,conical,40,0.0,0.0,1.3904104315193866,3.694842495147041e7,0.0
gep,hierarchical,conical,80,0.0,0.0,1.31899931800199,2.671722265747673e7,0.0
gep,chronological,dirac,10,0.0,0.0,1.0,2.05228053193069e8,0.0
gep,chronological,dirac,20,0.0,0.0,1.0,1.3516256174133557e8,0.0
gep,chronological,dirac,40,0.0,0.0,1.0,4.867618677824593e7,0.0
gep,chronological,dirac,80,0.0,0.0,1.0,2.7772882941796787e7,0.0
gep,chronological,convex,10,0.0,0.0,1.0000000000000002,1.9488102608922905e8,0.0
