case_study,clustering_type,weight_type,n_rep_periods,curtailment_mean_pct,curtailment_sd_pct,n_seeds
p2x,k_means,dirac,10,13.274178625410222,0.0,1
p2x,k_means,dirac,20,13.271820536070047,0.0,1
p2x,k_means,dirac,40,13.171045068786892,0.0,1
p2x,k_means,dirac,80,12.955667081010885,0.0,1
p2x,k_means,convex,10,13.267704998426698,0.0,1
p2x,k_means,convex,20,13.154366490519093,0.0,1
p2x,k_means,convex,40,12.979803732401061,0.0,1
p2x,k_means,convex,80,13.017029398166525,0.0,1
p2x,k_means,conical_bounded,10,13.223888678912035,0.0,1
p2x,k_means,conical_bounded,20,13.128073308627911,0.0,1
p2x,k_means,conical_bounded,40,12.957519471303986,0.0,1
p2x,k_means,conical_bounded,80,12.875303782377156,0.0,1
p2x,k_means,conical,10,13.263171355170345,0.0,1
p2x,k_means,conical,20,13.018508256371772,0.0,1
p2x,k_means,conical,40,13.198064068477311,0.0,1
p2x,k_means,conical,80,13.199439475266317,0.0,1
p2x,k_medoids,dirac,10,13.37763483658535,0.0,1
p2x,k_medoids,dirac,20,13.290423017523542,0.0,1
p2x,k_medoids,dirac,40,13.135783060070413,0.0,1
p2x,k_medoids,dirac,80,13.072658816845278,0.0,1
p2x,k_medoids,convex,10,13.111099070724118,0.0,1
p2x,k_medoids,convex,20,12.96109212835302,0.0,1
p2x,k_medoids,convex,40,13.096422432218132,0.0,1
p2x,k_medoids,convex,80,12.838769170513245,0.0,1
p2x,k_medoids,conical_bounded,10,13.151340321152464,0.0,1
p2x,k_medoids,conical_bounded,20,13.127767320689786,0.0,1
p2x,k_medoids,conical_bounded,40,13.047868390448308,0.0,1
p2x,k_medoids,conical_bounded,80,12.857776428776921,0.0,1
p2x,k_medoids,conical,10,13.155540432700722,0.0,1
p2x,k_medoids,conical,20,13.093040451570914,0.0,1
p2x,k_medoids,conical,40,13.025654293329255,0.0,1
p2x,k_medoids,conical,80,12.875559217835697,0.0,1
p2x,hierarchical,dirac,10,13.42559627072456,0.0,1
p2x,hierarchical,dirac,20,13.344955704183612,0.0,1
p2x,hierarchical,dirac,40,13.29369858677481,0.0,1
p2x,hierarchical,dirac,80,12.977923905125968,0.0,1
p2x,hierarchical,convex,10,13.18646658748215,0.0,1
p2x,hierarchical,convex,20,12.956244992128811,0.0,1
p2x,hierarchical,convex,40,13.148596212242511,0.0,1
p2x,hierarchical,convex,80,13.033532714086293,0.0,1
p2x,hierarchical,conical_bounded,10,13.206142051558489,0.0,1
p2x,hierarchical,conical_bounded,20,13.23453502570316,0.0,1
p2x,hierarchical,conical_bounded,40,12.948788215792058,0.0,1
p2x,hierarchical,conical_bounded,80,13.054566908082359,0.0,1
p2x,hierarchical,conical,10,13.174040602839648,0.0,1
p2x,hierarchical,conical,20,13.170729503556437,0.0,1
p2x,hierarchical,conical,40,13.092559421113785,0.0,1
p2x,hierarchical,conical,80,12.97679269237623,0.0,1
p2x,chronological,dirac,10,13.669469897811055,0.0,1
p2x,chronological,dirac,20,13.571122822628343,0.0,1
p2x,chronological,dirac,40,13.41874707270314,0.0,1
p2x,chronological,dirac,80,13.309793746723015,0.0,1
p2x,chronological,convex,10,13.232921636779308,0.0,1
p2x,chronological,convex,20,13.233470829696799,0.0,1
p2x,chronological,convex,40,13.190677234259013,0.0,1
p2x,chronological,convex,80,12.867616856541735,0.0,1
p2x,chronological,conical_bounded,10,13.358554836932148,0.0,1
p2x,chronological,conical_bounded,20,13.140067459492595,0.0,1
