case_study,weight_type,max_loss_of_load_pct_of_demand
5bus,dirac,3.2671195189406133
5bus,convex,3.1765644333519925
5bus,conical_bounded,2.9475889120435066
5bus,conical,3.0940498882589167
gep,dirac,2.231298608293473
gep,convex,2.4836013996187227
gep,conical_bounded,2.405942636380767
gep,conical,2.190869396747409
p2x,dirac,0.006209249837353435
p2x,convex,0.006053171730709614
p2x,conical_bounded,0.006059847504978769
p2x,conical,0.006062642958586138
118bus,dirac,0.027615394571493358
118bus,convex,6.0369245466691547e-5
118bus,conical_bounded,6.03692454666916e-5
118bus,conical,6.03692454666916e-5
