case_study,problem_class,n_rep_periods,n_variables,n_constraints,eval_n_variables,eval_n_constraints
gep,investment,1,1489306,3959534,0,0
gep,investment,10,40906,141154,1489306,3959534
gep,investment,20,81706,248714,1489306,3959534
gep,investment,40,163306,463834,1489306,3959534
gep,investment,80,326506,894074,1489306,3959534
5bus,investment,1,245294,516862,0,0
5bus,investment,10,8940,18574,245294,516862
5bus,investment,20,15680,32754,245294,516862
5bus,investment,40,29160,61114,245294,516862
5bus,investment,80,56120,117834,245294,516862
p2x,dispatch,1,5492686,11353433,0,0
p2x,dispatch,10,202712,415081,5492686,11336278
p2x,dispatch,20,353912,727091,5492686,11336278
p2x,dispatch,40,656312,1351111,5492686,11336278
p2x,dispatch,80,1261112,2599151,5492686,11336278
118bus,dispatch,1,6053205,13008705,0,0
118bus,dispatch,10,182430,389445,6053205,13003230
118bus,dispatch,20,348420,745995,6053205,13003230
118bus,dispatch,40,680400,1459095,6053205,13003230
118bus,dispatch,80,1344360,2885295,6053205,13003230
