case_study,n_rep_periods,group,clustering_type,weight_type,regret_pct,regret_sd_pct,time_s,time_sd_s
5bus,10,hull,conical_hull,dirac,12.594176389399902,0.0,0.0828009832,0.0
5bus,10,conventional,k_medoids,conical_bounded,35.39376264618141,10.5,0.12832199160000002,0.0
5bus,20,hull,conical_hull,conical_bounded,1.0559757454256635,0.0,0.32394619160000004,0.1
5bus,20,conventional,chronological,conical_bounded,23.767447485544402,0.0,0.32843539159999996,0.1
5bus,40,hull,conical_hull,conical_bounded,0.9394886350804654,0.0,0.7973662414,0.1
5bus,40,conventional,hierarchical,conical_bounded,5.619330683494028,0.0,0.9021639502,0.1
5bus,80,hull,convex_hull_with_null,dirac,0.10726783046037802,0.0,3.7186618001999996,0.1
5bus,80,conventional,chronological,dirac,0.013993842866377726,0.0,0.3826369586,0.0
gep,10,hull,conical_hull,dirac,14.171698315556336,0.0,1.855769817,0.2
gep,10,conventional,chronological,convex,249.3568921590999,0.0,1.9875313086000002,0.2
gep,20,hull,convex_hull_with_null,dirac,1.8566117625454346,0.0,6.590573941200001,0.5
gep,20,conventional,hierarchical,conical,41.924695453767846,0.0,17.389330208,0.2
gep,40,hull,convex_hull_with_null,dirac,1.2961734368933442,0.0,19.908690900199996,0.4
gep,40,conventional,hierarchical,dirac,15.955999425794932,0.0,12.9557120082,0.1
gep,80,hull,convex_hull,dirac,1.3161555589601193,0.0,49.2326940082,0.5
gep,80,conventional,hierarchical,dirac,2.3522168015970513,0.0,47.9898799502,0.4
p2x,10,hull,convex_hull,convex,5.553659677824974,0.0,3.0574686664,0.1
p2x,10,conventional,k_means,convex,6.13680556314506,0.4,2.5788903414,0.1
p2x,20,hull,convex_hull,convex,4.673415725922037,0.0,6.3286248918,0.7
p2x,20,conventional,hierarchical,conical_bounded,4.915222335504077,0.0,4.6004518424,0.1
p2x,40,hull,conical_hull,convex,3.694748180556928,0.0,13.0860711832,0.9
p2x,40,conventional,k_medoids,convex,4.1795305835639285,0.5,12.408537550599998,2.8
p2x,80,hull,convex_hull_with_null,convex,3.793043576303501,0.0,51.4192042754,0.7
p2x,80,conventional,hierarchical,convex,2.8595842401296645,0.0,26.690904274799998,0.6
118bus,10,hull,conical_hull,conical,0.7019244624690835,0.0,3.3427354334,0.6
118bus,10,conventional,k_means,convex,0.7799590490384833,0.0,2.0224569915999995,0.1
118bus,20,hull,convex_hull_with_null,conical,0.5426869973533366,0.0,5.5433928498,0.1
118bus,20,conventional,k_means,conical,0.6263404936757899,0.0,3.7670160749999995,0.4
118bus,40,hull,conical_hull,conical,0.45613948336369337,0.0,10.7528029918,0.3
118bus,40,conventional,hierarchical,conical,0.45635140613122793,0.0,8.6268870502,0.6
118bus,80,hull,conical_hull,conical,0.3320148625267416,0.0,28.7791115834,0.1
118bus,80,conventional,k_means,conical,0.35620465199711404,0.0,20.147040866999998,2.1
