case_study,n_rep_periods,proposed_total_time_s,proposed_total_time_sd_s,full_reference_time_s,full_reference_time_sd_s,proposed_faster_than_reference
gep,10,2.4840590838,0.2903436288312346,72.4177498,0.6098334493856552,true
gep,20,7.8106851829999995,0.3352718166452071,72.4177498,0.6098334493856552,true
gep,40,25.585668016600003,0.5637746830597216,72.4177498,0.6098334493856552,true
gep,80,113.5129988088,0.9064767433824683,72.4177498,0.6098334493856552,false
5bus,10,0.1074559496,0.029355397898921408,2.4476004666,0.08757796729033392,true
5bus,20,0.3247427582,0.1280333286076513,2.4476004666,0.08757796729033392,true
5bus,40,0.8186383832,0.10753885106110757,2.4476004666,0.08757796729033392,true
5bus,80,2.0534385326,0.15272608048174477,2.4476004666,0.08757796729033392,true
p2x,10,3.6051009166,0.5867135054610072,64.3240726002,0.8680623933687507,true
p2x,20,5.8247418170000005,0.5939552132833273,64.3240726002,0.8680623933687507,true
p2x,40,13.0860711832,0.869290280800003,64.3240726002,0.8680623933687507,true
p2x,80,39.6285931664,0.6364070533743424,64.3240726002,0.8680623933687507,true
118bus,10,2.6027542172,0.6962789105641256,73.91236345019999,1.4586022750881888,true
118bus,20,5.002076984,0.07767351675907638,73.91236345019999,1.4586022750881888,true
118bus,40,9.780154891799999,0.2030965036928635,73.91236345019999,1.4586022750881888,true
118bus,80,31.472124124600004,0.24390983847169742,73.91236345019999,1.4586022750881888,true
