n_rep_periods,clustering_type,weight_type,normalization,seed,regret_pct,mismatch_pct,total_time_s,time_to_preprocess,time_to_cluster,time_to_fit_weights,time_to_formulate_model,time_to_solve,time_to_read,projection_error,max_weight_sum,cache_hit_rate,pgd_total_iters,termination_status,evaluation_termination_status,n_variables,n_constraints,eval_n_variables,eval_n_constraints,case_study,problem_class,source
10,k_means,dirac,economic,653657,404.0881526470569,84.75223186956242,1.66553,0.004991583,0.15948725,1.666e-6,0.503459334,1.506041084,0.272698583,795162.5852082047,1.0,,0,OPTIMAL,OPTIMAL,40906,141154,1489306,3959534,gep,investment,tyndp
10,k_means,convex,economic,653657,393.786685938881,84.31279967162344,2.2269727919999998,0.005191125,0.257508417,0.514092208,0.498792083,1.455372167,0.272698583,759932.5195570156,1.0000000000000002,,158626,OPTIMAL,OPTIMAL,40906,141154,1489306,3959534,gep,investment,tyndp
10,k_means,conical,economic,653657,400.9486450902961,84.44872887718346,2.227419291,0.005191042,0.1559575,0.495444875,0.500346666,1.576016916,0.272698583,737895.1974825858,1.3256969764572195,,188442,OPTIMAL,OPTIMAL,40906,141154,1489306,3959534,gep,investment,tyndp
10,k_means,conical_bounded,economic,653657,385.8057749641129,84.16907201601313,2.457450375,0.005101667,0.152421917,0.5246825,0.502378875,1.780345958,0.272698583,750567.5675180029,1.0,,169302,OPTIMAL,OPTIMAL,40906,141154,1489306,3959534,gep,investment,tyndp
10,k_medoids,dirac,economic,653657,41.98408622680447,35.99035221953582,2.078315959,0.00516875,0.623086958,1.584e-6,0.445896125,1.455227417,0.272698583,966197.167859801,1.0,,0,OPTIMAL,OPTIMAL,40906,141154,1489306,3959534,gep,investment,tyndp
10,k_medoids,convex,economic,653657,43.409295426865604,35.539637511417645,1.971810249,0.005227125,0.265688958,0.051679,0.937392625,1.654442291,0.272698583,794946.5812061435,1.0000000000000002,,139453,OPTIMAL,OPTIMAL,40906,141154,1489306,3959534,gep,investment,tyndp
10,k_medoids,conical,economic,653657,43.242179616230025,35.65610129913367,2.068490375,0.004990291,0.146077,0.109217375,0.653304417,1.813196,0.272698583,764400.9837128002,1.3620904571263774,,151377,OPTIMAL,OPTIMAL,40906,141154,1489306,3959534,gep,investment,tyndp
10,k_medoids,conical_bounded,economic,653657,44.228439972342606,36.36368186741448,2.100927666,0.005236959,0.259820291,0.054760125,0.927690625,1.78634725,0.272698583,773256.2959329992,1.0,,145728,OPTIMAL,OPTIMAL,40906,141154,1489306,3959534,gep,investment,tyndp
10,hierarchical,dirac,economic,653657,255.9695831425724,77.43133395402258,2.092238917,0.005180125,0.599983042,1.75e-6,0.547486917,1.492254125,0.272698583,1.0118008254262422e6,1.0,,0,OPTIMAL,OPTIMAL,40906,141154,1489306,3959534,gep,investment,tyndp
10,hierarchical,convex,economic,653657,273.66442004445156,78.3072756800002,2.167151626,0.005165167,0.310261084,0.054008375,0.951479459,1.802882167,0.272698583,837627.0444272126,1.0000000000000002,,148064,OPTIMAL,OPTIMAL,40906,141154,1489306,3959534,gep,investment,tyndp
10,hierarchical,conical,economic,653657,298.80645668700583,79.66095437162251,2.024810833,0.005181666,0.154012625,0.091668125,0.447598708,1.779130083,0.272698583,806993.2689920596,1.3275587800635733,,161599,OPTIMAL,OPTIMAL,40906,141154,1489306,3959534,gep,investment,tyndp
