case_study,problem_class,source,n_rep_periods,clustering_type,weight_type,normalization,n_seeds,regret_mean_pct,regret_sd_pct,mismatch_mean_pct,time_mean_s,time_sd_s,is_deterministic,pareto_frontier,reasonable_in_group
gep,investment,tyndp,10,k_means,dirac,economic,5,431.656158211914,144.9,84.70912509834663,1.6624405581999997,0.0,false,false,false
gep,investment,tyndp,10,k_means,convex,economic,5,437.69983448154545,139.7,84.86353592582654,1.9885853754,0.2,false,false,false
gep,investment,tyndp,10,k_means,conical,economic,5,419.66466435303835,150.2,83.87722265000835,2.0656213414,0.3,false,false,false
gep,investment,tyndp,10,k_means,conical_bounded,economic,5,441.1210078589579,138.5,85.08165396374984,2.0989607753999997,0.3,false,false,false
gep,investment,tyndp,10,k_medoids,dirac,economic,5,341.34667937686584,272.3,71.74277978005303,1.8166866754000002,0.2,false,false,false
gep,investment,tyndp,10,k_medoids,convex,economic,5,369.8111278705339,309.2,72.08889534055884,2.2506146666,0.4,false,false,false
gep,investment,tyndp,10,k_medoids,conical,economic,5,348.37400334387615,266.4,72.08983756578205,1.970975884,0.1,false,false,false
gep,investment,tyndp,10,k_medoids,conical_bounded,economic,5,377.347167459175,293.1,73.16635596646508,2.2821314414,0.5,false,false,false
gep,investment,tyndp,10,hierarchical,dirac,economic,5,255.9695831425724,0.0,77.43133395402258,1.8218285746,0.2,true,false,false
gep,investment,tyndp,10,hierarchical,convex,economic,5,273.66442004445156,0.0,78.3072756800002,2.055824617,0.1,true,false,false
gep,investment,tyndp,10,hierarchical,conical,economic,5,298.80645668700583,0.0,79.66095437162251,2.0595381334000002,0.2,true,false,false
gep,investment,tyndp,10,hierarchical,conical_bounded,economic,5,289.78444095839325,0.0,79.37619790313747,2.3965985911999996,0.3,true,false,false
gep,investment,tyndp,10,chronological,dirac,economic,5,265.21862205635335,0.0,77.69635928310528,1.3579075498,0.3,true,true,false
gep,investment,tyndp,10,chronological,convex,economic,5,249.3568921590999,0.0,76.63874833149112,1.9875313086000002,0.2,true,false,false
gep,investment,tyndp,10,chronological,conical,economic,5,257.41205185588365,0.0,77.21045225454046,2.27904445,0.3,true,false,false
gep,investment,tyndp,10,chronological,conical_bounded,economic,5,258.3874533983377,0.0,77.4652024694951,2.3264145004,0.3,true,false,false
gep,investment,tyndp,10,convex_hull,dirac,economic,5,85.01502615019176,0.0,42.273047245426746,2.4401266747999997,0.3,true,false,false
gep,investment,tyndp,10,convex_hull,convex,economic,5,86.22847197879715,0.0,39.86674713819059,2.224279675,0.3,true,false,false
gep,investment,tyndp,10,convex_hull,conical,economic,5,89.39592810222669,0.0,41.00596026760372,2.7805197088,0.1,true,false,false
gep,investment,tyndp,10,convex_hull,conical_bounded,economic,5,88.53291382388235,0.0,41.55188142070444,2.61369795,0.4,true,false,false
gep,investment,tyndp,10,convex_hull_with_null,dirac,economic,5,18.236668459523546,2.1,26.756128086237037,2.6394319088,0.1,false,false,false
gep,investment,tyndp,10,convex_hull_with_null,convex,economic,5,22.12823683591507,0.0,29.08939302040654,2.4572748081999998,0.3,true,false,false
gep,investment,tyndp,10,convex_hull_with_null,conical,economic,5,20.753654026722245,0.0,16.619088405773716,2.5161829838,0.4,true,false,false
gep,investment,tyndp,10,convex_hull_with_null,conical_bounded,economic,5,22.32030028373748,0.0,11.220712403364901,2.8935553248,0.3,true,false,false
gep,investment,tyndp,10,conical_hull,dirac,economic,5,14.171698315556336,0.0,11.602369586291008,1.855769817,0.2,true,true,true
gep,investment,tyndp,10,conical_hull,convex,economic,5,18.685738066990076,0.0,29.47595252182972,2.4840590838,0.3,true,false,false
gep,investment,tyndp,10,conical_hull,conical,economic,5,17.05176188564248,0.0,26.33793531159848,2.7411898752,0.3,true,true,true
