case_study,clustering_type,weight_type,n_rep_periods,stage,time_mean_s,time_sd_s,method_label
gep,k_means,dirac,10,read_preprocess,0.0052742916,0.0003888696965068119,
gep,k_means,dirac,10,cluster,0.18899270819999997,0.0236086867433271,
gep,k_means,dirac,10,fit_weights,1.7914e-6,1.5588072363188459e-7,
gep,k_means,dirac,10,formulate_model,0.5000317498,0.05640626759941837,
gep,k_means,dirac,10,solve,1.4734460586,0.04658660003041533,
gep,k_means,dirac,20,read_preprocess,0.0052337752000000005,6.127933017910685e-5,
gep,k_means,dirac,20,cluster,0.27551293359999995,0.2025661678565067,
gep,k_means,dirac,20,fit_weights,1.1834e-6,5.257972993464306e-7,
gep,k_means,dirac,20,formulate_model,0.572358125,0.03729958065711458,
gep,k_means,dirac,20,solve,5.1188812166,0.753607795192516,
gep,k_means,dirac,40,read_preprocess,0.0054100834,0.0001655524425561279,
gep,k_means,dirac,40,cluster,0.1735078498,0.031717195587353975,
gep,k_means,dirac,40,fit_weights,1.0084e-6,2.8625740165103155e-7,
gep,k_means,dirac,40,formulate_model,1.0541341998,0.25892153447778277,
gep,k_means,dirac,40,solve,11.4220076418,1.8790030113524194,
gep,k_means,dirac,80,read_preprocess,0.0053532082,0.00016196824547330265,
gep,k_means,dirac,80,cluster,0.28872204160000003,0.2024948234272851,
gep,k_means,dirac,80,fit_weights,1.4334e-6,4.6260598785575615e-7,
gep,k_means,dirac,80,formulate_model,1.7381540000000002,0.31008551811938007,
gep,k_means,dirac,80,solve,30.421667125,3.9965439670517444,
gep,k_means,convex,10,read_preprocess,0.005219741599999999,4.259486690083656e-5,
gep,k_means,convex,10,cluster,0.1855063836,0.04900716778648772,
gep,k_means,convex,10,fit_weights,0.1664259334,0.194384341684068,
gep,k_means,convex,10,formulate_model,0.4521341916,0.02886615092673227,
gep,k_means,convex,10,solve,1.6366530583999999,0.1357118254312606,
gep,k_means,convex,20,read_preprocess,0.005291875,0.00013624294846706735,
gep,k_means,convex,20,cluster,0.1827633164,0.05321119991797964,
gep,k_means,convex,20,fit_weights,0.45468694200000004,0.29441910817174005,
gep,k_means,convex,20,formulate_model,0.6056184582,0.07584588415140275,
gep,k_means,convex,20,solve,11.421050258600001,2.0998812380418532,
gep,k_means,convex,40,read_preprocess,0.005437908399999999,0.0004549627798285261,
gep,k_means,convex,40,cluster,0.18562934180000001,0.05877798198224273,
gep,k_means,convex,40,fit_weights,0.8396857836,0.3410399761369962,
gep,k_means,convex,40,formulate_model,0.9149990252,0.040686706688741234,
gep,k_means,convex,40,solve,25.3776378334,8.55482402508487,
gep,k_means,convex,80,read_preprocess,0.0052894082,0.00012337258290519824,
gep,k_means,convex,80,cluster,0.20497908339999998,0.03941950027694538,
gep,k_means,convex,80,fit_weights,1.7066776918,0.0756271880448171,
gep,k_means,convex,80,formulate_model,1.5971701418,0.03375428796566882,
gep,k_means,convex,80,solve,107.05266018339998,15.021217165843929,
gep,hierarchical,dirac,10,read_preprocess,0.005236408400000001,0.00011143981242491387,
gep,hierarchical,dirac,10,cluster,0.29214375000000004,0.1819262814811801,
gep,hierarchical,dirac,10,fit_weights,1.6914e-6,4.325907997172385e-7,
gep,hierarchical,dirac,10,formulate_model,0.46507162520000006,0.04686260770977142,
gep,hierarchical,dirac,10,solve,1.5296831332,0.11719590350077043,
gep,hierarchical,dirac,20,read_preprocess,0.005232333399999999,3.2979690406369625e-5,
gep,hierarchical,dirac,20,cluster,0.3858226832,0.21460217502337364,
gep,hierarchical,dirac,20,fit_weights,1.4663999999999998e-6,3.785647896992006e-7,
gep,hierarchical,dirac,20,formulate_model,0.5936334584,0.038861646402597184,
gep,hierarchical,dirac,20,solve,5.2234574084,0.16381917372448598,
gep,hierarchical,dirac,40,read_preprocess,0.0051981252,2.66527377711935e-5,
gep,hierarchical,dirac,40,cluster,0.1829058914,0.04348341905551077,
gep,hierarchical,dirac,40,fit_weights,1.3748000000000002e-6,3.461093757759243e-7,
gep,hierarchical,dirac,40,formulate_model,0.8953981168,0.026310236596999683,
gep,hierarchical,dirac,40,solve,12.772804742,0.08201420344603777,
gep,hierarchical,dirac,80,read_preprocess,0.0052593582,0.00014798662688804006,
gep,hierarchical,dirac,80,cluster,0.1746992584,0.015186416816156938,
gep,hierarchical,dirac,80,fit_weights,1.6918e-6,2.9559042609665157e-7,
gep,hierarchical,dirac,80,formulate_model,1.7346114918000002,0.23934530661435313,
gep,hierarchical,dirac,80,solve,47.815179,0.38878939381002475,
gep,hierarchical,convex,10,read_preprocess,0.0051925332,2.125067427636121e-5,
gep,hierarchical,convex,10,cluster,0.18697258340000003,0.06903697885294252,
gep,hierarchical,convex,10,fit_weights,0.08108254179999999,0.05692235766135343,
gep,hierarchical,convex,10,formulate_model,0.5852259836,0.20938521735714338,
gep,hierarchical,convex,10,solve,1.7877694918,0.04080760527479245,
gep,hierarchical,convex,20,read_preprocess,0.0051722084,4.6933851576447494e-5,
gep,hierarchical,convex,20,cluster,0.24718252520000003,0.21383583678013418,
gep,hierarchical,convex,20,fit_weights,0.7155163754,0.19984435440857556,
gep,hierarchical,convex,20,formulate_model,0.6440340748,0.06819688613608045,
gep,hierarchical,convex,20,solve,13.17579925,0.31215476076655224,
gep,hierarchical,convex,40,read_preprocess,0.0052517252,8.862802603409347e-5,
gep,hierarchical,convex,40,cluster,0.1993440084,0.04345164326009574,
gep,hierarchical,convex,40,fit_weights,0.49615095,0.01877351963648719,
gep,hierarchical,convex,40,formulate_model,0.9678376164,0.04366351323332421,
gep,hierarchical,convex,40,solve,24.3515744418,0.38057522335672234,
gep,hierarchical,convex,80,read_preprocess,0.0052385748000000005,6.733694536582406e-5,
