case_study,clustering_type,weight_type,n_rep_periods,mean_tracking_error_pct_of_capacity,n_obs
p2x,k_means,dirac,10,12.534992127567504,16790
p2x,k_means,dirac,20,11.882406957344438,16790
p2x,k_means,dirac,40,10.585114258994455,16790
p2x,k_means,dirac,80,15.421517294497045,16790
p2x,k_means,convex,10,12.230287225471493,16790
p2x,k_means,convex,20,11.773471873369688,16790
p2x,k_means,convex,40,14.26995210457661,16790
p2x,k_means,convex,80,11.14462056416212,16790
p2x,k_means,conical_bounded,10,12.046261055069845,16790
p2x,k_means,conical_bounded,20,12.027004280123984,16790
p2x,k_means,conical_bounded,40,14.788647061239809,16790
p2x,k_means,conical_bounded,80,14.636830126144107,16790
p2x,k_means,conical,10,12.105102209907232,16790
p2x,k_means,conical,20,15.83171033727859,16790
p2x,k_means,conical,40,11.167269504939831,16790
p2x,k_means,conical,80,11.250234015308228,16790
p2x,k_medoids,dirac,10,13.364932818698012,16790
p2x,k_medoids,dirac,20,12.056506254339808,16790
p2x,k_medoids,dirac,40,13.93812726643568,16790
p2x,k_medoids,dirac,80,14.237613767740855,16790
p2x,k_medoids,convex,10,13.249949767632318,16790
p2x,k_medoids,convex,20,14.810759578828899,16790
p2x,k_medoids,convex,40,11.666754710466652,16790
p2x,k_medoids,convex,80,13.707824540904856,16790
p2x,k_medoids,conical_bounded,10,13.239821424359684,16790
p2x,k_medoids,conical_bounded,20,12.116849520774108,16790
p2x,k_medoids,conical_bounded,40,11.955841996898554,16790
p2x,k_medoids,conical_bounded,80,13.87658145379787,16790
p2x,k_medoids,conical,10,12.897082105463936,16790
p2x,k_medoids,conical,20,12.399935547491198,16790
p2x,k_medoids,conical,40,11.735599266632844,16790
p2x,k_medoids,conical,80,13.534842166781734,16790
p2x,hierarchical,dirac,10,12.985134742032143,16790
p2x,hierarchical,dirac,20,12.02778655342888,16790
p2x,hierarchical,dirac,40,11.684800509386747,16790
p2x,hierarchical,dirac,80,14.217620874088121,16790
p2x,hierarchical,convex,10,12.966730327776183,16790
p2x,hierarchical,convex,20,14.531200741590906,16790
p2x,hierarchical,convex,40,12.086185628670814,16790
p2x,hierarchical,convex,80,11.097585375355283,16790
p2x,hierarchical,conical_bounded,10,13.091843578398068,16790
p2x,hierarchical,conical_bounded,20,12.061921793911564,16790
p2x,hierarchical,conical_bounded,40,14.383344241266984,16790
p2x,hierarchical,conical_bounded,80,11.62460904270155,16790
p2x,hierarchical,conical,10,12.933084627087815,16790
p2x,hierarchical,conical,20,12.228953097567034,16790
p2x,hierarchical,conical,40,11.687983487053653,16790
p2x,hierarchical,conical,80,11.242543881288212,16790
p2x,chronological,dirac,10,17.938230594483752,16790
p2x,chronological,dirac,20,19.24978449684898,16790
p2x,chronological,dirac,40,17.57921242643247,16790
p2x,chronological,dirac,80,10.686986310551257,16790
p2x,chronological,convex,10,12.690454858704681,16790
p2x,chronological,convex,20,11.853811635649063,16790
p2x,chronological,convex,40,11.78887430227664,16790
p2x,chronological,convex,80,13.016414084967806,16790
p2x,chronological,conical_bounded,10,12.754433756023696,16790
p2x,chronological,conical_bounded,20,15.454822911425799,16790
p2x,chronological,conical_bounded,40,14.334511565851566,16790
p2x,chronological,conical_bounded,80,13.265723842324194,16790
p2x,chronological,conical,10,12.57325171594696,16790
p2x,chronological,conical,20,11.858295612161983,16790
p2x,chronological,conical,40,14.144885714771924,16790
p2x,chronological,conical,80,13.101913668045988,16790
p2x,convex_hull,dirac,10,13.803397522438335,16790
p2x,convex_hull,dirac,20,15.432768696502418,16790
p2x,convex_hull,dirac,40,14.511597093926655,16790
p2x,convex_hull,dirac,80,14.974746666237515,16790
p2x,convex_hull,convex,10,13.83549739788493,16790
p2x,convex_hull,convex,20,12.51216964999868,16790
p2x,convex_hull,convex,40,11.835608960464306,16790
p2x,convex_hull,convex,80,13.585060441844146,16790
p2x,convex_hull,conical_bounded,10,12.976256170615658,16790
p2x,convex_hull,conical_bounded,20,12.425495511542346,16790
p2x,convex_hull,conical_bounded,40,11.541186012559333,16790
p2x,convex_hull,conical_bounded,80,14.13832891796917,16790
p2x,convex_hull,conical,10,13.044156680953114,16790
p2x,convex_hull,conical,20,12.444999347736202,16790
p2x,convex_hull,conical,40,11.488670860346916,16790
p2x,convex_hull,conical,80,13.623561983646796,16790
p2x,convex_hull_with_null,dirac,10,13.522851737459971,16790
p2x,convex_hull_with_null,dirac,20,15.79043521663901,16790
p2x,convex_hull_with_null,dirac,40,14.696105430194212,16790
p2x,convex_hull_with_null,dirac,80,15.419005059373475,16790
p2x,convex_hull_with_null,convex,10,13.06941375201024,16790
p2x,convex_hull_with_null,convex,20,12.423895913819104,16790
p2x,convex_hull_with_null,convex,40,11.613505176817455,16790
p2x,convex_hull_with_null,convex,80,14.137585262262485,16790
p2x,convex_hull_with_null,conical_bounded,10,13.083428073742692,16790
p2x,convex_hull_with_null,conical_bounded,20,12.44494322548165,16790
p2x,convex_hull_with_null,conical_bounded,40,11.692509858738994,16790
p2x,convex_hull_with_null,conical_bounded,80,14.441352389060496,16790
p2x,convex_hull_with_null,conical,10,16.309398918554756,16790
p2x,convex_hull_with_null,conical,20,15.878296650525739,16790
p2x,convex_hull_with_null,conical,40,11.600430274178041,16790
p2x,convex_hull_with_null,conical,80,14.259443843126911,16790
p2x,conical_hull,dirac,10,15.129981635022455,16790
p2x,conical_hull,dirac,20,13.330178056145446,16790
p2x,conical_hull,dirac,40,15.49738714481244,16790
p2x,conical_hull,dirac,80,14.74608431241144,16790
p2x,conical_hull,convex,10,14.095650695562442,16790
p2x,conical_hull,convex,20,13.470086924514025,16790
p2x,conical_hull,convex,40,11.88418671324593,16790
p2x,conical_hull,convex,80,14.187181401730186,16790
p2x,conical_hull,conical_bounded,10,13.84204520283227,16790
p2x,conical_hull,conical_bounded,20,13.145615465205958,16790
p2x,conical_hull,conical_bounded,40,11.857804922882677,16790
p2x,conical_hull,conical_bounded,80,14.228913735243488,16790
p2x,conical_hull,conical,10,13.219091753873224,16790
p2x,conical_hull,conical,20,12.561206780877365,16790
p2x,conical_hull,conical,40,11.860425760268125,16790
p2x,conical_hull,conical,80,11.439352703746234,16790
118bus,k_means,dirac,10,3.6859387790115132,5475
118bus,k_means,dirac,20,3.98654231201273,5475
118bus,k_means,dirac,40,3.1037304918316133,5475
118bus,k_means,dirac,80,2.874231120350432,5475
118bus,k_means,convex,10,4.31713672437855,5475
118bus,k_means,convex,20,3.6873787038664108,5475
118bus,k_means,convex,40,3.008651879201396,5475
118bus,k_means,convex,80,2.6216383816575486,5475
