id,capacity_storage_energy,initial_storage_units
NL_Battery,156882,1
BE_Battery,3390,1
DE_Hydro_Reservoir,258600,1
DE_Battery,333291,1
DE_Pump_Hydro_Closed,242200,1
DE_Pump_Hydro_Open,416700,1
FR_Hydro_Reservoir,10000000,1
FR_Pump_Hydro_Closed,10000,1
FR_Pump_Hydro_Open,90000,1
UK_Battery,38796,1
UK_Pump_Hydro_Closed,26400,1
IE_Battery,156618,1
IE_Pump_Hydro_Closed,1700,1
CH_Battery,15150,1
CH_Pump_Hydro_Closed,70000,1
CH_Pump_Hydro_Open,8800000,1
AT_Hydro_Reservoir,757000,1
AT_Battery,912,1
AT_Pump_Hydro_Closed,1800,1
AT_Pump_Hydro_Open,1732600,1
LU_Pump_Hydro_Closed,5000,1
CZ_Hydro_Reservoir,2500,1
CZ_Battery,10830,1
CZ_Pump_Hydro_Closed,3700,1
CZ_Pump_Hydro_Open,2300,1
PL_Hydro_Reservoir,800,1
PL_Pump_Hydro_Closed,6300,1
PL_Pump_Hydro_Open,1500,1
SE_Hydro_Reservoir,31931326,1
SE_Battery,1629,1
NO_Pump_Hydro_Open,4560,1
NO_Hydro_Reservoir,89577400,1
ES_Hydro_Reservoir,11648500,1
ES_Battery,96000,1
ES_Pump_Hydro_Closed,99000,1
ES_Pump_Hydro_Open,5961900,1
PT_Hydro_Reservoir,1289600,1
PT_Pump_Hydro_Open,2017900,1
IT_Hydro_Reservoir,5567850,1
IT_Battery,428343,1
IT_Pump_Hydro_Closed,63000,1
IT_Pump_Hydro_Open,288990,1
SI_Battery,195,1
SI_Pump_Hydro_Closed,2600,1
HU_Battery,2862,1
SK_Hydro_Reservoir,17242,1
SK_Pump_Hydro_Closed,4100,1
SK_Pump_Hydro_Open,45550,1
LT_Battery,10974,1
LT_Pump_Hydro_Closed,10600,1
FI_Hydro_Reservoir,5530000,1
FI_Battery,17661,1
HR_Hydro_Reservoir,2045900,1
HR_Battery,1095,1
HR_Pump_Hydro_Open,18300,1
GR_Hydro_Reservoir,3600000,1
GR_Battery,99144,1
GR_Pump_Hydro_Closed,0,0
GR_Pump_Hydro_Open,4500,1
BG_Hydro_Reservoir,843000,1
BG_Pump_Hydro_Closed,9400,1
BG_Pump_Hydro_Open,255300,1
RO_Hydro_Reservoir,2425300,1
RO_Battery,4038,1
RO_Pump_Hydro_Open,1506400,1
CY_Battery,9228,1
DK_Battery,5550,1
BG_Battery,14769,1
FR_Battery,73383,1
LV_Battery,447,1
PT_Battery,9882,1
SK_Battery,7386,1
