asset,profile_type,profile
122_HYDRO_1,inflows,122_HYDRO_1_inflow
122_HYDRO_2,inflows,122_HYDRO_2_inflow
122_HYDRO_3,inflows,122_HYDRO_3_inflow
122_HYDRO_4,inflows,122_HYDRO_4_inflow
122_HYDRO_5,inflows,122_HYDRO_5_inflow
122_HYDRO_6,inflows,122_HYDRO_6_inflow
201_HYDRO_4,availability,201_HYDRO_4
215_HYDRO_1,inflows,215_HYDRO_1_inflow
215_HYDRO_2,inflows,215_HYDRO_2_inflow
215_HYDRO_3,inflows,215_HYDRO_3_inflow
222_HYDRO_1,inflows,222_HYDRO_1_inflow
222_HYDRO_2,inflows,222_HYDRO_2_inflow
222_HYDRO_3,inflows,222_HYDRO_3_inflow
222_HYDRO_4,inflows,222_HYDRO_4_inflow
222_HYDRO_5,inflows,222_HYDRO_5_inflow
222_HYDRO_6,inflows,222_HYDRO_6_inflow
322_HYDRO_1,inflows,322_HYDRO_1_inflow
322_HYDRO_2,inflows,322_HYDRO_2_inflow
322_HYDRO_3,inflows,322_HYDRO_3_inflow
322_HYDRO_4,inflows,322_HYDRO_4_inflow
320_PV_1,availability,320_PV_1
314_PV_1,availability,314_PV_1
314_PV_2,availability,314_PV_2
313_PV_1,availability,313_PV_1
314_PV_3,availability,314_PV_3
314_PV_4,availability,314_PV_4
313_PV_2,availability,313_PV_2
310_PV_1,availability,310_PV_1
324_PV_1,availability,324_PV_1
312_PV_1,availability,312_PV_1
310_PV_2,availability,310_PV_2
324_PV_2,availability,324_PV_2
324_PV_3,availability,324_PV_3
113_PV_1,availability,113_PV_1
319_PV_1,availability,319_PV_1
215_PV_1,availability,215_PV_1
102_PV_1,availability,102_PV_1
101_PV_1,availability,101_PV_1
102_PV_2,availability,102_PV_2
104_PV_1,availability,104_PV_1
212_CSP_1,inflows,212_CSP_1_inflow
101_PV_2,availability,101_PV_2
101_PV_3,availability,101_PV_3
101_PV_4,availability,101_PV_4
103_PV_1,availability,103_PV_1
119_PV_1,availability,119_PV_1
308_RTPV_1,availability,308_RTPV_1
313_RTPV_1,availability,313_RTPV_1
313_RTPV_2,availability,313_RTPV_2
313_RTPV_3,availability,313_RTPV_3
313_RTPV_4,availability,313_RTPV_4
313_RTPV_5,availability,313_RTPV_5
313_RTPV_6,availability,313_RTPV_6
313_RTPV_7,availability,313_RTPV_7
313_RTPV_8,availability,313_RTPV_8
313_RTPV_9,availability,313_RTPV_9
313_RTPV_10,availability,313_RTPV_10
313_RTPV_11,availability,313_RTPV_11
313_RTPV_12,availability,313_RTPV_12
320_RTPV_1,availability,320_RTPV_1
320_RTPV_2,availability,320_RTPV_2
320_RTPV_3,availability,320_RTPV_3
313_RTPV_13,availability,313_RTPV_13
320_RTPV_4,availability,320_RTPV_4
320_RTPV_5,availability,320_RTPV_5
118_RTPV_1,availability,118_RTPV_1
118_RTPV_2,availability,118_RTPV_2
118_RTPV_3,availability,118_RTPV_3
118_RTPV_4,availability,118_RTPV_4
118_RTPV_5,availability,118_RTPV_5
118_RTPV_6,availability,118_RTPV_6
320_RTPV_6,availability,320_RTPV_6
118_RTPV_7,availability,118_RTPV_7
118_RTPV_8,availability,118_RTPV_8
118_RTPV_9,availability,118_RTPV_9
118_RTPV_10,availability,118_RTPV_10
213_RTPV_1,availability,213_RTPV_1
309_WIND_1,availability,309_WIND_1
317_WIND_1,availability,317_WIND_1
303_WIND_1,availability,303_WIND_1
122_WIND_1,availability,122_WIND_1
101_Demand,demand,101_Demand
102_Demand,demand,102_Demand
103_Demand,demand,103_Demand
104_Demand,demand,104_Demand
105_Demand,demand,105_Demand
106_Demand,demand,106_Demand
107_Demand,demand,107_Demand
108_Demand,demand,108_Demand
109_Demand,demand,109_Demand
110_Demand,demand,110_Demand
113_Demand,demand,113_Demand
114_Demand,demand,114_Demand
115_Demand,demand,115_Demand
116_Demand,demand,116_Demand
118_Demand,demand,118_Demand
119_Demand,demand,119_Demand
120_Demand,demand,120_Demand
201_Demand,demand,201_Demand
202_Demand,demand,202_Demand
203_Demand,demand,203_Demand
204_Demand,demand,204_Demand
205_Demand,demand,205_Demand
206_Demand,demand,206_Demand
207_Demand,demand,207_Demand
208_Demand,demand,208_Demand
209_Demand,demand,209_Demand
210_Demand,demand,210_Demand
213_Demand,demand,213_Demand
214_Demand,demand,214_Demand
215_Demand,demand,215_Demand
216_Demand,demand,216_Demand
218_Demand,demand,218_Demand
219_Demand,demand,219_Demand
220_Demand,demand,220_Demand
301_Demand,demand,301_Demand
302_Demand,demand,302_Demand
303_Demand,demand,303_Demand
304_Demand,demand,304_Demand
305_Demand,demand,305_Demand
306_Demand,demand,306_Demand
307_Demand,demand,307_Demand
308_Demand,demand,308_Demand
309_Demand,demand,309_Demand
310_Demand,demand,310_Demand
313_Demand,demand,313_Demand
314_Demand,demand,314_Demand
315_Demand,demand,315_Demand
316_Demand,demand,316_Demand
318_Demand,demand,318_Demand
319_Demand,demand,319_Demand
320_Demand,demand,320_Demand
