id,initial_storage_level,peak_inflow,spillage_cost,borrow_cost,can_charge
122_HYDRO_1,500.0,50.0,0.0,10000.0,false
122_HYDRO_2,500.0,50.0,0.0,10000.0,false
122_HYDRO_3,500.0,50.0,0.0,10000.0,false
122_HYDRO_4,500.0,50.0,0.0,10000.0,false
122_HYDRO_5,500.0,50.0,0.0,10000.0,false
122_HYDRO_6,500.0,50.0,0.0,10000.0,false
215_HYDRO_1,500.0,50.0,0.0,10000.0,false
215_HYDRO_2,500.0,50.0,0.0,10000.0,false
215_HYDRO_3,500.0,50.0,0.0,10000.0,false
222_HYDRO_1,500.0,50.0,0.0,10000.0,false
222_HYDRO_2,500.0,50.0,0.0,10000.0,false
222_HYDRO_3,500.0,50.0,0.0,10000.0,false
222_HYDRO_4,500.0,50.0,0.0,10000.0,false
222_HYDRO_5,500.0,50.0,0.0,10000.0,false
222_HYDRO_6,500.0,50.0,0.0,10000.0,false
322_HYDRO_1,500.0,50.0,0.0,10000.0,false
322_HYDRO_2,500.0,50.0,0.0,10000.0,false
322_HYDRO_3,500.0,50.0,0.0,10000.0,false
322_HYDRO_4,500.0,50.0,0.0,10000.0,false
212_CSP_1,0.0,391.1,0.0,10000.0,false
