id,location,technology,unit_capacity,initial_units
101_CT_1,101,101_CT_1,20.0,1
101_CT_2,101,101_CT_2,20.0,1
101_STEAM_3,101,101_STEAM_3,76.0,1
101_STEAM_4,101,101_STEAM_4,76.0,1
102_CT_1,102,102_CT_1,20.0,1
102_CT_2,102,102_CT_2,20.0,1
102_STEAM_3,102,102_STEAM_3,76.0,1
102_STEAM_4,102,102_STEAM_4,76.0,1
107_CC_1,107,107_CC_1,355.0,1
113_CT_1,113,113_CT_1,55.0,1
113_CT_2,113,113_CT_2,55.0,1
113_CT_3,113,113_CT_3,55.0,1
113_CT_4,113,113_CT_4,55.0,1
115_STEAM_1,115,115_STEAM_1,12.0,1
115_STEAM_2,115,115_STEAM_2,12.0,1
115_STEAM_3,115,115_STEAM_3,155.0,1
116_STEAM_1,116,116_STEAM_1,155.0,1
118_CC_1,118,118_CC_1,355.0,1
123_STEAM_2,123,123_STEAM_2,155.0,1
123_STEAM_3,123,123_STEAM_3,350.0,1
123_CT_1,123,123_CT_1,55.0,1
123_CT_4,123,123_CT_4,55.0,1
123_CT_5,123,123_CT_5,55.0,1
201_CT_1,201,201_CT_1,20.0,1
201_CT_2,201,201_CT_2,20.0,1
201_STEAM_3,201,201_STEAM_3,76.0,1
202_CT_1,202,202_CT_1,20.0,1
202_CT_2,202,202_CT_2,20.0,1
202_STEAM_3,202,202_STEAM_3,76.0,1
202_STEAM_4,202,202_STEAM_4,76.0,1
207_CT_1,207,207_CT_1,55.0,1
207_CT_2,207,207_CT_2,55.0,1
213_CC_3,213,213_CC_3,355.0,1
213_CT_1,213,213_CT_1,55.0,1
213_CT_2,213,213_CT_2,55.0,1
215_CT_4,215,215_CT_4,55.0,1
215_CT_5,215,215_CT_5,55.0,1
216_STEAM_1,216,216_STEAM_1,155.0,1
218_CC_1,218,218_CC_1,355.0,1
221_CC_1,221,221_CC_1,355.0,1
223_STEAM_1,223,223_STEAM_1,155.0,1
223_STEAM_2,223,223_STEAM_2,155.0,1
223_STEAM_3,223,223_STEAM_3,350.0,1
223_CT_4,223,223_CT_4,55.0,1
223_CT_5,223,223_CT_5,55.0,1
223_CT_6,223,223_CT_6,55.0,1
301_CT_1,301,301_CT_1,20.0,1
301_CT_2,301,301_CT_2,20.0,1
301_CT_3,301,301_CT_3,55.0,1
301_CT_4,301,301_CT_4,55.0,1
302_CT_1,302,302_CT_1,20.0,1
302_CT_2,302,302_CT_2,20.0,1
302_CT_3,302,302_CT_3,55.0,1
302_CT_4,302,302_CT_4,55.0,1
307_CT_1,307,307_CT_1,55.0,1
307_CT_2,307,307_CT_2,55.0,1
313_CC_1,313,313_CC_1,355.0,1
315_STEAM_1,315,315_STEAM_1,12.0,1
315_STEAM_2,315,315_STEAM_2,12.0,1
315_STEAM_3,315,315_STEAM_3,12.0,1
315_STEAM_4,315,315_STEAM_4,12.0,1
315_STEAM_5,315,315_STEAM_5,12.0,1
315_CT_6,315,315_CT_6,55.0,1
315_CT_7,315,315_CT_7,55.0,1
315_CT_8,315,315_CT_8,55.0,1
316_STEAM_1,316,316_STEAM_1,155.0,1
318_CC_1,318,318_CC_1,355.0,1
321_CC_1,321,321_CC_1,355.0,1
322_CT_5,322,322_CT_5,55.0,1
322_CT_6,322,322_CT_6,55.0,1
323_CC_1,323,323_CC_1,355.0,1
323_CC_2,323,323_CC_2,355.0,1
121_NUCLEAR_1,121,121_NUCLEAR_1,400.0,1
122_HYDRO_1,122,122_HYDRO_1,50.0,1
122_HYDRO_2,122,122_HYDRO_2,50.0,1
122_HYDRO_3,122,122_HYDRO_3,50.0,1
122_HYDRO_4,122,122_HYDRO_4,50.0,1
122_HYDRO_5,122,122_HYDRO_5,50.0,1
122_HYDRO_6,122,122_HYDRO_6,50.0,1
201_HYDRO_4,201,201_HYDRO_4,50.0,1
215_HYDRO_1,215,215_HYDRO_1,50.0,1
215_HYDRO_2,215,215_HYDRO_2,50.0,1
215_HYDRO_3,215,215_HYDRO_3,50.0,1
222_HYDRO_1,222,222_HYDRO_1,50.0,1
222_HYDRO_2,222,222_HYDRO_2,50.0,1
222_HYDRO_3,222,222_HYDRO_3,50.0,1
222_HYDRO_4,222,222_HYDRO_4,50.0,1
222_HYDRO_5,222,222_HYDRO_5,50.0,1
222_HYDRO_6,222,222_HYDRO_6,50.0,1
322_HYDRO_1,322,322_HYDRO_1,50.0,1
322_HYDRO_2,322,322_HYDRO_2,50.0,1
322_HYDRO_3,322,322_HYDRO_3,50.0,1
322_HYDRO_4,322,322_HYDRO_4,50.0,1
320_PV_1,320,320_PV_1,51.6,1
314_PV_1,314,314_PV_1,51.6,1
314_PV_2,314,314_PV_2,51.6,1
313_PV_1,313,313_PV_1,95.1,1
314_PV_3,314,314_PV_3,92.7,1
314_PV_4,314,314_PV_4,51.6,1
313_PV_2,313,313_PV_2,93.3,1
310_PV_1,310,310_PV_1,51.7,1
324_PV_1,324,324_PV_1,49.7,1
312_PV_1,312,312_PV_1,94.1,1
310_PV_2,310,310_PV_2,51.6,1
324_PV_2,324,324_PV_2,51.6,1
324_PV_3,324,324_PV_3,51.0,1
113_PV_1,113,113_PV_1,93.6,1
319_PV_1,319,319_PV_1,188.2,1
215_PV_1,215,215_PV_1,125.1,1
102_PV_1,102,102_PV_1,25.6,1
101_PV_1,101,101_PV_1,25.9,1
