id,location,carrier,peak_demand
101_Demand,101,electricity,108.0
102_Demand,102,electricity,97.0
103_Demand,103,electricity,180.0
104_Demand,104,electricity,74.0
105_Demand,105,electricity,71.0
106_Demand,106,electricity,136.0
107_Demand,107,electricity,125.0
108_Demand,108,electricity,171.0
109_Demand,109,electricity,175.0
110_Demand,110,electricity,195.0
113_Demand,113,electricity,265.0
114_Demand,114,electricity,194.0
115_Demand,115,electricity,317.0
116_Demand,116,electricity,100.0
118_Demand,118,electricity,333.0
119_Demand,119,electricity,181.0
120_Demand,120,electricity,128.0
201_Demand,201,electricity,108.0
202_Demand,202,electricity,97.0
203_Demand,203,electricity,180.0
204_Demand,204,electricity,74.0
205_Demand,205,electricity,71.0
206_Demand,206,electricity,136.0
207_Demand,207,electricity,125.0
208_Demand,208,electricity,171.0
209_Demand,209,electricity,175.0
210_Demand,210,electricity,195.0
213_Demand,213,electricity,265.0
214_Demand,214,electricity,194.0
215_Demand,215,electricity,317.0
216_Demand,216,electricity,100.0
218_Demand,218,electricity,333.0
219_Demand,219,electricity,181.0
220_Demand,220,electricity,128.0
301_Demand,301,electricity,108.0
302_Demand,302,electricity,97.0
303_Demand,303,electricity,180.0
304_Demand,304,electricity,74.0
305_Demand,305,electricity,71.0
306_Demand,306,electricity,136.0
307_Demand,307,electricity,125.0
308_Demand,308,electricity,171.0
309_Demand,309,electricity,175.0
310_Demand,310,electricity,195.0
313_Demand,313,electricity,265.0
314_Demand,314,electricity,194.0
315_Demand,315,electricity,317.0
316_Demand,316,electricity,100.0
318_Demand,318,electricity,333.0
319_Demand,319,electricity,181.0
320_Demand,320,electricity,128.0
