id,variable_cost,ramping_rate
101_CT_1,0.135722,1.0
101_CT_2,0.135722,1.0
101_STEAM_3,0.028053,1.0
101_STEAM_4,0.028053,1.0
102_CT_1,0.151505,1.0
102_CT_2,0.151505,1.0
102_STEAM_3,0.024503,1.0
102_STEAM_4,0.024503,1.0
107_CC_1,0.028074,1.0
113_CT_1,0.05102,1.0
113_CT_2,0.05102,1.0
113_CT_3,0.05102,1.0
113_CT_4,0.05102,1.0
115_STEAM_1,0.179459,1.0
115_STEAM_2,0.179459,1.0
115_STEAM_3,0.024197,1.0
116_STEAM_1,0.027985,1.0
118_CC_1,0.028210000000000002,1.0
123_STEAM_2,0.023184,1.0
123_STEAM_3,0.025592,1.0
123_CT_1,0.049465,1.0
123_CT_4,0.049465,1.0
123_CT_5,0.049465,1.0
201_CT_1,0.144654,1.0
201_CT_2,0.144654,1.0
201_STEAM_3,0.027459,1.0
202_CT_1,0.141404,1.0
202_CT_2,0.141404,1.0
202_STEAM_3,0.025042000000000002,1.0
202_STEAM_4,0.025042000000000002,1.0
207_CT_1,0.050732,1.0
207_CT_2,0.050732,1.0
213_CC_3,0.030414,1.0
213_CT_1,0.05102,1.0
213_CT_2,0.05102,1.0
215_CT_4,0.055311,1.0
215_CT_5,0.055311,1.0
216_STEAM_1,0.023001999999999998,1.0
218_CC_1,0.044256000000000004,1.0
221_CC_1,0.026771,1.0
223_STEAM_1,0.022952,1.0
223_STEAM_2,0.022952,1.0
223_STEAM_3,0.023738,1.0
223_CT_4,0.076944,1.0
223_CT_5,0.076944,1.0
223_CT_6,0.076944,1.0
301_CT_1,0.151029,1.0
301_CT_2,0.151029,1.0
301_CT_3,0.050884,1.0
301_CT_4,0.050884,1.0
302_CT_1,0.151029,1.0
302_CT_2,0.151029,1.0
302_CT_3,0.059844,1.0
302_CT_4,0.059844,1.0
307_CT_1,0.051906,1.0
307_CT_2,0.051906,1.0
313_CC_1,0.030841,1.0
315_STEAM_1,0.149135,1.0
315_STEAM_2,0.149135,1.0
315_STEAM_3,0.149135,1.0
315_STEAM_4,0.149135,1.0
315_STEAM_5,0.149135,1.0
315_CT_6,0.040202,1.0
315_CT_7,0.040202,1.0
315_CT_8,0.040202,1.0
316_STEAM_1,0.025042000000000002,1.0
318_CC_1,0.030911,1.0
321_CC_1,0.028093,1.0
322_CT_5,0.046895000000000006,1.0
322_CT_6,0.046895000000000006,1.0
323_CC_1,0.028692,1.0
323_CC_2,0.028692,1.0
121_NUCLEAR_1,0.008103999999999998,1.0
201_HYDRO_4,0.0,1.0
320_PV_1,0.0,1.0
314_PV_1,0.0,1.0
314_PV_2,0.0,1.0
313_PV_1,0.0,1.0
314_PV_3,0.0,1.0
314_PV_4,0.0,1.0
313_PV_2,0.0,1.0
310_PV_1,0.0,1.0
324_PV_1,0.0,1.0
312_PV_1,0.0,1.0
310_PV_2,0.0,1.0
324_PV_2,0.0,1.0
324_PV_3,0.0,1.0
113_PV_1,0.0,1.0
319_PV_1,0.0,1.0
215_PV_1,0.0,1.0
102_PV_1,0.0,1.0
101_PV_1,0.0,1.0
102_PV_2,0.0,1.0
104_PV_1,0.0,1.0
101_PV_2,0.0,1.0
101_PV_3,0.0,1.0
101_PV_4,0.0,1.0
103_PV_1,0.0,1.0
119_PV_1,0.0,1.0
308_RTPV_1,0.0,1.0
313_RTPV_1,0.0,1.0
313_RTPV_2,0.0,1.0
313_RTPV_3,0.0,1.0
313_RTPV_4,0.0,1.0
313_RTPV_5,0.0,1.0
313_RTPV_6,0.0,1.0
313_RTPV_7,0.0,1.0
313_RTPV_8,0.0,1.0
313_RTPV_9,0.0,1.0
313_RTPV_10,0.0,1.0
313_RTPV_11,0.0,1.0
313_RTPV_12,0.0,1.0
320_RTPV_1,0.0,1.0
320_RTPV_2,0.0,1.0
320_RTPV_3,0.0,1.0
313_RTPV_13,0.0,1.0
320_RTPV_4,0.0,1.0
320_RTPV_5,0.0,1.0
118_RTPV_1,0.0,1.0
118_RTPV_2,0.0,1.0
118_RTPV_3,0.0,1.0
118_RTPV_4,0.0,1.0
118_RTPV_5,0.0,1.0
118_RTPV_6,0.0,1.0
320_RTPV_6,0.0,1.0
118_RTPV_7,0.0,1.0
118_RTPV_8,0.0,1.0
118_RTPV_9,0.0,1.0
118_RTPV_10,0.0,1.0
213_RTPV_1,0.0,1.0
309_WIND_1,0.0,1.0
317_WIND_1,0.0,1.0
303_WIND_1,0.0,1.0
122_WIND_1,0.0,1.0
ENS,10.0,1.0
