id,is_seasonal,efficiency_in,efficiency_out
122_HYDRO_1,true,1.0,1.0
122_HYDRO_2,true,1.0,1.0
122_HYDRO_3,true,1.0,1.0
122_HYDRO_4,true,1.0,1.0
122_HYDRO_5,true,1.0,1.0
122_HYDRO_6,true,1.0,1.0
215_HYDRO_1,true,1.0,1.0
215_HYDRO_2,true,1.0,1.0
215_HYDRO_3,true,1.0,1.0
222_HYDRO_1,true,1.0,1.0
222_HYDRO_2,true,1.0,1.0
222_HYDRO_3,true,1.0,1.0
222_HYDRO_4,true,1.0,1.0
222_HYDRO_5,true,1.0,1.0
222_HYDRO_6,true,1.0,1.0
322_HYDRO_1,true,1.0,1.0
322_HYDRO_2,true,1.0,1.0
322_HYDRO_3,true,1.0,1.0
322_HYDRO_4,true,1.0,1.0
212_CSP_1,true,1.0,1.0
313_STORAGE_1,false,1.0,1.0
