id,type,carrier_out
101_CT_1,generation,electricity
101_CT_2,generation,electricity
101_STEAM_3,generation,electricity
101_STEAM_4,generation,electricity
102_CT_1,generation,electricity
102_CT_2,generation,electricity
102_STEAM_3,generation,electricity
102_STEAM_4,generation,electricity
107_CC_1,generation,electricity
113_CT_1,generation,electricity
113_CT_2,generation,electricity
113_CT_3,generation,electricity
113_CT_4,generation,electricity
115_STEAM_1,generation,electricity
115_STEAM_2,generation,electricity
115_STEAM_3,generation,electricity
116_STEAM_1,generation,electricity
118_CC_1,generation,electricity
123_STEAM_2,generation,electricity
123_STEAM_3,generation,electricity
123_CT_1,generation,electricity
123_CT_4,generation,electricity
123_CT_5,generation,electricity
201_CT_1,generation,electricity
201_CT_2,generation,electricity
201_STEAM_3,generation,electricity
202_CT_1,generation,electricity
202_CT_2,generation,electricity
202_STEAM_3,generation,electricity
202_STEAM_4,generation,electricity
207_CT_1,generation,electricity
207_CT_2,generation,electricity
213_CC_3,generation,electricity
213_CT_1,generation,electricity
213_CT_2,generation,electricity
215_CT_4,generation,electricity
215_CT_5,generation,electricity
216_STEAM_1,generation,electricity
218_CC_1,generation,electricity
221_CC_1,generation,electricity
223_STEAM_1,generation,electricity
223_STEAM_2,generation,electricity
223_STEAM_3,generation,electricity
223_CT_4,generation,electricity
223_CT_5,generation,electricity
223_CT_6,generation,electricity
301_CT_1,generation,electricity
301_CT_2,generation,electricity
301_CT_3,generation,electricity
301_CT_4,generation,electricity
302_CT_1,generation,electricity
302_CT_2,generation,electricity
302_CT_3,generation,electricity
302_CT_4,generation,electricity
307_CT_1,generation,electricity
307_CT_2,generation,electricity
313_CC_1,generation,electricity
315_STEAM_1,generation,electricity
315_STEAM_2,generation,electricity
315_STEAM_3,generation,electricity
315_STEAM_4,generation,electricity
315_STEAM_5,generation,electricity
315_CT_6,generation,electricity
315_CT_7,generation,electricity
315_CT_8,generation,electricity
316_STEAM_1,generation,electricity
318_CC_1,generation,electricity
321_CC_1,generation,electricity
322_CT_5,generation,electricity
322_CT_6,generation,electricity
323_CC_1,generation,electricity
323_CC_2,generation,electricity
121_NUCLEAR_1,generation,electricity
122_HYDRO_1,storage,electricity
122_HYDRO_2,storage,electricity
122_HYDRO_3,storage,electricity
122_HYDRO_4,storage,electricity
122_HYDRO_5,storage,electricity
122_HYDRO_6,storage,electricity
201_HYDRO_4,generation,electricity
215_HYDRO_1,storage,electricity
215_HYDRO_2,storage,electricity
215_HYDRO_3,storage,electricity
222_HYDRO_1,storage,electricity
222_HYDRO_2,storage,electricity
222_HYDRO_3,storage,electricity
222_HYDRO_4,storage,electricity
222_HYDRO_5,storage,electricity
222_HYDRO_6,storage,electricity
322_HYDRO_1,storage,electricity
322_HYDRO_2,storage,electricity
322_HYDRO_3,storage,electricity
322_HYDRO_4,storage,electricity
320_PV_1,generation,electricity
314_PV_1,generation,electricity
314_PV_2,generation,electricity
313_PV_1,generation,electricity
314_PV_3,generation,electricity
314_PV_4,generation,electricity
313_PV_2,generation,electricity
310_PV_1,generation,electricity
324_PV_1,generation,electricity
312_PV_1,generation,electricity
310_PV_2,generation,electricity
324_PV_2,generation,electricity
324_PV_3,generation,electricity
113_PV_1,generation,electricity
319_PV_1,generation,electricity
215_PV_1,generation,electricity
102_PV_1,generation,electricity
101_PV_1,generation,electricity
102_PV_2,generation,electricity
104_PV_1,generation,electricity
212_CSP_1,storage,electricity
101_PV_2,generation,electricity
101_PV_3,generation,electricity
101_PV_4,generation,electricity
103_PV_1,generation,electricity
119_PV_1,generation,electricity
308_RTPV_1,generation,electricity
313_RTPV_1,generation,electricity
313_RTPV_2,generation,electricity
313_RTPV_3,generation,electricity
313_RTPV_4,generation,electricity
313_RTPV_5,generation,electricity
313_RTPV_6,generation,electricity
313_RTPV_7,generation,electricity
313_RTPV_8,generation,electricity
313_RTPV_9,generation,electricity
313_RTPV_10,generation,electricity
313_RTPV_11,generation,electricity
313_RTPV_12,generation,electricity
320_RTPV_1,generation,electricity
320_RTPV_2,generation,electricity
320_RTPV_3,generation,electricity
313_RTPV_13,generation,electricity
320_RTPV_4,generation,electricity
320_RTPV_5,generation,electricity
118_RTPV_1,generation,electricity
118_RTPV_2,generation,electricity
118_RTPV_3,generation,electricity
118_RTPV_4,generation,electricity
118_RTPV_5,generation,electricity
118_RTPV_6,generation,electricity
320_RTPV_6,generation,electricity
118_RTPV_7,generation,electricity
118_RTPV_8,generation,electricity
118_RTPV_9,generation,electricity
118_RTPV_10,generation,electricity
213_RTPV_1,generation,electricity
309_WIND_1,generation,electricity
317_WIND_1,generation,electricity
303_WIND_1,generation,electricity
122_WIND_1,generation,electricity
313_STORAGE_1,storage,electricity
ENS,generation,electricity
