id,from,to,carrier,export_capacity,import_capacity
A1,101,102,electricity,175.0,175.0
A2,101,103,electricity,175.0,175.0
A3,101,105,electricity,175.0,175.0
A4,102,104,electricity,175.0,175.0
A5,102,106,electricity,175.0,175.0
A6,103,109,electricity,175.0,175.0
A7,103,124,electricity,400.0,400.0
A8,104,109,electricity,175.0,175.0
A9,105,110,electricity,175.0,175.0
A10,106,110,electricity,175.0,175.0
A11,107,108,electricity,175.0,175.0
AB1,107,203,electricity,175.0,175.0
A12-1,108,109,electricity,175.0,175.0
A13-2,108,110,electricity,175.0,175.0
A14,109,111,electricity,400.0,400.0
A15,109,112,electricity,400.0,400.0
A16,110,111,electricity,400.0,400.0
A17,110,112,electricity,400.0,400.0
A18,111,113,electricity,500.0,500.0
A19,111,114,electricity,500.0,500.0
A20,112,113,electricity,500.0,500.0
A21,112,123,electricity,500.0,500.0
A22,113,123,electricity,500.0,500.0
AB2,113,215,electricity,500.0,500.0
A23,114,116,electricity,500.0,500.0
A24,115,116,electricity,500.0,500.0
A25-1,115,121,electricity,500.0,500.0
A25-2,115,121,electricity,500.0,500.0
A26,115,124,electricity,500.0,500.0
A27,116,117,electricity,500.0,500.0
A28,116,119,electricity,500.0,500.0
A29,117,118,electricity,500.0,500.0
A30,117,122,electricity,500.0,500.0
A31-1,118,121,electricity,500.0,500.0
A31-2,118,121,electricity,500.0,500.0
A32-1,119,120,electricity,500.0,500.0
A32-2,119,120,electricity,500.0,500.0
A33-1,120,123,electricity,500.0,500.0
A33-2,120,123,electricity,500.0,500.0
A34,121,122,electricity,500.0,500.0
AB3,123,217,electricity,500.0,500.0
B1,201,202,electricity,175.0,175.0
B2,201,203,electricity,175.0,175.0
B3,201,205,electricity,175.0,175.0
B4,202,204,electricity,175.0,175.0
B5,202,206,electricity,175.0,175.0
B6,203,209,electricity,175.0,175.0
B7,203,224,electricity,400.0,400.0
B8,204,209,electricity,175.0,175.0
B9,205,210,electricity,175.0,175.0
B10,206,210,electricity,175.0,175.0
B11,207,208,electricity,175.0,175.0
B12-1,208,209,electricity,175.0,175.0
B13-2,208,210,electricity,175.0,175.0
B14,209,211,electricity,400.0,400.0
B15,209,212,electricity,400.0,400.0
B16,210,211,electricity,400.0,400.0
B17,210,212,electricity,400.0,400.0
B18,211,213,electricity,500.0,500.0
B19,211,214,electricity,500.0,500.0
B20,212,213,electricity,500.0,500.0
B21,212,223,electricity,500.0,500.0
B22,213,223,electricity,500.0,500.0
B23,214,216,electricity,500.0,500.0
B24,215,216,electricity,500.0,500.0
B25-1,215,221,electricity,500.0,500.0
B25-2,215,221,electricity,500.0,500.0
B26,215,224,electricity,500.0,500.0
B27,216,217,electricity,500.0,500.0
B28,216,219,electricity,500.0,500.0
B29,217,218,electricity,500.0,500.0
B30,217,222,electricity,500.0,500.0
B31-1,218,221,electricity,500.0,500.0
B31-2,218,221,electricity,500.0,500.0
B32-1,219,220,electricity,500.0,500.0
B32-2,219,220,electricity,500.0,500.0
B33-1,220,223,electricity,500.0,500.0
B33-2,220,223,electricity,500.0,500.0
B34,221,222,electricity,500.0,500.0
C1,301,302,electricity,175.0,175.0
C2,301,303,electricity,175.0,175.0
C3,301,305,electricity,175.0,175.0
C4,302,304,electricity,175.0,175.0
C5,302,306,electricity,175.0,175.0
C6,303,309,electricity,175.0,175.0
C7,303,324,electricity,400.0,400.0
C8,304,309,electricity,175.0,175.0
C9,305,310,electricity,175.0,175.0
C10,306,310,electricity,175.0,175.0
C11,307,308,electricity,175.0,175.0
C12-1,308,309,electricity,175.0,175.0
C13-2,308,310,electricity,175.0,175.0
C14,309,311,electricity,400.0,400.0
C15,309,312,electricity,400.0,400.0
C16,310,311,electricity,400.0,400.0
C17,310,312,electricity,400.0,400.0
C18,311,313,electricity,500.0,500.0
C19,311,314,electricity,500.0,500.0
C20,312,313,electricity,500.0,500.0
C21,312,323,electricity,500.0,500.0
C22,313,323,electricity,500.0,500.0
C23,314,316,electricity,500.0,500.0
C24,315,316,electricity,500.0,500.0
C25-1,315,321,electricity,500.0,500.0
C25-2,315,321,electricity,500.0,500.0
C26,315,324,electricity,500.0,500.0
C27,316,317,electricity,500.0,500.0
C28,316,319,electricity,500.0,500.0
C29,317,318,electricity,500.0,500.0
C30,317,322,electricity,500.0,500.0
C31-1,318,321,electricity,500.0,500.0
C31-2,318,321,electricity,500.0,500.0
C32-1,319,320,electricity,500.0,500.0
C32-2,319,320,electricity,500.0,500.0
C33-1,320,323,electricity,500.0,500.0
C33-2,320,323,electricity,500.0,500.0
C34,321,322,electricity,500.0,500.0
CA-1,325,121,electricity,500.0,500.0
CB-1,318,223,electricity,500.0,500.0
C35,323,325,electricity,722.0,722.0
