asset,profile_type,profile
Hydro 01,inflows,Hydro 01_inflow
Hydro 02,inflows,Hydro 02_inflow
Hydro 03,inflows,Hydro 03_inflow
Hydro 04,inflows,Hydro 04_inflow
Hydro 05,inflows,Hydro 05_inflow
Hydro 06,inflows,Hydro 06_inflow
Hydro 07,inflows,Hydro 07_inflow
Hydro 08,inflows,Hydro 08_inflow
Hydro 09,inflows,Hydro 09_inflow
Hydro 10,inflows,Hydro 10_inflow
Hydro 11,inflows,Hydro 11_inflow
Hydro 12,inflows,Hydro 12_inflow
Hydro 13,inflows,Hydro 13_inflow
Hydro 14,inflows,Hydro 14_inflow
Hydro 15,inflows,Hydro 15_inflow
Hydro 16,availability,Hydro 16
Hydro 17,availability,Hydro 17
Hydro 18,availability,Hydro 18
Hydro 19,availability,Hydro 19
Hydro 20,availability,Hydro 20
Hydro 21,availability,Hydro 21
Hydro 22,availability,Hydro 22
Hydro 23,availability,Hydro 23
Hydro 24,availability,Hydro 24
Hydro 25,availability,Hydro 25
Hydro 26,availability,Hydro 26
Hydro 27,availability,Hydro 27
Hydro 28,availability,Hydro 28
Hydro 29,availability,Hydro 29
Hydro 30,availability,Hydro 30
Hydro 31,availability,Hydro 31
Hydro 32,availability,Hydro 32
Hydro 33,availability,Hydro 33
Hydro 34,availability,Hydro 34
Hydro 35,availability,Hydro 35
Hydro 36,availability,Hydro 36
Hydro 37,availability,Hydro 37
Hydro 38,availability,Hydro 38
Hydro 39,availability,Hydro 39
Hydro 40,availability,Hydro 40
Hydro 41,availability,Hydro 41
Hydro 42,availability,Hydro 42
Hydro 43,availability,Hydro 43
Solar 01,availability,Solar 01
Solar 02,availability,Solar 02
Solar 03,availability,Solar 03
Solar 04,availability,Solar 04
Solar 05,availability,Solar 05
Solar 06,availability,Solar 06
Solar 07,availability,Solar 07
Solar 08,availability,Solar 08
Solar 09,availability,Solar 09
Solar 10,availability,Solar 10
Solar 11,availability,Solar 11
Solar 12,availability,Solar 12
Solar 13,availability,Solar 13
Solar 14,availability,Solar 14
Solar 15,availability,Solar 15
Solar 16,availability,Solar 16
Solar 17,availability,Solar 17
Solar 18,availability,Solar 18
Solar 19,availability,Solar 19
Solar 20,availability,Solar 20
Solar 21,availability,Solar 21
Solar 22,availability,Solar 22
Solar 23,availability,Solar 23
Solar 24,availability,Solar 24
Solar 25,availability,Solar 25
Solar 26,availability,Solar 26
Solar 27,availability,Solar 27
Solar 28,availability,Solar 28
Solar 29,availability,Solar 29
Solar 30,availability,Solar 30
