id,initial_storage_level,peak_inflow,spillage_cost,borrow_cost,can_charge
Hydro 01,165150.0,44.395,0.0,10.0,true
Hydro 02,165150.0,44.395,0.0,10.0,true
Hydro 03,234780.0,63.113,0.0,10.0,true
Hydro 04,234780.0,63.113,0.0,10.0,true
Hydro 05,164050.0,45.569,0.0,10.0,true
Hydro 06,349200.0,93.871,0.0,10.0,true
Hydro 07,349200.0,93.871,0.0,10.0,true
Hydro 08,349200.0,93.871,0.0,10.0,true
Hydro 09,349200.0,93.871,0.0,10.0,true
Hydro 10,349200.0,93.871,0.0,10.0,true
Hydro 11,204650.0,55.013,0.0,10.0,true
Hydro 12,204700.0,55.027,0.0,10.0,true
Hydro 13,86900.0,23.36,0.0,10.0,true
Hydro 14,290715.0,78.149,0.0,10.0,true
Hydro 15,370005.0,99.464,0.0,10.0,true
