id,location,carrier,peak_demand
bus070_Demand,bus070,electricity,101.235
bus031_Demand,bus031,electricity,205.647
bus048_Demand,bus048,electricity,101.235
bus055_Demand,bus055,electricity,101.235
bus004_Demand,bus004,electricity,205.647
bus104_Demand,bus104,electricity,179.981
bus043_Demand,bus043,electricity,101.235
bus074_Demand,bus074,electricity,101.235
bus017_Demand,bus017,electricity,205.647
bus076_Demand,bus076,electricity,101.235
bus040_Demand,bus040,electricity,205.647
bus064_Demand,bus064,electricity,101.235
bus114_Demand,bus114,electricity,179.981
bus032_Demand,bus032,electricity,205.647
bus054_Demand,bus054,electricity,101.235
bus021_Demand,bus021,electricity,205.647
bus116_Demand,bus116,electricity,179.981
bus091_Demand,bus091,electricity,179.981
bus096_Demand,bus096,electricity,179.981
bus037_Demand,bus037,electricity,205.647
bus016_Demand,bus016,electricity,205.647
bus112_Demand,bus112,electricity,179.981
bus012_Demand,bus012,electricity,205.647
bus022_Demand,bus022,electricity,205.647
bus045_Demand,bus045,electricity,101.235
bus067_Demand,bus067,electricity,101.235
bus009_Demand,bus009,electricity,205.647
bus058_Demand,bus058,electricity,101.235
bus003_Demand,bus003,electricity,205.647
bus051_Demand,bus051,electricity,101.235
bus056_Demand,bus056,electricity,101.235
bus099_Demand,bus099,electricity,179.981
bus100_Demand,bus100,electricity,179.981
bus105_Demand,bus105,electricity,179.981
bus109_Demand,bus109,electricity,179.981
bus110_Demand,bus110,electricity,179.981
bus019_Demand,bus019,electricity,205.647
bus039_Demand,bus039,electricity,205.647
bus084_Demand,bus084,electricity,101.235
bus081_Demand,bus081,electricity,101.235
bus036_Demand,bus036,electricity,205.647
bus089_Demand,bus089,electricity,101.235
bus063_Demand,bus063,electricity,101.235
bus098_Demand,bus098,electricity,179.981
bus046_Demand,bus046,electricity,101.235
bus006_Demand,bus006,electricity,205.647
bus052_Demand,bus052,electricity,101.235
bus065_Demand,bus065,electricity,101.235
bus010_Demand,bus010,electricity,205.647
bus028_Demand,bus028,electricity,205.647
bus073_Demand,bus073,electricity,101.235
bus034_Demand,bus034,electricity,205.647
bus115_Demand,bus115,electricity,179.981
bus068_Demand,bus068,electricity,101.235
bus020_Demand,bus020,electricity,205.647
bus044_Demand,bus044,electricity,101.235
bus072_Demand,bus072,electricity,101.235
bus086_Demand,bus086,electricity,101.235
bus033_Demand,bus033,electricity,205.647
bus079_Demand,bus079,electricity,101.235
bus062_Demand,bus062,electricity,101.235
bus087_Demand,bus087,electricity,101.235
bus001_Demand,bus001,electricity,205.647
bus029_Demand,bus029,electricity,205.647
bus101_Demand,bus101,electricity,179.981
bus102_Demand,bus102,electricity,179.981
bus090_Demand,bus090,electricity,101.235
bus053_Demand,bus053,electricity,101.235
bus013_Demand,bus013,electricity,205.647
bus083_Demand,bus083,electricity,101.235
bus097_Demand,bus097,electricity,179.981
bus041_Demand,bus041,electricity,205.647
bus005_Demand,bus005,electricity,205.647
bus078_Demand,bus078,electricity,101.235
bus093_Demand,bus093,electricity,179.981
bus038_Demand,bus038,electricity,205.647
bus002_Demand,bus002,electricity,205.647
bus103_Demand,bus103,electricity,179.981
bus049_Demand,bus049,electricity,101.235
bus082_Demand,bus082,electricity,101.235
bus094_Demand,bus094,electricity,179.981
bus117_Demand,bus117,electricity,179.981
bus018_Demand,bus018,electricity,205.647
bus023_Demand,bus023,electricity,205.647
bus080_Demand,bus080,electricity,101.235
bus092_Demand,bus092,electricity,179.981
bus015_Demand,bus015,electricity,205.647
bus057_Demand,bus057,electricity,101.235
bus011_Demand,bus011,electricity,205.647
bus108_Demand,bus108,electricity,179.981
bus085_Demand,bus085,electricity,101.235
bus008_Demand,bus008,electricity,205.647
bus075_Demand,bus075,electricity,101.235
bus077_Demand,bus077,electricity,101.235
bus042_Demand,bus042,electricity,205.647
bus024_Demand,bus024,electricity,205.647
bus025_Demand,bus025,electricity,205.647
bus030_Demand,bus030,electricity,205.647
bus088_Demand,bus088,electricity,101.235
bus106_Demand,bus106,electricity,179.981
bus014_Demand,bus014,electricity,205.647
bus047_Demand,bus047,electricity,101.235
bus095_Demand,bus095,electricity,179.981
bus111_Demand,bus111,electricity,179.981
bus061_Demand,bus061,electricity,101.235
bus118_Demand,bus118,electricity,179.981
bus066_Demand,bus066,electricity,101.235
bus069_Demand,bus069,electricity,101.235
bus113_Demand,bus113,electricity,179.981
bus027_Demand,bus027,electricity,205.647
bus071_Demand,bus071,electricity,101.235
bus035_Demand,bus035,electricity,205.647
bus060_Demand,bus060,electricity,101.235
bus007_Demand,bus007,electricity,205.647
bus026_Demand,bus026,electricity,205.647
bus107_Demand,bus107,electricity,179.981
bus050_Demand,bus050,electricity,101.235
bus059_Demand,bus059,electricity,101.235
