id,variable_cost,ramping_rate
Biomass 01,0.03100,1.0
Biomass 02,0.03100,1.0
Biomass 03,0.03100,1.0
Biomass 04,0.03100,1.0
Biomass 05,0.03100,1.0
Biomass 06,0.03100,1.0
Biomass 07,0.03100,1.0
Biomass 08,0.03100,1.0
Biomass 09,0.03100,1.0
Biomass 10,0.03100,1.0
Biomass 11,0.03100,1.0
Biomass 12,0.03100,1.0
Biomass 13,0.03100,1.0
Biomass 14,0.03100,1.0
Biomass 15,0.03100,1.0
Biomass 16,0.03100,1.0
Biomass 17,0.03100,1.0
Biomass 18,0.03100,1.0
Biomass 19,0.03100,1.0
Biomass 20,0.03100,1.0
Biomass 21,0.03100,1.0
Biomass 22,0.03100,1.0
Biomass 23,0.03100,1.0
Biomass 24,0.03100,1.0
Biomass 25,0.03100,1.0
Biomass 26,0.03167,1.0
Biomass 27,0.03167,1.0
Biomass 28,0.03167,1.0
Biomass 29,0.03167,1.0
Biomass 30,0.03167,1.0
Biomass 31,0.03167,1.0
Biomass 32,0.03100,1.0
Biomass 33,0.03036,1.0
Biomass 34,0.03036,1.0
Biomass 35,0.03036,1.0
Biomass 36,0.03036,1.0
Biomass 37,0.03100,1.0
Biomass 38,0.03100,1.0
Biomass 39,0.03100,1.0
Biomass 40,0.03100,1.0
Biomass 41,0.03100,1.0
Biomass 42,0.03100,1.0
Biomass 43,0.02807,1.0
Biomass 44,0.03100,1.0
Biomass 45,0.03100,1.0
Biomass 46,0.03100,1.0
Biomass 47,0.03515,1.0
Biomass 48,0.03515,1.0
Biomass 49,0.03100,1.0
Biomass 50,0.03100,1.0
Biomass 51,0.03100,1.0
Biomass 52,0.03100,1.0
Biomass 53,0.03100,1.0
Biomass 54,0.03100,1.0
Biomass 55,0.03100,1.0
Biomass 56,0.03100,1.0
Biomass 57,0.03100,1.0
Biomass 58,0.03100,1.0
Biomass 59,0.03100,1.0
Biomass 60,0.03100,1.0
Biomass 61,0.03100,1.0
Biomass 62,0.03431,1.0
CC NG 01,0.03612,1.0
CC NG 03,0.02888,1.0
CC NG 04,0.03597,1.0
CC NG 05,0.03008,1.0
CC NG 06,0.05371,1.0
CC NG 07,0.03612,1.0
CC NG 08,0.03978,1.0
CC NG 09,0.03978,1.0
CC NG 10,0.04798,1.0
CC NG 11,0.03305,1.0
CC NG 12,0.05107,1.0
CC NG 13,0.03612,1.0
CC NG 14,0.04276,1.0
CC NG 15,0.06052,1.0
CC NG 16,0.03223,1.0
CC NG 17,0.03558,1.0
CC NG 18,0.03487,1.0
CC NG 19,0.03047,1.0
CC NG 20,0.03612,1.0
CC NG 21,0.04467,1.0
