id,initial_storage_level,peak_inflow,spillage_cost,borrow_cost,can_charge
Hydro 01,16515.0,44.395,0.0,10000.0,false
Hydro 02,16515.0,44.395,0.0,10000.0,false
Hydro 03,23478.0,63.113,0.0,10000.0,false
Hydro 04,23478.0,63.113,0.0,10000.0,false
Hydro 05,16405.0,45.569,0.0,10000.0,false
Hydro 06,34920.0,93.871,0.0,10000.0,false
Hydro 07,34920.0,93.871,0.0,10000.0,false
Hydro 08,34920.0,93.871,0.0,10000.0,false
Hydro 09,34920.0,93.871,0.0,10000.0,false
Hydro 10,34920.0,93.871,0.0,10000.0,false
Hydro 11,20465.0,55.013,0.0,10000.0,false
Hydro 12,20470.0,55.027,0.0,10000.0,false
Hydro 13,8690.0,23.36,0.0,10000.0,false
Hydro 14,29071.5,78.149,0.0,10000.0,false
Hydro 15,37000.5,99.464,0.0,10000.0,false
