timestep,Hydro 01_inflow,Hydro 02_inflow,Hydro 03_inflow,Hydro 04_inflow,Hydro 05_inflow,Hydro 06_inflow,Hydro 07_inflow,Hydro 08_inflow,Hydro 09_inflow,Hydro 10_inflow,Hydro 11_inflow,Hydro 12_inflow,Hydro 13_inflow,Hydro 14_inflow,Hydro 15_inflow,Hydro 16,Hydro 17,Hydro 18,Hydro 19,Hydro 20,Hydro 21,Hydro 22,Hydro 23,Hydro 24,Hydro 25,Hydro 26,Hydro 27,Hydro 28,Hydro 29,Hydro 30,Hydro 31,Hydro 32,Hydro 33,Hydro 34,Hydro 35,Hydro 36,Hydro 37,Hydro 38,Hydro 39,Hydro 40,Hydro 41,Hydro 42,Hydro 43,Solar 01,Solar 02,Solar 03,Solar 04,Solar 05,Solar 06,Solar 07,Solar 08,Solar 09,Solar 10,Solar 11,Solar 12,Solar 13,Solar 14,Solar 15,Solar 16,Solar 17,Solar 18,Solar 19,Solar 20,Solar 21,Solar 22,Solar 23,Solar 24,Solar 25,Solar 26,Solar 27,Solar 28,Solar 29,Solar 30,Solar 31,Solar 32,Solar 33,Solar 34,Solar 35,Solar 36,Solar 37,Solar 38,Solar 39,Solar 40,Solar 41,Solar 42,Solar 43,Solar 44,Solar 45,Solar 46,Solar 47,Solar 48,Solar 49,Solar 50,Solar 51,Solar 52,Solar 53,Solar 54,Solar 55,Solar 56,Solar 57,Solar 58,Solar 59,Solar 60,Solar 61,Solar 62,Solar 63,Solar 64,Solar 65,Solar 66,Solar 67,Solar 68,Solar 69,Solar 70,Solar 71,Solar 72,Solar 73,Solar 74,Solar 75,Wind 01,Wind 02,Wind 03,Wind 04,Wind 05,Wind 06,Wind 07,Wind 08,Wind 09,Wind 10,Wind 11,Wind 12,Wind 13,Wind 14,Wind 15,Wind 16,Wind 17,bus070_Demand,bus031_Demand,bus048_Demand,bus055_Demand,bus004_Demand,bus104_Demand,bus043_Demand,bus074_Demand,bus017_Demand,bus076_Demand,bus040_Demand,bus064_Demand,bus114_Demand,bus032_Demand,bus054_Demand,bus021_Demand,bus116_Demand,bus091_Demand,bus096_Demand,bus037_Demand,bus016_Demand,bus112_Demand,bus012_Demand,bus022_Demand,bus045_Demand,bus067_Demand,bus009_Demand,bus058_Demand,bus003_Demand,bus051_Demand,bus056_Demand,bus099_Demand,bus100_Demand,bus105_Demand,bus109_Demand,bus110_Demand,bus019_Demand,bus039_Demand,bus084_Demand,bus081_Demand,bus036_Demand,bus089_Demand,bus063_Demand,bus098_Demand,bus046_Demand,bus006_Demand,bus052_Demand,bus065_Demand,bus010_Demand,bus028_Demand,bus073_Demand,bus034_Demand,bus115_Demand,bus068_Demand,bus020_Demand,bus044_Demand,bus072_Demand,bus086_Demand,bus033_Demand,bus079_Demand,bus062_Demand,bus087_Demand,bus001_Demand,bus029_Demand,bus101_Demand,bus102_Demand,bus090_Demand,bus053_Demand,bus013_Demand,bus083_Demand,bus097_Demand,bus041_Demand,bus005_Demand,bus078_Demand,bus093_Demand,bus038_Demand,bus002_Demand,bus103_Demand,bus049_Demand,bus082_Demand,bus094_Demand,bus117_Demand,bus018_Demand,bus023_Demand,bus080_Demand,bus092_Demand,bus015_Demand,bus057_Demand,bus011_Demand,bus108_Demand,bus085_Demand,bus008_Demand,bus075_Demand,bus077_Demand,bus042_Demand,bus024_Demand,bus025_Demand,bus030_Demand,bus088_Demand,bus106_Demand,bus014_Demand,bus047_Demand,bus095_Demand,bus111_Demand,bus061_Demand,bus118_Demand,bus066_Demand,bus069_Demand,bus113_Demand,bus027_Demand,bus071_Demand,bus035_Demand,bus060_Demand,bus007_Demand,bus026_Demand,bus107_Demand,bus050_Demand,bus059_Demand
1,0.434,0.434,0.408,0.408,0.464,0.185,0.185,0.185,0.185,0.185,0.067,0.067,0.743,0.292,0.292,0.213,0.213,0.213,0.004,0.018,0.018,0.018,0.0,0.0,0.029,0.029,0.029,0.0,0.0,0.213,0.213,0.213,0.003,0.003,0.213,0.047,0.047,0.0,0.0,0.006,0.027,0.027,0.011,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.267,0.431,0.239,0.134,0.78,0.152,0.322,0.801,0.746,0.751,0.399,0.149,0.112,0.02,0.149,0.011,0.064,0.367,0.588,0.367,0.367,0.588,0.441,0.367,0.367,0.588,0.367,0.588,0.367,0.441,0.588,0.367,0.588,0.441,0.441,0.441,0.588,0.588,0.441,0.588,0.588,0.367,0.367,0.588,0.367,0.588,0.367,0.367,0.441,0.441,0.441,0.441,0.441,0.588,0.588,0.367,0.367,0.588,0.367,0.367,0.441,0.367,0.588,0.367,0.367,0.588,0.588,0.367,0.588,0.441,0.367,0.588,0.367,0.367,0.367,0.588,0.367,0.367,0.367,0.588,0.588,0.441,0.441,0.367,0.367,0.588,0.367,0.441,0.588,0.588,0.367,0.441,0.588,0.588,0.441,0.367,0.367,0.441,0.441,0.588,0.588,0.367,0.441,0.588,0.367,0.588,0.441,0.367,0.588,0.367,0.367,0.588,0.588,0.588,0.588,0.367,0.441,0.588,0.367,0.441,0.441,0.367,0.441,0.367,0.367,0.441,0.588,0.367,0.588,0.367,0.588,0.588,0.441,0.367,0.367
2,0.434,0.434,0.408,0.408,0.464,0.185,0.185,0.185,0.185,0.185,0.067,0.067,0.743,0.292,0.292,0.214,0.214,0.214,0.0,0.01,0.01,0.01,0.0,0.0,0.029,0.029,0.029,0.0,0.0,0.214,0.214,0.214,0.003,0.003,0.214,0.047,0.047,0.0,0.0,0.001,0.027,0.027,0.002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.298,0.473,0.269,0.16,0.815,0.162,0.354,0.837,0.781,0.787,0.432,0.158,0.118,0.021,0.149,0.01,0.06,0.349,0.553,0.349,0.349,0.553,0.424,0.349,0.349,0.553,0.349,0.553,0.349,0.424,0.553,0.349,0.553,0.424,0.424,0.424,0.553,0.553,0.424,0.553,0.553,0.349,0.349,0.553,0.349,0.553,0.349,0.349,0.424,0.424,0.424,0.424,0.424,0.553,0.553,0.349,0.349,0.553,0.349,0.349,0.424,0.349,0.553,0.349,0.349,0.553,0.553,0.349,0.553,0.424,0.349,0.553,0.349,0.349,0.349,0.553,0.349,0.349,0.349,0.553,0.553,0.424,0.424,0.349,0.349,0.553,0.349,0.424,0.553,0.553,0.349,0.424,0.553,0.553,0.424,0.349,0.349,0.424,0.424,0.553,0.553,0.349,0.424,0.553,0.349,0.553,0.424,0.349,0.553,0.349,0.349,0.553,0.553,0.553,0.553,0.349,0.424,0.553,0.349,0.424,0.424,0.349,0.424,0.349,0.349,0.424,0.553,0.349,0.553,0.349,0.553,0.553,0.424,0.349,0.349
3,0.434,0.434,0.408,0.408,0.464,0.185,0.185,0.185,0.185,0.185,0.067,0.067,0.743,0.292,0.292,0.216,0.216,0.216,0.0,0.01,0.01,0.01,0.0,0.0,0.029,0.029,0.029,0.0,0.0,0.216,0.216,0.216,0.004,0.004,0.216,0.047,0.047,0.0,0.0,0.001,0.027,0.027,0.002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.315,0.51,0.298,0.188,0.842,0.17,0.375,0.866,0.809,0.815,0.459,0.163,0.124,0.021,0.147,0.009,0.057,0.334,0.541,0.334,0.334,0.541,0.404,0.334,0.334,0.541,0.334,0.541,0.334,0.404,0.541,0.334,0.541,0.404,0.404,0.404,0.541,0.541,0.404,0.541,0.541,0.334,0.334,0.541,0.334,0.541,0.334,0.334,0.404,0.404,0.404,0.404,0.404,0.541,0.541,0.334,0.334,0.541,0.334,0.334,0.404,0.334,0.541,0.334,0.334,0.541,0.541,0.334,0.541,0.404,0.334,0.541,0.334,0.334,0.334,0.541,0.334,0.334,0.334,0.541,0.541,0.404,0.404,0.334,0.334,0.541,0.334,0.404,0.541,0.541,0.334,0.404,0.541,0.541,0.404,0.334,0.334,0.404,0.404,0.541,0.541,0.334,0.404,0.541,0.334,0.541,0.404,0.334,0.541,0.334,0.334,0.541,0.541,0.541,0.541,0.334,0.404,0.541,0.334,0.404,0.404,0.334,0.404,0.334,0.334,0.404,0.541,0.334,0.541,0.334,0.541,0.541,0.404,0.334,0.334
4,0.434,0.434,0.408,0.408,0.464,0.185,0.185,0.185,0.185,0.185,0.067,0.067,0.743,0.292,0.292,0.216,0.216,0.216,0.0,0.01,0.01,0.01,0.0,0.0,0.029,0.029,0.029,0.0,0.0,0.216,0.216,0.216,0.004,0.004,0.216,0.047,0.047,0.0,0.0,0.001,0.027,0.027,0.002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.326,0.544,0.334,0.224,0.862,0.178,0.39,0.888,0.83,0.837,0.482,0.166,0.13,0.02,0.147,0.009,0.059,0.325,0.537,0.325,0.325,0.537,0.392,0.325,0.325,0.537,0.325,0.537,0.325,0.392,0.537,0.325,0.537,0.392,0.392,0.392,0.537,0.537,0.392,0.537,0.537,0.325,0.325,0.537,0.325,0.537,0.325,0.325,0.392,0.392,0.392,0.392,0.392,0.537,0.537,0.325,0.325,0.537,0.325,0.325,0.392,0.325,0.537,0.325,0.325,0.537,0.537,0.325,0.537,0.392,0.325,0.537,0.325,0.325,0.325,0.537,0.325,0.325,0.325,0.537,0.537,0.392,0.392,0.325,0.325,0.537,0.325,0.392,0.537,0.537,0.325,0.392,0.537,0.537,0.392,0.325,0.325,0.392,0.392,0.537,0.537,0.325,0.392,0.537,0.325,0.537,0.392,0.325,0.537,0.325,0.325,0.537,0.537,0.537,0.537,0.325,0.392,0.537,0.325,0.392,0.392,0.325,0.392,0.325,0.325,0.392,0.537,0.325,0.537,0.325,0.537,0.537,0.392,0.325,0.325
5,0.434,0.434,0.408,0.408,0.464,0.185,0.185,0.185,0.185,0.185,0.067,0.067,0.743,0.292,0.292,0.216,0.216,0.216,0.0,0.01,0.01,0.01,0.0,0.0,0.029,0.029,0.029,0.0,0.0,0.216,0.216,0.216,0.004,0.004,0.216,0.047,0.047,0.0,0.0,0.001,0.027,0.027,0.002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.334,0.573,0.365,0.254,0.879,0.183,0.403,0.907,0.849,0.856,0.506,0.168,0.136,0.019,0.148,0.009,0.065,0.33,0.546,0.33,0.33,0.546,0.391,0.33,0.33,0.546,0.33,0.546,0.33,0.391,0.546,0.33,0.546,0.391,0.391,0.391,0.546,0.546,0.391,0.546,0.546,0.33,0.33,0.546,0.33,0.546,0.33,0.33,0.391,0.391,0.391,0.391,0.391,0.546,0.546,0.33,0.33,0.546,0.33,0.33,0.391,0.33,0.546,0.33,0.33,0.546,0.546,0.33,0.546,0.391,0.33,0.546,0.33,0.33,0.33,0.546,0.33,0.33,0.33,0.546,0.546,0.391,0.391,0.33,0.33,0.546,0.33,0.391,0.546,0.546,0.33,0.391,0.546,0.546,0.391,0.33,0.33,0.391,0.391,0.546,0.546,0.33,0.391,0.546,0.33,0.546,0.391,0.33,0.546,0.33,0.33,0.546,0.546,0.546,0.546,0.33,0.391,0.546,0.33,0.391,0.391,0.33,0.391,0.33,0.33,0.391,0.546,0.33,0.546,0.33,0.546,0.546,0.391,0.33,0.33
6,0.434,0.434,0.408,0.408,0.464,0.185,0.185,0.185,0.185,0.185,0.067,0.067,0.743,0.292,0.292,0.216,0.216,0.216,0.0,0.01,0.01,0.01,0.0,0.0,0.029,0.029,0.029,0.0,0.0,0.216,0.216,0.216,0.003,0.003,0.216,0.047,0.047,0.0,0.0,0.002,0.027,0.027,0.005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.335,0.597,0.395,0.287,0.892,0.187,0.41,0.923,0.865,0.872,0.524,0.169,0.14,0.018,0.145,0.007,0.072,0.34,0.571,0.34,0.34,0.571,0.4,0.34,0.34,0.571,0.34,0.571,0.34,0.4,0.571,0.34,0.571,0.4,0.4,0.4,0.571,0.571,0.4,0.571,0.571,0.34,0.34,0.571,0.34,0.571,0.34,0.34,0.4,0.4,0.4,0.4,0.4,0.571,0.571,0.34,0.34,0.571,0.34,0.34,0.4,0.34,0.571,0.34,0.34,0.571,0.571,0.34,0.571,0.4,0.34,0.571,0.34,0.34,0.34,0.571,0.34,0.34,0.34,0.571,0.571,0.4,0.4,0.34,0.34,0.571,0.34,0.4,0.571,0.571,0.34,0.4,0.571,0.571,0.4,0.34,0.34,0.4,0.4,0.571,0.571,0.34,0.4,0.571,0.34,0.571,0.4,0.34,0.571,0.34,0.34,0.571,0.571,0.571,0.571,0.34,0.4,0.571,0.34,0.4,0.4,0.34,0.4,0.34,0.34,0.4,0.571,0.34,0.571,0.34,0.571,0.571,0.4,0.34,0.34
7,0.434,0.434,0.408,0.408,0.464,0.185,0.185,0.185,0.185,0.185,0.067,0.067,0.743,0.292,0.292,0.221,0.221,0.221,0.011,0.011,0.011,0.011,0.0,0.0,0.03,0.03,0.03,0.0,0.0,0.221,0.221,0.221,0.003,0.003,0.221,0.047,0.047,0.0,0.0,0.008,0.026,0.026,0.015,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.33,0.611,0.417,0.313,0.899,0.189,0.41,0.931,0.874,0.881,0.533,0.169,0.143,0.017,0.143,0.005,0.078,0.354,0.594,0.354,0.354,0.594,0.42,0.354,0.354,0.594,0.354,0.594,0.354,0.42,0.594,0.354,0.594,0.42,0.42,0.42,0.594,0.594,0.42,0.594,0.594,0.354,0.354,0.594,0.354,0.594,0.354,0.354,0.42,0.42,0.42,0.42,0.42,0.594,0.594,0.354,0.354,0.594,0.354,0.354,0.42,0.354,0.594,0.354,0.354,0.594,0.594,0.354,0.594,0.42,0.354,0.594,0.354,0.354,0.354,0.594,0.354,0.354,0.354,0.594,0.594,0.42,0.42,0.354,0.354,0.594,0.354,0.42,0.594,0.594,0.354,0.42,0.594,0.594,0.42,0.354,0.354,0.42,0.42,0.594,0.594,0.354,0.42,0.594,0.354,0.594,0.42,0.354,0.594,0.354,0.354,0.594,0.594,0.594,0.594,0.354,0.42,0.594,0.354,0.42,0.42,0.354,0.42,0.354,0.354,0.42,0.594,0.354,0.594,0.354,0.594,0.594,0.42,0.354,0.354
8,0.434,0.434,0.408,0.408,0.464,0.185,0.185,0.185,0.185,0.185,0.067,0.067,0.743,0.292,0.292,0.22,0.22,0.22,0.009,0.038,0.038,0.038,0.0,0.0,0.03,0.03,0.03,0.0,0.0,0.22,0.22,0.22,0.003,0.003,0.22,0.047,0.047,0.0,0.0,0.013,0.027,0.027,0.024,0.0,0.089,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.148,0.19,0.2,0.179,0.105,0.152,0.172,0.158,0.155,0.155,0.155,0.133,0.133,0.133,0.133,0.133,0.133,0.133,0.13,0.152,0.136,0.152,0.136,0.152,0.121,0.121,0.152,0.152,0.102,0.136,0.067,0.0,0.336,0.45,0.278,0.0,0.336,0.338,0.389,0.289,0.156,0.516,0.0,0.0,0.0,0.325,0.619,0.431,0.332,0.9,0.187,0.406,0.932,0.874,0.882,0.533,0.166,0.144,0.016,0.142,0.003,0.083,0.362,0.621,0.362,0.362,0.621,0.443,0.362,0.362,0.621,0.362,0.621,0.362,0.443,0.621,0.362,0.621,0.443,0.443,0.443,0.621,0.621,0.443,0.621,0.621,0.362,0.362,0.621,0.362,0.621,0.362,0.362,0.443,0.443,0.443,0.443,0.443,0.621,0.621,0.362,0.362,0.621,0.362,0.362,0.443,0.362,0.621,0.362,0.362,0.621,0.621,0.362,0.621,0.443,0.362,0.621,0.362,0.362,0.362,0.621,0.362,0.362,0.362,0.621,0.621,0.443,0.443,0.362,0.362,0.621,0.362,0.443,0.621,0.621,0.362,0.443,0.621,0.621,0.443,0.362,0.362,0.443,0.443,0.621,0.621,0.362,0.443,0.621,0.362,0.621,0.443,0.362,0.621,0.362,0.362,0.621,0.621,0.621,0.621,0.362,0.443,0.621,0.362,0.443,0.443,0.362,0.443,0.362,0.362,0.443,0.621,0.362,0.621,0.362,0.621,0.621,0.443,0.362,0.362
9,0.434,0.434,0.408,0.408,0.464,0.185,0.185,0.185,0.185,0.185,0.067,0.067,0.743,0.292,0.292,0.221,0.221,0.221,0.006,0.001,0.001,0.001,0.0,0.0,0.03,0.03,0.03,0.0,0.0,0.221,0.221,0.221,0.003,0.003,0.221,0.047,0.047,0.0,0.0,0.012,0.027,0.027,0.021,0.069,0.32,0.208,0.385,0.377,0.186,0.391,0.385,0.385,0.033,0.386,0.384,0.392,0.385,0.385,0.258,0.385,0.385,0.385,0.033,0.385,0.323,0.39,0.384,0.385,0.384,0.224,0.323,0.323,0.365,0.442,0.488,0.468,0.502,0.337,0.246,0.446,0.49,0.399,0.399,0.399,0.345,0.345,0.345,0.345,0.345,0.345,0.345,0.338,0.393,0.417,0.393,0.417,0.393,0.373,0.373,0.393,0.393,0.32,0.417,0.456,0.256,0.516,0.691,0.426,0.0,0.516,0.611,0.468,0.565,0.46,0.789,0.606,0.897,0.325,0.315,0.622,0.449,0.356,0.895,0.182,0.395,0.926,0.868,0.876,0.523,0.158,0.143,0.014,0.143,0.002,0.091,0.376,0.645,0.376,0.376,0.645,0.488,0.376,0.376,0.645,0.376,0.645,0.376,0.488,0.645,0.376,0.645,0.488,0.488,0.488,0.645,0.645,0.488,0.645,0.645,0.376,0.376,0.645,0.376,0.645,0.376,0.376,0.488,0.488,0.488,0.488,0.488,0.645,0.645,0.376,0.376,0.645,0.376,0.376,0.488,0.376,0.645,0.376,0.376,0.645,0.645,0.376,0.645,0.488,0.376,0.645,0.376,0.376,0.376,0.645,0.376,0.376,0.376,0.645,0.645,0.488,0.488,0.376,0.376,0.645,0.376,0.488,0.645,0.645,0.376,0.488,0.645,0.645,0.488,0.376,0.376,0.488,0.488,0.645,0.645,0.376,0.488,0.645,0.376,0.645,0.488,0.376,0.645,0.376,0.376,0.645,0.645,0.645,0.645,0.376,0.488,0.645,0.376,0.488,0.488,0.376,0.488,0.376,0.376,0.488,0.645,0.376,0.645,0.376,0.645,0.645,0.488,0.376,0.376
10,0.434,0.434,0.408,0.408,0.464,0.185,0.185,0.185,0.185,0.185,0.067,0.067,0.743,0.292,0.292,0.222,0.222,0.222,0.006,0.0,0.0,0.0,0.0,0.0,0.03,0.03,0.03,0.0,0.0,0.222,0.222,0.222,0.003,0.003,0.222,0.047,0.047,0.0,0.0,0.013,0.027,0.027,0.024,0.186,0.542,0.026,0.648,0.634,0.418,0.657,0.648,0.648,0.036,0.649,0.646,0.658,0.647,0.648,0.367,0.648,0.648,0.647,0.036,0.647,0.561,0.656,0.646,0.647,0.646,0.444,0.561,0.561,0.519,0.684,0.746,0.684,0.755,0.518,0.362,0.711,0.757,0.596,0.596,0.596,0.551,0.551,0.551,0.551,0.551,0.551,0.551,0.539,0.587,0.561,0.587,0.562,0.586,0.577,0.577,0.587,0.587,0.507,0.561,0.704,0.214,0.64,0.856,0.528,0.299,0.64,0.733,0.62,0.679,0.735,0.761,1.0,0.945,0.729,0.299,0.622,0.464,0.378,0.891,0.171,0.379,0.921,0.864,0.872,0.513,0.148,0.134,0.013,0.145,0.001,0.1,0.394,0.662,0.394,0.394,0.662,0.525,0.394,0.394,0.662,0.394,0.662,0.394,0.525,0.662,0.394,0.662,0.525,0.525,0.525,0.662,0.662,0.525,0.662,0.662,0.394,0.394,0.662,0.394,0.662,0.394,0.394,0.525,0.525,0.525,0.525,0.525,0.662,0.662,0.394,0.394,0.662,0.394,0.394,0.525,0.394,0.662,0.394,0.394,0.662,0.662,0.394,0.662,0.525,0.394,0.662,0.394,0.394,0.394,0.662,0.394,0.394,0.394,0.662,0.662,0.525,0.525,0.394,0.394,0.662,0.394,0.525,0.662,0.662,0.394,0.525,0.662,0.662,0.525,0.394,0.394,0.525,0.525,0.662,0.662,0.394,0.525,0.662,0.394,0.662,0.525,0.394,0.662,0.394,0.394,0.662,0.662,0.662,0.662,0.394,0.525,0.662,0.394,0.525,0.525,0.394,0.525,0.394,0.394,0.525,0.662,0.394,0.662,0.394,0.662,0.662,0.525,0.394,0.394
