id,variable_cost,ramping_rate
Biomass 01,32.21,1.0
Biomass 02,32.21,1.0
Biomass 03,32.21,1.0
Biomass 04,32.21,1.0
Biomass 05,32.21,1.0
Biomass 06,32.21,1.0
Biomass 07,32.21,1.0
Biomass 08,32.21,1.0
Biomass 09,32.21,1.0
Biomass 10,32.21,1.0
Biomass 11,32.21,1.0
Biomass 12,32.21,1.0
Biomass 13,32.21,1.0
Biomass 14,32.21,1.0
Biomass 15,32.21,1.0
Biomass 16,32.21,1.0
Biomass 17,32.21,1.0
Biomass 18,32.21,1.0
Biomass 19,32.21,1.0
Biomass 20,32.21,1.0
Biomass 21,32.21,1.0
Biomass 22,32.21,1.0
Biomass 23,32.21,1.0
Biomass 24,32.21,1.0
Biomass 25,32.21,1.0
Biomass 26,31.458,1.0
Biomass 27,31.458,1.0
Biomass 28,31.458,1.0
Biomass 29,31.458,1.0
Biomass 30,31.458,1.0
Biomass 31,31.458,1.0
Biomass 32,32.21,1.0
Biomass 33,31.548,1.0
Biomass 34,31.548,1.0
Biomass 35,31.548,1.0
Biomass 36,31.548,1.0
Biomass 37,32.21,1.0
Biomass 38,32.21,1.0
Biomass 39,32.21,1.0
Biomass 40,32.21,1.0
Biomass 41,32.21,1.0
Biomass 42,32.21,1.0
Biomass 43,27.884,1.0
Biomass 44,32.21,1.0
Biomass 45,32.21,1.0
Biomass 46,32.21,1.0
Biomass 47,36.532,1.0
Biomass 48,36.532,1.0
Biomass 49,32.21,1.0
Biomass 50,32.21,1.0
Biomass 51,32.21,1.0
Biomass 52,32.21,1.0
Biomass 53,32.21,1.0
Biomass 54,32.21,1.0
Biomass 55,32.21,1.0
Biomass 56,32.21,1.0
Biomass 57,32.21,1.0
Biomass 58,32.21,1.0
Biomass 59,32.21,1.0
Biomass 60,32.21,1.0
Biomass 61,32.21,1.0
Biomass 62,35.66,1.0
CC NG 01,23.792,1.0
CC NG 03,19.1,1.0
CC NG 04,23.691,1.0
CC NG 05,19.875,1.0
CC NG 06,34.773,1.0
CC NG 07,23.792,1.0
CC NG 08,26.166,1.0
CC NG 09,26.166,1.0
CC NG 10,31.464,1.0
CC NG 11,20.73,1.0
CC NG 12,32.134,1.0
CC NG 13,23.792,1.0
CC NG 14,26.697,1.0
CC NG 15,37.521,1.0
CC NG 16,19.905,1.0
CC NG 17,22.283,1.0
CC NG 18,20.097,1.0
CC NG 19,18.523,1.0
CC NG 20,23.792,1.0
CC NG 21,29.334,1.0
CC NG 22,17.856,1.0
CC NG 23,20.129,1.0
CC NG 24,23.238,1.0
CC NG 25,23.792,1.0
CC NG 26,26.28,1.0
CC NG 27,23.792,1.0
CC NG 28,25.573,1.0
CC NG 29,23.792,1.0
CC NG 31,20.703,1.0
CC NG 32,23.792,1.0
CC NG 33,34.773,1.0
CC NG 34,19.626,1.0
CC NG 35,20.007,1.0
CC NG 36,20.021,1.0
CC NG 37,19.268,1.0
CC NG 38,20.493,1.0
CC NG 39,23.792,1.0
CC NG 40,20.819,1.0
CT NG 01,32.125,1.0
CT NG 02,32.091,1.0
CT NG 03,32.125,1.0
CT NG 04,32.125,1.0
CT NG 05,36.326,1.0
CT NG 06,36.326,1.0
CT NG 07,36.326,1.0
CT NG 08,35.608,1.0
CT NG 09,31.403,1.0
CT NG 10,31.403,1.0
CT NG 11,31.403,1.0
CT NG 12,31.403,1.0
CT NG 13,35.608,1.0
CT NG 14,35.608,1.0
CT NG 15,35.608,1.0
CT NG 16,32.125,1.0
CT NG 17,27.481,1.0
CT NG 18,27.481,1.0
CT NG 19,27.481,1.0
CT NG 20,27.481,1.0
CT NG 21,20.332,1.0
CT NG 22,20.332,1.0
CT NG 23,20.332,1.0
CT NG 24,20.332,1.0
CT NG 25,20.332,1.0
CT NG 26,20.332,1.0
CT NG 27,27.481,1.0
CT NG 28,37.319,1.0
CT NG 29,27.481,1.0
CT NG 30,37.141,1.0
CT NG 31,27.481,1.0
CT NG 32,27.481,1.0
CT NG 33,27.481,1.0
CT NG 34,20.116,1.0
CT NG 35,20.116,1.0
CT NG 36,20.116,1.0
CT NG 37,27.481,1.0
CT NG 38,27.481,1.0
CT NG 39,27.481,1.0
CT NG 40,27.481,1.0
CT NG 41,27.296,1.0
CT NG 42,37.356,1.0
CT NG 43,33.076,1.0
CT NG 44,32.125,1.0
CT NG 45,32.125,1.0
CT NG 46,20.073,1.0
CT NG 47,20.073,1.0
CT NG 48,20.073,1.0
CT NG 49,20.073,1.0
CT NG 50,31.889,1.0
CT NG 51,20.19,1.0
CT NG 52,20.19,1.0
CT NG 53,20.19,1.0
CT NG 54,33.023,1.0
CT NG 55,36.736,1.0
CT NG 56,31.772,1.0
CT NG 66,32.025,1.0
CT NG 67,32.025,1.0
CT NG 68,31.982,1.0
CT NG 69,27.457,1.0
CT NG 70,31.878,1.0
CT NG 71,31.878,1.0
CT NG 72,27.473,1.0
CT NG 73,27.473,1.0
CT NG 74,25.686,1.0
CT NG 75,37.302,1.0
CT Oil 01,121.593,1.0
CT Oil 02,121.593,1.0
CT Oil 03,121.593,1.0
CT Oil 04,126.852,1.0
CT Oil 05,126.852,1.0
Geo 01,0.0,1.0
Hydro 16,0.0,1.0
Hydro 17,0.0,1.0
Hydro 18,0.0,1.0
Hydro 19,0.0,1.0
Hydro 20,0.0,1.0
Hydro 21,0.0,1.0
Hydro 22,0.0,1.0
Hydro 23,0.0,1.0
Hydro 24,0.0,1.0
Hydro 25,0.0,1.0
Hydro 26,0.0,1.0
Hydro 27,0.0,1.0
Hydro 28,0.0,1.0
Hydro 29,0.0,1.0
Hydro 30,0.0,1.0
Hydro 31,0.0,1.0
Hydro 32,0.0,1.0
Hydro 33,0.0,1.0
Hydro 34,0.0,1.0
Hydro 35,0.0,1.0
Hydro 36,0.0,1.0
Hydro 37,0.0,1.0
Hydro 38,0.0,1.0
Hydro 39,0.0,1.0
Hydro 40,0.0,1.0
Hydro 41,0.0,1.0
Hydro 42,0.0,1.0
Hydro 43,0.0,1.0
ICE NG 01,29.679,1.0
ICE NG 02,29.64,1.0
ICE NG 03,29.64,1.0
ICE NG 04,29.64,1.0
ICE NG 05,29.64,1.0
ICE NG 06,29.64,1.0
ICE NG 07,29.64,1.0
Solar 01,0.0,1.0
Solar 02,0.0,1.0
Solar 03,0.0,1.0
Solar 04,0.0,1.0
Solar 05,0.0,1.0
Solar 06,0.0,1.0
Solar 07,0.0,1.0
Solar 08,0.0,1.0
Solar 09,0.0,1.0
Solar 10,0.0,1.0
Solar 11,0.0,1.0
Solar 12,0.0,1.0
Solar 13,0.0,1.0
Solar 14,0.0,1.0
Solar 15,0.0,1.0
Solar 16,0.0,1.0
Solar 17,0.0,1.0
Solar 18,0.0,1.0
Solar 19,0.0,1.0
Solar 20,0.0,1.0
Solar 21,0.0,1.0
Solar 22,0.0,1.0
Solar 23,0.0,1.0
Solar 24,0.0,1.0
Solar 25,0.0,1.0
Solar 26,0.0,1.0
Solar 27,0.0,1.0
Solar 28,0.0,1.0
Solar 29,0.0,1.0
Solar 30,0.0,1.0
Solar 31,0.0,1.0
Solar 32,0.0,1.0
Solar 33,0.0,1.0
Solar 34,0.0,1.0
Solar 35,0.0,1.0
Solar 36,0.0,1.0
Solar 37,0.0,1.0
Solar 38,0.0,1.0
Solar 39,0.0,1.0
Solar 40,0.0,1.0
Solar 41,0.0,1.0
Solar 42,0.0,1.0
Solar 43,0.0,1.0
Solar 44,0.0,1.0
Solar 45,0.0,1.0
Solar 46,0.0,1.0
Solar 47,0.0,1.0
Solar 48,0.0,1.0
Solar 49,0.0,1.0
Solar 50,0.0,1.0
Solar 51,0.0,1.0
Solar 52,0.0,1.0
Solar 53,0.0,1.0
Solar 54,0.0,1.0
Solar 55,0.0,1.0
Solar 56,0.0,1.0
Solar 57,0.0,1.0
Solar 58,0.0,1.0
Solar 59,0.0,1.0
Solar 60,0.0,1.0
Solar 61,0.0,1.0
Solar 62,0.0,1.0
Solar 63,0.0,1.0
Solar 64,0.0,1.0
Solar 65,0.0,1.0
Solar 66,0.0,1.0
Solar 67,0.0,1.0
Solar 68,0.0,1.0
Solar 69,0.0,1.0
Solar 70,0.0,1.0
Solar 71,0.0,1.0
Solar 72,0.0,1.0
Solar 73,0.0,1.0
Solar 74,0.0,1.0
Solar 75,0.0,1.0
ST Coal 01,23.333,1.0
ST NG 01,32.529,1.0
ST NG 02,31.79,1.0
ST NG 03,31.075,1.0
ST NG 04,15.967,1.0
ST NG 05,15.967,1.0
ST NG 06,35.303,1.0
ST NG 07,35.744,1.0
ST NG 08,34.584,1.0
ST NG 09,33.171,1.0
ST NG 10,33.767,1.0
ST Other 01,60.076,1.0
ST Other 02,29.895,1.0
Wind 01,0.0,1.0
Wind 02,0.0,1.0
Wind 03,0.0,1.0
Wind 04,0.0,1.0
Wind 05,0.0,1.0
Wind 06,0.0,1.0
Wind 07,0.0,1.0
Wind 08,0.0,1.0
Wind 09,0.0,1.0
Wind 10,0.0,1.0
Wind 11,0.0,1.0
Wind 12,0.0,1.0
Wind 13,0.0,1.0
Wind 14,0.0,1.0
Wind 15,0.0,1.0
Wind 16,0.0,1.0
Wind 17,0.0,1.0
ENS,10000.0,1.0
