id,from,to,carrier,export_capacity,import_capacity
line001,bus001,bus002,electricity,600.0,600.0
line002,bus001,bus003,electricity,600.0,600.0
line003,bus004,bus005,electricity,1700.0,1700.0
line004,bus003,bus005,electricity,600.0,600.0
line005,bus005,bus006,electricity,600.0,600.0
line006,bus006,bus007,electricity,600.0,600.0
line007,bus008,bus009,electricity,1700.0,1700.0
line008,bus008,bus005,electricity,1700.0,1700.0
line009,bus009,bus010,electricity,3500.0,3500.0
line010,bus004,bus011,electricity,600.0,600.0
line011,bus005,bus011,electricity,600.0,600.0
line012,bus011,bus012,electricity,600.0,600.0
line013,bus002,bus012,electricity,600.0,600.0
line014,bus003,bus012,electricity,600.0,600.0
line015,bus007,bus012,electricity,600.0,600.0
line016,bus011,bus013,electricity,600.0,600.0
line017,bus012,bus014,electricity,600.0,600.0
line018,bus013,bus015,electricity,600.0,600.0
line019,bus014,bus015,electricity,600.0,600.0
line020,bus012,bus016,electricity,600.0,600.0
line021,bus015,bus017,electricity,1700.0,1700.0
line022,bus016,bus017,electricity,600.0,600.0
line023,bus017,bus018,electricity,600.0,600.0
line024,bus018,bus019,electricity,600.0,600.0
line025,bus019,bus020,electricity,600.0,600.0
line026,bus015,bus019,electricity,600.0,600.0
line027,bus020,bus021,electricity,600.0,600.0
line028,bus021,bus022,electricity,600.0,600.0
line029,bus022,bus023,electricity,600.0,600.0
line030,bus023,bus024,electricity,600.0,600.0
line031,bus023,bus025,electricity,1700.0,1700.0
line032,bus026,bus025,electricity,1700.0,1700.0
line033,bus025,bus027,electricity,1700.0,1700.0
line034,bus027,bus028,electricity,600.0,600.0
line035,bus028,bus029,electricity,600.0,600.0
line036,bus030,bus017,electricity,1700.0,1700.0
line037,bus008,bus030,electricity,600.0,600.0
line038,bus026,bus030,electricity,1700.0,1700.0
line039,bus017,bus031,electricity,600.0,600.0
line040,bus029,bus031,electricity,600.0,600.0
line041,bus023,bus032,electricity,600.0,600.0
line042,bus031,bus032,electricity,600.0,600.0
line043,bus027,bus032,electricity,600.0,600.0
line044,bus015,bus033,electricity,600.0,600.0
line045,bus019,bus034,electricity,600.0,600.0
line046,bus035,bus036,electricity,600.0,600.0
line047,bus035,bus037,electricity,600.0,600.0
line048,bus033,bus037,electricity,600.0,600.0
line049,bus034,bus036,electricity,600.0,600.0
line050,bus034,bus037,electricity,1700.0,1700.0
line051,bus038,bus037,electricity,1700.0,1700.0
line052,bus037,bus039,electricity,600.0,600.0
line053,bus037,bus040,electricity,600.0,600.0
line054,bus030,bus038,electricity,600.0,600.0
line055,bus039,bus040,electricity,600.0,600.0
line056,bus040,bus041,electricity,600.0,600.0
line057,bus040,bus042,electricity,600.0,600.0
line058,bus041,bus042,electricity,600.0,600.0
line059,bus043,bus044,electricity,600.0,600.0
line060,bus034,bus043,electricity,600.0,600.0
line061,bus044,bus045,electricity,600.0,600.0
line062,bus045,bus046,electricity,600.0,600.0
