timestep,HydroDispatch2,HydroDispatch1_inflow,HydroDispatch3_inflow,SolarBusC,WindBusA,4_Demand,2_Demand,3_Demand
1,0.084,0.084,0.084,0.0,0.963,0.438,0.346,0.387
2,0.076,0.076,0.076,0.0,0.938,0.418,0.346,0.38
3,0.076,0.076,0.076,0.0,0.98,0.409,0.351,0.379
4,0.084,0.084,0.084,0.0,0.976,0.404,0.364,0.378
5,0.076,0.076,0.076,0.0,0.924,0.408,0.4,0.386
6,0.076,0.076,0.076,0.0,0.665,0.431,0.452,0.406
7,0.084,0.084,0.084,0.0,0.419,0.48,0.473,0.433
8,0.076,0.076,0.076,0.528,0.319,0.512,0.458,0.428
9,0.076,0.076,0.076,0.678,0.33,0.55,0.432,0.422
10,0.076,0.076,0.076,0.77,0.207,0.575,0.416,0.424
11,0.076,0.076,0.076,0.777,0.185,0.593,0.405,0.414
12,0.076,0.076,0.076,0.742,0.411,0.6,0.396,0.412
13,0.076,0.076,0.076,0.744,0.138,0.596,0.389,0.412
14,0.084,0.084,0.084,0.74,0.011,0.597,0.384,0.408
15,0.084,0.084,0.084,0.656,0.0,0.591,0.382,0.406
16,0.264,0.264,0.264,0.479,0.018,0.582,0.383,0.408
17,0.254,0.254,0.254,0.0,0.256,0.594,0.411,0.419
18,0.264,0.264,0.264,0.0,0.316,0.663,0.449,0.494
19,0.18,0.18,0.18,0.0,0.162,0.653,0.444,0.501
20,0.084,0.084,0.084,0.0,0.162,0.631,0.437,0.494
21,0.076,0.076,0.076,0.0,0.185,0.602,0.423,0.481
22,0.076,0.076,0.076,0.0,0.044,0.562,0.392,0.455
23,0.076,0.076,0.076,0.0,0.009,0.514,0.362,0.425
24,0.076,0.076,0.076,0.0,0.001,0.465,0.348,0.399
25,0.056,0.056,0.056,0.0,0.005,0.434,0.341,0.385
26,0.056,0.056,0.056,0.0,0.018,0.417,0.34,0.38
27,0.056,0.056,0.056,0.0,0.077,0.405,0.343,0.377
28,0.056,0.056,0.056,0.0,0.123,0.399,0.355,0.378
29,0.056,0.056,0.056,0.0,0.159,0.402,0.385,0.385
30,0.056,0.056,0.056,0.0,0.166,0.426,0.429,0.405
31,0.066,0.066,0.066,0.0,0.069,0.472,0.447,0.434
32,0.048,0.048,0.048,0.517,0.038,0.501,0.43,0.426
33,0.066,0.066,0.066,0.698,0.025,0.539,0.412,0.422
34,0.048,0.048,0.048,0.737,0.005,0.568,0.404,0.419
35,0.056,0.056,0.056,0.786,0.0,0.592,0.396,0.416
36,0.056,0.056,0.056,0.786,0.0,0.608,0.393,0.413
37,0.056,0.056,0.056,0.77,0.0,0.615,0.39,0.408
38,0.056,0.056,0.056,0.742,0.0,0.626,0.387,0.408
39,0.056,0.056,0.056,0.658,0.0,0.626,0.386,0.405
40,0.066,0.066,0.066,0.475,0.0,0.612,0.386,0.402
41,0.066,0.066,0.066,0.0,0.004,0.609,0.408,0.427
42,0.066,0.066,0.066,0.0,0.009,0.663,0.444,0.487
43,0.076,0.076,0.076,0.0,0.167,0.653,0.441,0.492
44,0.076,0.076,0.076,0.0,0.171,0.623,0.429,0.49
45,0.084,0.084,0.084,0.0,0.089,0.595,0.413,0.477
46,0.094,0.094,0.094,0.0,0.067,0.556,0.384,0.45
47,0.094,0.094,0.094,0.0,0.241,0.505,0.354,0.423
48,0.094,0.094,0.094,0.0,0.349,0.459,0.338,0.399
49,0.076,0.076,0.076,0.0,0.18,0.428,0.333,0.386
50,0.066,0.066,0.066,0.0,0.558,0.411,0.327,0.381
51,0.056,0.056,0.056,0.0,0.664,0.403,0.33,0.378
52,0.066,0.066,0.066,0.0,0.893,0.397,0.341,0.379
53,0.066,0.066,0.066,0.0,0.539,0.397,0.368,0.387
54,0.066,0.066,0.066,0.0,0.734,0.418,0.413,0.409
55,0.066,0.066,0.066,0.0,0.727,0.463,0.432,0.439
56,0.066,0.066,0.066,0.521,0.719,0.493,0.422,0.429
57,0.066,0.066,0.066,0.675,0.784,0.542,0.409,0.426
58,0.066,0.066,0.066,0.759,0.56,0.57,0.403,0.422
59,0.076,0.076,0.076,0.764,0.438,0.599,0.4,0.419
60,0.066,0.066,0.066,0.751,0.773,0.621,0.395,0.414
61,0.066,0.066,0.066,0.709,0.396,0.628,0.392,0.41
62,0.066,0.066,0.066,0.693,0.581,0.637,0.39,0.405
63,0.066,0.066,0.066,0.671,0.559,0.637,0.387,0.403
64,0.066,0.066,0.066,0.479,0.491,0.626,0.386,0.401
65,0.066,0.066,0.066,0.0,0.493,0.614,0.401,0.381
66,0.066,0.066,0.066,0.0,0.533,0.654,0.433,0.475
67,0.076,0.076,0.076,0.0,0.651,0.633,0.423,0.477
68,0.066,0.066,0.066,0.0,0.624,0.603,0.409,0.471
69,0.076,0.076,0.076,0.0,0.8,0.569,0.4,0.459
70,0.084,0.084,0.084,0.0,0.767,0.537,0.381,0.444
71,0.076,0.076,0.076,0.0,0.811,0.496,0.356,0.425
