n_rep_periods,period_length,clustering_type,weight_type,tol,evaluation_type,normalization,inflow_integral_weight,fix_every,chain_weight_type
10,24,k_means,dirac,0.0001,storage_regret,unscaled,0.0,1,none
10,24,k_means,dirac,0.0001,storage_regret,unscaled,0.0,30,none
10,24,k_means,convex,0.0001,storage_regret,unscaled,0.0,1,none
10,24,k_means,convex,0.0001,storage_regret,unscaled,0.0,30,none
10,24,k_means,conical,0.0001,storage_regret,unscaled,0.0,1,none
10,24,k_means,conical,0.0001,storage_regret,unscaled,0.0,30,none
10,24,k_medoids,dirac,0.0001,storage_regret,unscaled,0.0,1,none
10,24,k_medoids,dirac,0.0001,storage_regret,unscaled,0.0,30,none
10,24,k_medoids,convex,0.0001,storage_regret,unscaled,0.0,1,none
10,24,k_medoids,convex,0.0001,storage_regret,unscaled,0.0,30,none
10,24,k_medoids,conical,0.0001,storage_regret,unscaled,0.0,1,none
10,24,k_medoids,conical,0.0001,storage_regret,unscaled,0.0,30,none
10,24,hull,dirac,0.0001,storage_regret,unscaled,0.0,1,none
10,24,hull,dirac,0.0001,storage_regret,unscaled,0.0,30,none
10,24,hull,convex,0.0001,storage_regret,unscaled,0.0,1,none
10,24,hull,convex,0.0001,storage_regret,unscaled,0.0,30,none
10,24,hull,conical,0.0001,storage_regret,unscaled,0.0,1,none
10,24,hull,conical,0.0001,storage_regret,unscaled,0.0,30,none
