n_rep_periods,period_length,clustering_type,weight_type,tol,evaluation_type,normalization,cache
1,2880,k_means,dirac,0.01,none,economic,true
10,24,conical_hull,convex,0.01,storage_regret,economic,true
10,24,conical_hull,convex,0.01,storage_regret,economic,false
10,24,conical_hull,convex,0.01,storage_regret,unscaled,true
10,24,conical_hull,convex,0.01,storage_regret,unscaled,false
10,24,conical_hull,convex,0.01,storage_regret,minmax,true
10,24,conical_hull,convex,0.01,storage_regret,minmax,false
10,24,convex_hull,convex,0.01,storage_regret,economic,true
10,24,conical_hull,dirac,0.01,storage_regret,economic,true
20,24,conical_hull,convex,0.01,storage_regret,economic,true
20,24,conical_hull,convex,0.01,storage_regret,economic,false
20,24,conical_hull,convex,0.01,storage_regret,unscaled,true
20,24,conical_hull,convex,0.01,storage_regret,unscaled,false
20,24,conical_hull,convex,0.01,storage_regret,minmax,true
20,24,conical_hull,convex,0.01,storage_regret,minmax,false
20,24,convex_hull,convex,0.01,storage_regret,economic,true
20,24,conical_hull,dirac,0.01,storage_regret,economic,true
40,24,conical_hull,convex,0.01,storage_regret,economic,true
40,24,conical_hull,convex,0.01,storage_regret,economic,false
40,24,conical_hull,convex,0.01,storage_regret,unscaled,true
40,24,conical_hull,convex,0.01,storage_regret,unscaled,false
40,24,conical_hull,convex,0.01,storage_regret,minmax,true
40,24,conical_hull,convex,0.01,storage_regret,minmax,false
40,24,convex_hull,convex,0.01,storage_regret,economic,true
40,24,conical_hull,dirac,0.01,storage_regret,economic,true
80,24,conical_hull,convex,0.01,storage_regret,economic,true
80,24,conical_hull,convex,0.01,storage_regret,economic,false
80,24,conical_hull,convex,0.01,storage_regret,unscaled,true
80,24,conical_hull,convex,0.01,storage_regret,unscaled,false
80,24,conical_hull,convex,0.01,storage_regret,minmax,true
80,24,conical_hull,convex,0.01,storage_regret,minmax,false
80,24,convex_hull,convex,0.01,storage_regret,economic,true
80,24,conical_hull,dirac,0.01,storage_regret,economic,true
