timestep,Load_demand,Solar_avail,Hydro1_inflow,Hydro2_inflow,Hydro3_inflow
1,0.80784,0.00000,0.44206,0.43335,0.43226
2,0.74074,0.00000,0.44206,0.43335,0.43226
3,0.67364,0.00000,0.44206,0.43335,0.43226
4,0.61111,0.00000,0.44206,0.43335,0.43226
5,0.55742,0.00000,0.44206,0.43335,0.43226
6,0.51622,0.00000,0.44206,0.43335,0.43226
7,0.49032,0.00000,0.44206,0.43335,0.43226
8,0.48148,0.02876,0.44206,0.43335,0.43226
9,0.49032,0.05556,0.44206,0.43335,0.43226
10,0.51622,0.07857,0.44206,0.43335,0.43226
11,0.55742,0.09623,0.44206,0.43335,0.43226
12,0.61111,0.10733,0.44206,0.43335,0.43226
13,0.67364,0.11111,0.44206,0.43335,0.43226
14,0.74074,0.10733,0.44206,0.43335,0.43226
15,0.80784,0.09623,0.44206,0.43335,0.43226
16,0.87037,0.07857,0.44206,0.43335,0.43226
17,0.92406,0.05556,0.44206,0.43335,0.43226
18,0.96527,0.02876,0.44206,0.43335,0.43226
19,0.99117,0.00000,0.44206,0.43335,0.43226
20,1.00000,0.00000,0.44206,0.43335,0.43226
21,0.99117,0.00000,0.44206,0.43335,0.43226
22,0.96527,0.00000,0.44206,0.43335,0.43226
23,0.92406,0.00000,0.44206,0.43335,0.43226
24,0.87037,0.00000,0.44206,0.43335,0.43226
25,0.80753,0.00000,0.44388,0.43360,0.43226
26,0.74045,0.00000,0.44388,0.43360,0.43226
27,0.67338,0.00000,0.44388,0.43360,0.43226
28,0.61087,0.00000,0.44388,0.43360,0.43226
29,0.55720,0.00000,0.44388,0.43360,0.43226
30,0.51601,0.00000,0.44388,0.43360,0.43226
31,0.49012,0.00000,0.44388,0.43360,0.43226
32,0.48129,0.02892,0.44388,0.43360,0.43226
33,0.49012,0.05586,0.44388,0.43360,0.43226
34,0.51601,0.07900,0.44388,0.43360,0.43226
35,0.55720,0.09675,0.44388,0.43360,0.43226
36,0.61087,0.10791,0.44388,0.43360,0.43226
37,0.67338,0.11172,0.44388,0.43360,0.43226
38,0.74045,0.10791,0.44388,0.43360,0.43226
39,0.80753,0.09675,0.44388,0.43360,0.43226
40,0.87003,0.07900,0.44388,0.43360,0.43226
41,0.92370,0.05586,0.44388,0.43360,0.43226
42,0.96489,0.02892,0.44388,0.43360,0.43226
43,0.99078,0.00000,0.44388,0.43360,0.43226
44,0.99961,0.00000,0.44388,0.43360,0.43226
45,0.99078,0.00000,0.44388,0.43360,0.43226
46,0.96489,0.00000,0.44388,0.43360,0.43226
47,0.92370,0.00000,0.44388,0.43360,0.43226
48,0.87003,0.00000,0.44388,0.43360,0.43226
49,0.80658,0.00000,0.44603,0.43390,0.43228
50,0.73958,0.00000,0.44603,0.43390,0.43228
51,0.67259,0.00000,0.44603,0.43390,0.43228
52,0.61015,0.00000,0.44603,0.43390,0.43228
53,0.55654,0.00000,0.44603,0.43390,0.43228
54,0.51541,0.00000,0.44603,0.43390,0.43228
55,0.48955,0.00000,0.44603,0.43390,0.43228
56,0.48073,0.02939,0.44603,0.43390,0.43228
57,0.48955,0.05677,0.44603,0.43390,0.43228
58,0.51541,0.08029,0.44603,0.43390,0.43228
59,0.55654,0.09833,0.44603,0.43390,0.43228
60,0.61015,0.10968,0.44603,0.43390,0.43228
61,0.67259,0.11355,0.44603,0.43390,0.43228
62,0.73958,0.10968,0.44603,0.43390,0.43228
63,0.80658,0.09833,0.44603,0.43390,0.43228
64,0.86901,0.08029,0.44603,0.43390,0.43228
65,0.92262,0.05677,0.44603,0.43390,0.43228
66,0.96376,0.02939,0.44603,0.43390,0.43228
67,0.98961,0.00000,0.44603,0.43390,0.43228
68,0.99843,0.00000,0.44603,0.43390,0.43228
69,0.98961,0.00000,0.44603,0.43390,0.43228
70,0.96376,0.00000,0.44603,0.43390,0.43228
71,0.92262,0.00000,0.44603,0.43390,0.43228
72,0.86901,0.00000,0.44603,0.43390,0.43228
73,0.80500,0.00000,0.44857,0.43424,0.43231
74,0.73814,0.00000,0.44857,0.43424,0.43231
75,0.67127,0.00000,0.44857,0.43424,0.43231
76,0.60896,0.00000,0.44857,0.43424,0.43231
77,0.55546,0.00000,0.44857,0.43424,0.43231
78,0.51440,0.00000,0.44857,0.43424,0.43231
79,0.48859,0.00000,0.44857,0.43424,0.43231
80,0.47979,0.03017,0.44857,0.43424,0.43231
81,0.48859,0.05829,0.44857,0.43424,0.43231
82,0.51440,0.08244,0.44857,0.43424,0.43231
83,0.55546,0.10096,0.44857,0.43424,0.43231
84,0.60896,0.11261,0.44857,0.43424,0.43231
85,0.67127,0.11658,0.44857,0.43424,0.43231
86,0.73814,0.11261,0.44857,0.43424,0.43231
87,0.80500,0.10096,0.44857,0.43424,0.43231
88,0.86731,0.08244,0.44857,0.43424,0.43231
89,0.92081,0.05829,0.44857,0.43424,0.43231
90,0.96187,0.03017,0.44857,0.43424,0.43231
91,0.98768,0.00000,0.44857,0.43424,0.43231
92,0.99648,0.00000,0.44857,0.43424,0.43231
93,0.98768,0.00000,0.44857,0.43424,0.43231
94,0.96187,0.00000,0.44857,0.43424,0.43231
95,0.92081,0.00000,0.44857,0.43424,0.43231
96,0.86731,0.00000,0.44857,0.43424,0.43231
97,0.80280,0.00000,0.45156,0.43465,0.43235
98,0.73612,0.00000,0.45156,0.43465,0.43235
99,0.66943,0.00000,0.45156,0.43465,0.43235
100,0.60730,0.00000,0.45156,0.43465,0.43235
101,0.55394,0.00000,0.45156,0.43465,0.43235
102,0.51299,0.00000,0.45156,0.43465,0.43235
103,0.48725,0.00000,0.45156,0.43465,0.43235
104,0.47848,0.03127,0.45156,0.43465,0.43235
105,0.48725,0.06041,0.45156,0.43465,0.43235
106,0.51299,0.08543,0.45156,0.43465,0.43235
107,0.55394,0.10464,0.45156,0.43465,0.43235
108,0.60730,0.11671,0.45156,0.43465,0.43235
109,0.66943,0.12082,0.45156,0.43465,0.43235
110,0.73612,0.11671,0.45156,0.43465,0.43235
111,0.80280,0.10464,0.45156,0.43465,0.43235
112,0.86494,0.08543,0.45156,0.43465,0.43235
113,0.91830,0.06041,0.45156,0.43465,0.43235
114,0.95924,0.03127,0.45156,0.43465,0.43235
115,0.98498,0.00000,0.45156,0.43465,0.43235
116,0.99376,0.00000,0.45156,0.43465,0.43235
117,0.98498,0.00000,0.45156,0.43465,0.43235
118,0.95924,0.00000,0.45156,0.43465,0.43235
119,0.91830,0.00000,0.45156,0.43465,0.43235
120,0.86494,0.00000,0.45156,0.43465,0.43235
121,0.79998,0.00000,0.45507,0.43514,0.43241
122,0.73353,0.00000,0.45507,0.43514,0.43241
123,0.66708,0.00000,0.45507,0.43514,0.43241
124,0.60516,0.00000,0.45507,0.43514,0.43241
125,0.55199,0.00000,0.45507,0.43514,0.43241
126,0.51119,0.00000,0.45507,0.43514,0.43241
127,0.48554,0.00000,0.45507,0.43514,0.43241
128,0.47679,0.03268,0.45507,0.43514,0.43241
129,0.48554,0.06313,0.45507,0.43514,0.43241
130,0.51119,0.08928,0.45507,0.43514,0.43241
131,0.55199,0.10934,0.45507,0.43514,0.43241
132,0.60516,0.12195,0.45507,0.43514,0.43241
133,0.66708,0.12626,0.45507,0.43514,0.43241
134,0.73353,0.12195,0.45507,0.43514,0.43241
135,0.79998,0.10934,0.45507,0.43514,0.43241
136,0.86190,0.08928,0.45507,0.43514,0.43241
137,0.91507,0.06313,0.45507,0.43514,0.43241
138,0.95587,0.03268,0.45507,0.43514,0.43241
139,0.98152,0.00000,0.45507,0.43514,0.43241
140,0.99026,0.00000,0.45507,0.43514,0.43241
141,0.98152,0.00000,0.45507,0.43514,0.43241
142,0.95587,0.00000,0.45507,0.43514,0.43241
143,0.91507,0.00000,0.45507,0.43514,0.43241
144,0.86190,0.00000,0.45507,0.43514,0.43241
145,0.79655,0.00000,0.45918,0.43571,0.43248
146,0.73038,0.00000,0.45918,0.43571,0.43248
147,0.66422,0.00000,0.45918,0.43571,0.43248
148,0.60257,0.00000,0.45918,0.43571,0.43248
149,0.54962,0.00000,0.45918,0.43571,0.43248
150,0.50900,0.00000,0.45918,0.43571,0.43248
151,0.48346,0.00000,0.45918,0.43571,0.43248
152,0.47475,0.03439,0.45918,0.43571,0.43248
153,0.48346,0.06643,0.45918,0.43571,0.43248
154,0.50900,0.09395,0.45918,0.43571,0.43248
155,0.54962,0.11506,0.45918,0.43571,0.43248
156,0.60257,0.12834,0.45918,0.43571,0.43248
157,0.66422,0.13286,0.45918,0.43571,0.43248
158,0.73038,0.12834,0.45918,0.43571,0.43248
159,0.79655,0.11506,0.45918,0.43571,0.43248
160,0.85820,0.09395,0.45918,0.43571,0.43248
161,0.91114,0.06643,0.45918,0.43571,0.43248
162,0.95177,0.03439,0.45918,0.43571,0.43248
163,0.97731,0.00000,0.45918,0.43571,0.43248
164,0.98602,0.00000,0.45918,0.43571,0.43248
165,0.97731,0.00000,0.45918,0.43571,0.43248
166,0.95177,0.00000,0.45918,0.43571,0.43248
167,0.91114,0.00000,0.45918,0.43571,0.43248
168,0.85820,0.00000,0.45918,0.43571,0.43248
169,0.79251,0.00000,0.46400,0.43638,0.43257
170,0.72668,0.00000,0.46400,0.43638,0.43257
171,0.66086,0.00000,0.46400,0.43638,0.43257
172,0.59951,0.00000,0.46400,0.43638,0.43257
173,0.54684,0.00000,0.46400,0.43638,0.43257
174,0.50642,0.00000,0.46400,0.43638,0.43257
175,0.48101,0.00000,0.46400,0.43638,0.43257
176,0.47234,0.03640,0.46400,0.43638,0.43257
177,0.48101,0.07032,0.46400,0.43638,0.43257
178,0.50642,0.09944,0.46400,0.43638,0.43257
179,0.54684,0.12179,0.46400,0.43638,0.43257
180,0.59951,0.13584,0.46400,0.43638,0.43257
181,0.66086,0.14063,0.46400,0.43638,0.43257
182,0.72668,0.13584,0.46400,0.43638,0.43257
183,0.79251,0.12179,0.46400,0.43638,0.43257
184,0.85385,0.09944,0.46400,0.43638,0.43257
185,0.90653,0.07032,0.46400,0.43638,0.43257
186,0.94695,0.03640,0.46400,0.43638,0.43257
187,0.97236,0.00000,0.46400,0.43638,0.43257
188,0.98102,0.00000,0.46400,0.43638,0.43257
189,0.97236,0.00000,0.46400,0.43638,0.43257
190,0.94695,0.00000,0.46400,0.43638,0.43257
191,0.90653,0.00000,0.46400,0.43638,0.43257
192,0.85385,0.00000,0.46400,0.43638,0.43257
193,0.78789,0.00000,0.46962,0.43717,0.43268
194,0.72244,0.00000,0.46962,0.43717,0.43268
195,0.65700,0.00000,0.46962,0.43717,0.43268
196,0.59602,0.00000,0.46962,0.43717,0.43268
197,0.54365,0.00000,0.46962,0.43717,0.43268
198,0.50346,0.00000,0.46962,0.43717,0.43268
199,0.47820,0.00000,0.46962,0.43717,0.43268
200,0.46959,0.03870,0.46962,0.43717,0.43268
201,0.47820,0.07477,0.46962,0.43717,0.43268
202,0.50346,0.10574,0.46962,0.43717,0.43268
203,0.54365,0.12950,0.46962,0.43717,0.43268
204,0.59602,0.14444,0.46962,0.43717,0.43268
205,0.65700,0.14954,0.46962,0.43717,0.43268
206,0.72244,0.14444,0.46962,0.43717,0.43268
207,0.78789,0.12950,0.46962,0.43717,0.43268
208,0.84887,0.10574,0.46962,0.43717,0.43268
209,0.90124,0.07477,0.46962,0.43717,0.43268
210,0.94142,0.03870,0.46962,0.43717,0.43268
211,0.96668,0.00000,0.46962,0.43717,0.43268
212,0.97530,0.00000,0.46962,0.43717,0.43268
213,0.96668,0.00000,0.46962,0.43717,0.43268
214,0.94142,0.00000,0.46962,0.43717,0.43268
215,0.90124,0.00000,0.46962,0.43717,0.43268
216,0.84887,0.00000,0.46962,0.43717,0.43268
217,0.78268,0.00000,0.47615,0.43811,0.43280
218,0.71767,0.00000,0.47615,0.43811,0.43280
219,0.65266,0.00000,0.47615,0.43811,0.43280
220,0.59208,0.00000,0.47615,0.43811,0.43280
221,0.54006,0.00000,0.47615,0.43811,0.43280
222,0.50014,0.00000,0.47615,0.43811,0.43280
223,0.47505,0.00000,0.47615,0.43811,0.43280
224,0.46649,0.04130,0.47615,0.43811,0.43280
225,0.47505,0.07978,0.47615,0.43811,0.43280
226,0.50014,0.11282,0.47615,0.43811,0.43280
227,0.54006,0.13818,0.47615,0.43811,0.43280
228,0.59208,0.15412,0.47615,0.43811,0.43280
229,0.65266,0.15955,0.47615,0.43811,0.43280
230,0.71767,0.15412,0.47615,0.43811,0.43280
231,0.78268,0.13818,0.47615,0.43811,0.43280
232,0.84327,0.11282,0.47615,0.43811,0.43280
233,0.89529,0.07978,0.47615,0.43811,0.43280
234,0.93521,0.04130,0.47615,0.43811,0.43280
235,0.96030,0.00000,0.47615,0.43811,0.43280
236,0.96886,0.00000,0.47615,0.43811,0.43280
237,0.96030,0.00000,0.47615,0.43811,0.43280
238,0.93521,0.00000,0.47615,0.43811,0.43280
239,0.89529,0.00000,0.47615,0.43811,0.43280
240,0.84327,0.00000,0.47615,0.43811,0.43280
241,0.77692,0.00000,0.48372,0.43921,0.43296
242,0.71239,0.00000,0.48372,0.43921,0.43296
243,0.64785,0.00000,0.48372,0.43921,0.43296
244,0.58772,0.00000,0.48372,0.43921,0.43296
245,0.53608,0.00000,0.48372,0.43921,0.43296
246,0.49646,0.00000,0.48372,0.43921,0.43296
247,0.47155,0.00000,0.48372,0.43921,0.43296
248,0.46305,0.04417,0.48372,0.43921,0.43296
249,0.47155,0.08533,0.48372,0.43921,0.43296
250,0.49646,0.12067,0.48372,0.43921,0.43296
251,0.53608,0.14779,0.48372,0.43921,0.43296
252,0.58772,0.16484,0.48372,0.43921,0.43296
253,0.64785,0.17066,0.48372,0.43921,0.43296
254,0.71239,0.16484,0.48372,0.43921,0.43296
255,0.77692,0.14779,0.48372,0.43921,0.43296
256,0.83705,0.12067,0.48372,0.43921,0.43296
257,0.88869,0.08533,0.48372,0.43921,0.43296
258,0.92832,0.04417,0.48372,0.43921,0.43296
259,0.95323,0.00000,0.48372,0.43921,0.43296
260,0.96172,0.00000,0.48372,0.43921,0.43296
261,0.95323,0.00000,0.48372,0.43921,0.43296
262,0.92832,0.00000,0.48372,0.43921,0.43296
263,0.88869,0.00000,0.48372,0.43921,0.43296
264,0.83705,0.00000,0.48372,0.43921,0.43296
265,0.77061,0.00000,0.49244,0.44052,0.43314
266,0.70660,0.00000,0.49244,0.44052,0.43314
267,0.64259,0.00000,0.49244,0.44052,0.43314
268,0.58294,0.00000,0.49244,0.44052,0.43314
269,0.53172,0.00000,0.49244,0.44052,0.43314
270,0.49242,0.00000,0.49244,0.44052,0.43314
271,0.46771,0.00000,0.49244,0.44052,0.43314
272,0.45929,0.04732,0.49244,0.44052,0.43314
273,0.46771,0.09141,0.49244,0.44052,0.43314
274,0.49242,0.12927,0.49244,0.44052,0.43314
275,0.53172,0.15832,0.49244,0.44052,0.43314
276,0.58294,0.17658,0.49244,0.44052,0.43314
277,0.64259,0.18281,0.49244,0.44052,0.43314
278,0.70660,0.17658,0.49244,0.44052,0.43314
279,0.77061,0.15832,0.49244,0.44052,0.43314
280,0.83025,0.12927,0.49244,0.44052,0.43314
281,0.88147,0.09141,0.49244,0.44052,0.43314
282,0.92077,0.04732,0.49244,0.44052,0.43314
283,0.94548,0.00000,0.49244,0.44052,0.43314
284,0.95391,0.00000,0.49244,0.44052,0.43314
285,0.94548,0.00000,0.49244,0.44052,0.43314
286,0.92077,0.00000,0.49244,0.44052,0.43314
287,0.88147,0.00000,0.49244,0.44052,0.43314
288,0.83025,0.00000,0.49244,0.44052,0.43314
289,0.76376,0.00000,0.50246,0.44206,0.43335
290,0.70032,0.00000,0.50246,0.44206,0.43335
291,0.63688,0.00000,0.50246,0.44206,0.43335
292,0.57776,0.00000,0.50246,0.44206,0.43335
293,0.52700,0.00000,0.50246,0.44206,0.43335
294,0.48805,0.00000,0.50246,0.44206,0.43335
295,0.46356,0.00000,0.50246,0.44206,0.43335
296,0.45521,0.05073,0.50246,0.44206,0.43335
297,0.46356,0.09800,0.50246,0.44206,0.43335
298,0.48805,0.13859,0.50246,0.44206,0.43335
299,0.52700,0.16973,0.50246,0.44206,0.43335
300,0.57776,0.18931,0.50246,0.44206,0.43335
301,0.63688,0.19599,0.50246,0.44206,0.43335
302,0.70032,0.18931,0.50246,0.44206,0.43335
303,0.76376,0.16973,0.50246,0.44206,0.43335
304,0.82288,0.13859,0.50246,0.44206,0.43335
305,0.87364,0.09800,0.50246,0.44206,0.43335
306,0.91259,0.05073,0.50246,0.44206,0.43335
307,0.93708,0.00000,0.50246,0.44206,0.43335
308,0.94543,0.00000,0.50246,0.44206,0.43335
309,0.93708,0.00000,0.50246,0.44206,0.43335
310,0.91259,0.00000,0.50246,0.44206,0.43335
311,0.87364,0.00000,0.50246,0.44206,0.43335
312,0.82288,0.00000,0.50246,0.44206,0.43335
313,0.75640,0.00000,0.51388,0.44388,0.43360
314,0.69358,0.00000,0.51388,0.44388,0.43360
315,0.63075,0.00000,0.51388,0.44388,0.43360
316,0.57220,0.00000,0.51388,0.44388,0.43360
317,0.52192,0.00000,0.51388,0.44388,0.43360
318,0.48335,0.00000,0.51388,0.44388,0.43360
319,0.45910,0.00000,0.51388,0.44388,0.43360
320,0.45082,0.05439,0.51388,0.44388,0.43360
321,0.45910,0.10508,0.51388,0.44388,0.43360
322,0.48335,0.14860,0.51388,0.44388,0.43360
323,0.52192,0.18200,0.51388,0.44388,0.43360
324,0.57220,0.20300,0.51388,0.44388,0.43360
325,0.63075,0.21016,0.51388,0.44388,0.43360
326,0.69358,0.20300,0.51388,0.44388,0.43360
327,0.75640,0.18200,0.51388,0.44388,0.43360
328,0.81495,0.14860,0.51388,0.44388,0.43360
329,0.86523,0.10508,0.51388,0.44388,0.43360
330,0.90380,0.05439,0.51388,0.44388,0.43360
331,0.92806,0.00000,0.51388,0.44388,0.43360
332,0.93633,0.00000,0.51388,0.44388,0.43360
333,0.92806,0.00000,0.51388,0.44388,0.43360
334,0.90380,0.00000,0.51388,0.44388,0.43360
335,0.86523,0.00000,0.51388,0.44388,0.43360
336,0.81495,0.00000,0.51388,0.44388,0.43360
337,0.74856,0.00000,0.52685,0.44603,0.43390
338,0.68638,0.00000,0.52685,0.44603,0.43390
339,0.62420,0.00000,0.52685,0.44603,0.43390
340,0.56626,0.00000,0.52685,0.44603,0.43390
341,0.51651,0.00000,0.52685,0.44603,0.43390
342,0.47833,0.00000,0.52685,0.44603,0.43390
343,0.45433,0.00000,0.52685,0.44603,0.43390
344,0.44615,0.05830,0.52685,0.44603,0.43390
345,0.45433,0.11263,0.52685,0.44603,0.43390
346,0.47833,0.15929,0.52685,0.44603,0.43390
347,0.51651,0.19509,0.52685,0.44603,0.43390
348,0.56626,0.21759,0.52685,0.44603,0.43390
349,0.62420,0.22527,0.52685,0.44603,0.43390
350,0.68638,0.21759,0.52685,0.44603,0.43390
351,0.74856,0.19509,0.52685,0.44603,0.43390
352,0.80650,0.15929,0.52685,0.44603,0.43390
353,0.85625,0.11263,0.52685,0.44603,0.43390
354,0.89443,0.05830,0.52685,0.44603,0.43390
355,0.91843,0.00000,0.52685,0.44603,0.43390
356,0.92661,0.00000,0.52685,0.44603,0.43390
357,0.91843,0.00000,0.52685,0.44603,0.43390
358,0.89443,0.00000,0.52685,0.44603,0.43390
359,0.85625,0.00000,0.52685,0.44603,0.43390
360,0.80650,0.00000,0.52685,0.44603,0.43390
361,0.74024,0.00000,0.54147,0.44857,0.43424
362,0.67875,0.00000,0.54147,0.44857,0.43424
363,0.61727,0.00000,0.54147,0.44857,0.43424
364,0.55997,0.00000,0.54147,0.44857,0.43424
365,0.51077,0.00000,0.54147,0.44857,0.43424
