n_rep_periods,period_length,clustering_type,weight_type,tol,evaluation_type,normalization,cache,pgd_variant
1,2880,k_means,dirac,0.01,none,economic,true,proposed
10,24,convex_hull,convex,0.01,storage_regret,economic,true,proposed
10,24,convex_hull,convex,0.01,storage_regret,economic,false,proposed
10,24,convex_hull,convex,0.01,storage_regret,economic,true,gram_only
10,24,convex_hull,convex,0.01,storage_regret,economic,true,plain
10,24,convex_hull,conical,0.01,storage_regret,economic,true,proposed
10,24,convex_hull,conical,0.01,storage_regret,economic,false,proposed
10,24,convex_hull,conical,0.01,storage_regret,economic,true,gram_only
10,24,convex_hull,conical,0.01,storage_regret,economic,true,plain
10,24,conical_hull,convex,0.01,storage_regret,economic,true,proposed
10,24,conical_hull,convex,0.01,storage_regret,economic,false,proposed
10,24,conical_hull,convex,0.01,storage_regret,economic,true,gram_only
10,24,conical_hull,convex,0.01,storage_regret,economic,true,plain
10,24,conical_hull,conical,0.01,storage_regret,economic,true,proposed
10,24,conical_hull,conical,0.01,storage_regret,economic,false,proposed
10,24,conical_hull,conical,0.01,storage_regret,economic,true,gram_only
10,24,conical_hull,conical,0.01,storage_regret,economic,true,plain
20,24,convex_hull,convex,0.01,storage_regret,economic,true,proposed
20,24,convex_hull,convex,0.01,storage_regret,economic,false,proposed
20,24,convex_hull,convex,0.01,storage_regret,economic,true,gram_only
20,24,convex_hull,convex,0.01,storage_regret,economic,true,plain
20,24,convex_hull,conical,0.01,storage_regret,economic,true,proposed
20,24,convex_hull,conical,0.01,storage_regret,economic,false,proposed
20,24,convex_hull,conical,0.01,storage_regret,economic,true,gram_only
20,24,convex_hull,conical,0.01,storage_regret,economic,true,plain
20,24,conical_hull,convex,0.01,storage_regret,economic,true,proposed
20,24,conical_hull,convex,0.01,storage_regret,economic,false,proposed
20,24,conical_hull,convex,0.01,storage_regret,economic,true,gram_only
20,24,conical_hull,convex,0.01,storage_regret,economic,true,plain
20,24,conical_hull,conical,0.01,storage_regret,economic,true,proposed
20,24,conical_hull,conical,0.01,storage_regret,economic,false,proposed
20,24,conical_hull,conical,0.01,storage_regret,economic,true,gram_only
20,24,conical_hull,conical,0.01,storage_regret,economic,true,plain
40,24,convex_hull,convex,0.01,storage_regret,economic,true,proposed
40,24,convex_hull,convex,0.01,storage_regret,economic,false,proposed
40,24,convex_hull,convex,0.01,storage_regret,economic,true,gram_only
40,24,convex_hull,convex,0.01,storage_regret,economic,true,plain
40,24,convex_hull,conical,0.01,storage_regret,economic,true,proposed
40,24,convex_hull,conical,0.01,storage_regret,economic,false,proposed
40,24,convex_hull,conical,0.01,storage_regret,economic,true,gram_only
40,24,convex_hull,conical,0.01,storage_regret,economic,true,plain
40,24,conical_hull,convex,0.01,storage_regret,economic,true,proposed
40,24,conical_hull,convex,0.01,storage_regret,economic,false,proposed
40,24,conical_hull,convex,0.01,storage_regret,economic,true,gram_only
40,24,conical_hull,convex,0.01,storage_regret,economic,true,plain
40,24,conical_hull,conical,0.01,storage_regret,economic,true,proposed
40,24,conical_hull,conical,0.01,storage_regret,economic,false,proposed
40,24,conical_hull,conical,0.01,storage_regret,economic,true,gram_only
40,24,conical_hull,conical,0.01,storage_regret,economic,true,plain
80,24,convex_hull,convex,0.01,storage_regret,economic,true,proposed
80,24,convex_hull,convex,0.01,storage_regret,economic,false,proposed
80,24,convex_hull,convex,0.01,storage_regret,economic,true,gram_only
80,24,convex_hull,convex,0.01,storage_regret,economic,true,plain
80,24,convex_hull,conical,0.01,storage_regret,economic,true,proposed
80,24,convex_hull,conical,0.01,storage_regret,economic,false,proposed
80,24,convex_hull,conical,0.01,storage_regret,economic,true,gram_only
80,24,convex_hull,conical,0.01,storage_regret,economic,true,plain
80,24,conical_hull,convex,0.01,storage_regret,economic,true,proposed
80,24,conical_hull,convex,0.01,storage_regret,economic,false,proposed
80,24,conical_hull,convex,0.01,storage_regret,economic,true,gram_only
80,24,conical_hull,convex,0.01,storage_regret,economic,true,plain
80,24,conical_hull,conical,0.01,storage_regret,economic,true,proposed
80,24,conical_hull,conical,0.01,storage_regret,economic,false,proposed
80,24,conical_hull,conical,0.01,storage_regret,economic,true,gram_only
80,24,conical_hull,conical,0.01,storage_regret,economic,true,plain
