timestep,Hydro_inflow,Load_demand
1,0.55000,1.0
2,0.61213,1.0
3,0.65981,1.0
4,0.68978,1.0
5,0.70000,1.0
6,0.68978,1.0
7,0.65981,1.0
8,0.61213,1.0
9,0.55000,1.0
10,0.47765,1.0
11,0.40000,1.0
12,0.32235,1.0
13,0.25000,1.0
14,0.18787,1.0
15,0.14019,1.0
16,0.11022,1.0
17,0.10000,1.0
18,0.11022,1.0
19,0.14019,1.0
20,0.18787,1.0
21,0.25000,1.0
22,0.32235,1.0
23,0.40000,1.0
24,0.47765,1.0
25,0.30000,1.0
26,0.37235,1.0
27,0.45000,1.0
28,0.52765,1.0
29,0.60000,1.0
30,0.66213,1.0
31,0.70981,1.0
32,0.73978,1.0
33,0.75000,1.0
34,0.73978,1.0
35,0.70981,1.0
36,0.66213,1.0
37,0.60000,1.0
38,0.52765,1.0
39,0.45000,1.0
40,0.37235,1.0
41,0.30000,1.0
42,0.23787,1.0
43,0.19019,1.0
44,0.16022,1.0
45,0.15000,1.0
46,0.16022,1.0
47,0.19019,1.0
48,0.23787,1.0
49,0.20000,1.0
50,0.21022,1.0
51,0.24019,1.0
52,0.28787,1.0
53,0.35000,1.0
54,0.42235,1.0
55,0.50000,1.0
56,0.57765,1.0
57,0.65000,1.0
58,0.71213,1.0
59,0.75981,1.0
60,0.78978,1.0
61,0.80000,1.0
62,0.78978,1.0
63,0.75981,1.0
64,0.71213,1.0
65,0.65000,1.0
66,0.57765,1.0
67,0.50000,1.0
68,0.42235,1.0
69,0.35000,1.0
70,0.28787,1.0
71,0.24019,1.0
72,0.21022,1.0
73,0.35000,1.0
74,0.28787,1.0
75,0.24019,1.0
76,0.21022,1.0
77,0.20000,1.0
78,0.21022,1.0
79,0.24019,1.0
80,0.28787,1.0
81,0.35000,1.0
82,0.42235,1.0
83,0.50000,1.0
84,0.57765,1.0
85,0.65000,1.0
86,0.71213,1.0
87,0.75981,1.0
88,0.78978,1.0
89,0.80000,1.0
90,0.78978,1.0
91,0.75981,1.0
92,0.71213,1.0
93,0.65000,1.0
94,0.57765,1.0
95,0.50000,1.0
96,0.42235,1.0
97,0.60000,1.0
98,0.52765,1.0
99,0.45000,1.0
100,0.37235,1.0
101,0.30000,1.0
102,0.23787,1.0
103,0.19019,1.0
104,0.16022,1.0
105,0.15000,1.0
106,0.16022,1.0
107,0.19019,1.0
108,0.23787,1.0
109,0.30000,1.0
110,0.37235,1.0
111,0.45000,1.0
112,0.52765,1.0
113,0.60000,1.0
114,0.66213,1.0
115,0.70981,1.0
116,0.73978,1.0
117,0.75000,1.0
118,0.73978,1.0
119,0.70981,1.0
120,0.66213,1.0
121,0.70000,1.0
122,0.68978,1.0
123,0.65981,1.0
124,0.61213,1.0
125,0.55000,1.0
126,0.47765,1.0
127,0.40000,1.0
128,0.32235,1.0
129,0.25000,1.0
130,0.18787,1.0
131,0.14019,1.0
132,0.11022,1.0
133,0.10000,1.0
134,0.11022,1.0
135,0.14019,1.0
136,0.18787,1.0
137,0.25000,1.0
138,0.32235,1.0
139,0.40000,1.0
140,0.47765,1.0
141,0.55000,1.0
142,0.61213,1.0
143,0.65981,1.0
144,0.68978,1.0
145,0.00000,1.0
146,0.00000,1.0
147,0.00000,1.0
148,0.00000,1.0
149,0.00000,1.0
150,0.00000,1.0
151,0.00000,1.0
152,0.00000,1.0
153,0.00000,1.0
154,0.00000,1.0
155,0.00000,1.0
156,0.00000,1.0
157,0.00000,1.0
158,0.00000,1.0
159,0.00000,1.0
160,0.00000,1.0
161,0.00000,1.0
162,0.00000,1.0
163,0.00000,1.0
164,0.00000,1.0
165,0.00000,1.0
166,0.00000,1.0
167,0.00000,1.0
168,0.00000,1.0
169,0.00000,1.0
170,0.00000,1.0
171,0.00000,1.0
172,0.00000,1.0
173,0.00000,1.0
174,0.00000,1.0
175,0.00000,1.0
176,0.00000,1.0
177,0.00000,1.0
178,0.00000,1.0
179,0.00000,1.0
180,0.00000,1.0
181,0.00000,1.0
182,0.00000,1.0
183,0.00000,1.0
184,0.00000,1.0
185,0.00000,1.0
186,0.00000,1.0
187,0.00000,1.0
188,0.00000,1.0
189,0.00000,1.0
190,0.00000,1.0
191,0.00000,1.0
192,0.00000,1.0
193,0.00000,1.0
194,0.00000,1.0
195,0.00000,1.0
196,0.00000,1.0
197,0.00000,1.0
198,0.00000,1.0
199,0.00000,1.0
200,0.00000,1.0
201,0.00000,1.0
202,0.00000,1.0
203,0.00000,1.0
204,0.00000,1.0
205,0.00000,1.0
206,0.00000,1.0
207,0.00000,1.0
208,0.00000,1.0
209,0.00000,1.0
210,0.00000,1.0
211,0.00000,1.0
212,0.00000,1.0
213,0.00000,1.0
214,0.00000,1.0
215,0.00000,1.0
216,0.00000,1.0
217,0.00000,1.0
218,0.00000,1.0
219,0.00000,1.0
220,0.00000,1.0
221,0.00000,1.0
222,0.00000,1.0
223,0.00000,1.0
224,0.00000,1.0
225,0.00000,1.0
226,0.00000,1.0
227,0.00000,1.0
228,0.00000,1.0
229,0.00000,1.0
230,0.00000,1.0
231,0.00000,1.0
232,0.00000,1.0
233,0.00000,1.0
234,0.00000,1.0
235,0.00000,1.0
236,0.00000,1.0
237,0.00000,1.0
238,0.00000,1.0
239,0.00000,1.0
240,0.00000,1.0
241,0.00000,1.0
242,0.00000,1.0
243,0.00000,1.0
244,0.00000,1.0
245,0.00000,1.0
246,0.00000,1.0
247,0.00000,1.0
248,0.00000,1.0
249,0.00000,1.0
250,0.00000,1.0
251,0.00000,1.0
252,0.00000,1.0
253,0.00000,1.0
254,0.00000,1.0
255,0.00000,1.0
256,0.00000,1.0
257,0.00000,1.0
258,0.00000,1.0
259,0.00000,1.0
260,0.00000,1.0
261,0.00000,1.0
262,0.00000,1.0
263,0.00000,1.0
264,0.00000,1.0
265,0.00000,1.0
266,0.00000,1.0
267,0.00000,1.0
268,0.00000,1.0
269,0.00000,1.0
270,0.00000,1.0
271,0.00000,1.0
272,0.00000,1.0
273,0.00000,1.0
274,0.00000,1.0
275,0.00000,1.0
276,0.00000,1.0
277,0.00000,1.0
278,0.00000,1.0
279,0.00000,1.0
280,0.00000,1.0
281,0.00000,1.0
282,0.00000,1.0
283,0.00000,1.0
284,0.00000,1.0
285,0.00000,1.0
286,0.00000,1.0
287,0.00000,1.0
288,0.00000,1.0
