id,location,technology,unit_capacity,initial_units
CZE_Coal,CZE,Coal,400.0,0
GER_Coal,GER,Coal,400.0,0
IRE_Coal,IRE,Coal,400.0,0
POL_Coal,POL,Coal,400.0,0
SKO_Coal,SKO,Coal,400.0,0
AUS_Gas,AUS,Gas,250.0,0
BEL_Gas,BEL,Gas,250.0,0
BLK_Gas,BLK,Gas,250.0,0
BLT_Gas,BLT,Gas,250.0,0
CZE_Gas,CZE,Gas,250.0,0
DEN_Gas,DEN,Gas,250.0,0
FIN_Gas,FIN,Gas,250.0,0
FRA_Gas,FRA,Gas,250.0,0
GER_Gas,GER,Gas,250.0,0
IRE_Gas,IRE,Gas,250.0,0
ITA_Gas,ITA,Gas,250.0,0
POL_Gas,POL,Gas,250.0,0
POR_Gas,POR,Gas,250.0,0
SKO_Gas,SKO,Gas,250.0,0
SPA_Gas,SPA,Gas,250.0,0
SWE_Gas,SWE,Gas,250.0,0
UKI_Gas,UKI,Gas,250.0,0
BLK_Lignite,BLK,Lignite,400.0,0
CZE_Lignite,CZE,Lignite,400.0,0
GER_Lignite,GER,Lignite,400.0,0
POL_Lignite,POL,Lignite,400.0,0
SKO_Lignite,SKO,Lignite,400.0,0
BLK_Nuclear,BLK,Nuclear,1000.0,0
CZE_Nuclear,CZE,Nuclear,1000.0,0
FIN_Nuclear,FIN,Nuclear,1000.0,0
FRA_Nuclear,FRA,Nuclear,1000.0,0
SKO_Nuclear,SKO,Nuclear,1000.0,0
SPA_Nuclear,SPA,Nuclear,1000.0,0
SWE_Nuclear,SWE,Nuclear,1000.0,0
SWI_Nuclear,SWI,Nuclear,1000.0,0
UKI_Nuclear,UKI,Nuclear,1000.0,0
AUS_Oil,AUS,Oil,100.0,0
BEL_Oil,BEL,Oil,100.0,0
BLK_Oil,BLK,Oil,100.0,0
BLT_Oil,BLT,Oil,100.0,0
DEN_Oil,DEN,Oil,100.0,0
FRA_Oil,FRA,Oil,100.0,0
GER_Oil,GER,Oil,100.0,0
IRE_Oil,IRE,Oil,100.0,0
SKO_Oil,SKO,Oil,100.0,0
UKI_Oil,UKI,Oil,100.0,0
AUS_SunPV,AUS,SunPV,50.0,0
BEL_SunPV,BEL,SunPV,50.0,0
BLK_SunPV,BLK,SunPV,50.0,0
BLT_SunPV,BLT,SunPV,50.0,0
CZE_SunPV,CZE,SunPV,50.0,0
DEN_SunPV,DEN,SunPV,50.0,0
FIN_SunPV,FIN,SunPV,50.0,0
FRA_SunPV,FRA,SunPV,50.0,0
GER_SunPV,GER,SunPV,50.0,0
IRE_SunPV,IRE,SunPV,50.0,0
ITA_SunPV,ITA,SunPV,50.0,0
NED_SunPV,NED,SunPV,50.0,0
NOR_SunPV,NOR,SunPV,50.0,0
POL_SunPV,POL,SunPV,50.0,0
POR_SunPV,POR,SunPV,50.0,0
SKO_SunPV,SKO,SunPV,50.0,0
SPA_SunPV,SPA,SunPV,50.0,0
SWE_SunPV,SWE,SunPV,50.0,0
SWI_SunPV,SWI,SunPV,50.0,0
UKI_SunPV,UKI,SunPV,50.0,0
AUS_WindOff,AUS,WindOff,100.0,0
BEL_WindOff,BEL,WindOff,100.0,0
BLK_WindOff,BLK,WindOff,100.0,0
BLT_WindOff,BLT,WindOff,100.0,0
CZE_WindOff,CZE,WindOff,100.0,0
DEN_WindOff,DEN,WindOff,100.0,0
FIN_WindOff,FIN,WindOff,100.0,0
FRA_WindOff,FRA,WindOff,100.0,0
GER_WindOff,GER,WindOff,100.0,0
IRE_WindOff,IRE,WindOff,100.0,0
ITA_WindOff,ITA,WindOff,100.0,0
NED_WindOff,NED,WindOff,100.0,0
NOR_WindOff,NOR,WindOff,100.0,0
POL_WindOff,POL,WindOff,100.0,0
POR_WindOff,POR,WindOff,100.0,0
SKO_WindOff,SKO,WindOff,100.0,0
SPA_WindOff,SPA,WindOff,100.0,0
SWE_WindOff,SWE,WindOff,100.0,0
SWI_WindOff,SWI,WindOff,100.0,0
UKI_WindOff,UKI,WindOff,100.0,0
AUS_WindOn,AUS,WindOn,100.0,0
BEL_WindOn,BEL,WindOn,100.0,0
BLK_WindOn,BLK,WindOn,100.0,0
BLT_WindOn,BLT,WindOn,100.0,0
CZE_WindOn,CZE,WindOn,100.0,0
DEN_WindOn,DEN,WindOn,100.0,0
FIN_WindOn,FIN,WindOn,100.0,0
FRA_WindOn,FRA,WindOn,100.0,0
GER_WindOn,GER,WindOn,100.0,0
IRE_WindOn,IRE,WindOn,100.0,0
ITA_WindOn,ITA,WindOn,100.0,0
NED_WindOn,NED,WindOn,100.0,0
NOR_WindOn,NOR,WindOn,100.0,0
POL_WindOn,POL,WindOn,100.0,0
POR_WindOn,POR,WindOn,100.0,0
SKO_WindOn,SKO,WindOn,100.0,0
SPA_WindOn,SPA,WindOn,100.0,0
SWE_WindOn,SWE,WindOn,100.0,0
SWI_WindOn,SWI,WindOn,100.0,0
UKI_WindOn,UKI,WindOn,100.0,0
AUS_ENS,AUS,ENS,8600.283,1
BEL_ENS,BEL,ENS,8890.114,1
BLK_ENS,BLK,ENS,37695.707,1
BLT_ENS,BLT,ENS,3659.58,1
CZE_ENS,CZE,ENS,6781.248,1
DEN_ENS,DEN,ENS,6573.075,1
FIN_ENS,FIN,ENS,10556.419,1
FRA_ENS,FRA,ENS,71931.626,1
GER_ENS,GER,ENS,67462.985,1
IRE_ENS,IRE,ENS,5578.044,1
ITA_ENS,ITA,ENS,45068.468,1
NED_ENS,NED,ENS,19940.03,1
NOR_ENS,NOR,ENS,27489.098,1
POL_ENS,POL,ENS,17766.732,1
POR_ENS,POR,ENS,6971.8,1
SKO_ENS,SKO,ENS,2815.099,1
SPA_ENS,SPA,ENS,31507.351,1
SWE_ENS,SWE,ENS,15866.775,1
SWI_ENS,SWI,ENS,10471.764,1
UKI_ENS,UKI,ENS,47181.153,1
