id,location,carrier,peak_demand
AUS_Demand,AUS,electricity,8600.283
BEL_Demand,BEL,electricity,8890.114
BLK_Demand,BLK,electricity,37695.707
BLT_Demand,BLT,electricity,3659.58
CZE_Demand,CZE,electricity,6781.248
DEN_Demand,DEN,electricity,6573.075
FIN_Demand,FIN,electricity,10556.419
FRA_Demand,FRA,electricity,71931.626
GER_Demand,GER,electricity,67462.985
IRE_Demand,IRE,electricity,5578.044
ITA_Demand,ITA,electricity,45068.468
NED_Demand,NED,electricity,19940.03
NOR_Demand,NOR,electricity,27489.098
POL_Demand,POL,electricity,17766.732
POR_Demand,POR,electricity,6971.8
SKO_Demand,SKO,electricity,2815.099
SPA_Demand,SPA,electricity,31507.351
SWE_Demand,SWE,electricity,15866.775
SWI_Demand,SWI,electricity,10471.764
UKI_Demand,UKI,electricity,47181.153
