id,cost
CZE_Coal,33.75
GER_Coal,33.75
IRE_Coal,33.75
POL_Coal,33.75
SKO_Coal,33.75
AUS_Gas,23.333
BEL_Gas,23.333
BLK_Gas,23.333
BLT_Gas,23.333
CZE_Gas,23.333
DEN_Gas,23.333
FIN_Gas,23.333
FRA_Gas,23.333
GER_Gas,23.333
IRE_Gas,23.333
ITA_Gas,23.333
POL_Gas,23.333
POR_Gas,23.333
SKO_Gas,23.333
SPA_Gas,23.333
SWE_Gas,23.333
UKI_Gas,23.333
BLK_Lignite,38.75
CZE_Lignite,38.75
GER_Lignite,38.75
POL_Lignite,38.75
SKO_Lignite,38.75
BLK_Nuclear,68.667
CZE_Nuclear,68.667
FIN_Nuclear,68.667
FRA_Nuclear,68.667
SKO_Nuclear,68.667
SPA_Nuclear,68.667
SWE_Nuclear,68.667
SWI_Nuclear,68.667
UKI_Nuclear,68.667
AUS_Oil,24.167
BEL_Oil,24.167
BLK_Oil,24.167
BLT_Oil,24.167
DEN_Oil,24.167
FRA_Oil,24.167
GER_Oil,24.167
IRE_Oil,24.167
SKO_Oil,24.167
UKI_Oil,24.167
AUS_SunPV,24.0
BEL_SunPV,24.0
BLK_SunPV,24.0
BLT_SunPV,24.0
CZE_SunPV,24.0
DEN_SunPV,24.0
FIN_SunPV,24.0
FRA_SunPV,24.0
GER_SunPV,24.0
IRE_SunPV,24.0
ITA_SunPV,24.0
NED_SunPV,24.0
NOR_SunPV,24.0
POL_SunPV,24.0
POR_SunPV,24.0
SKO_SunPV,24.0
SPA_SunPV,24.0
SWE_SunPV,24.0
SWI_SunPV,24.0
UKI_SunPV,24.0
AUS_WindOff,88.333
BEL_WindOff,88.333
BLK_WindOff,88.333
BLT_WindOff,88.333
CZE_WindOff,88.333
DEN_WindOff,88.333
FIN_WindOff,88.333
FRA_WindOff,88.333
GER_WindOff,88.333
IRE_WindOff,88.333
ITA_WindOff,88.333
NED_WindOff,88.333
NOR_WindOff,88.333
POL_WindOff,88.333
POR_WindOff,88.333
SKO_WindOff,88.333
SPA_WindOff,88.333
SWE_WindOff,88.333
SWI_WindOff,88.333
UKI_WindOff,88.333
AUS_WindOn,48.4
BEL_WindOn,48.4
BLK_WindOn,48.4
BLT_WindOn,48.4
CZE_WindOn,48.4
DEN_WindOn,48.4
FIN_WindOn,48.4
FRA_WindOn,48.4
GER_WindOn,48.4
IRE_WindOn,48.4
ITA_WindOn,48.4
NED_WindOn,48.4
NOR_WindOn,48.4
POL_WindOn,48.4
POR_WindOn,48.4
SKO_WindOn,48.4
SPA_WindOn,48.4
SWE_WindOn,48.4
SWI_WindOn,48.4
UKI_WindOn,48.4
