timestep,AUS_SunPV,AUS_WindOff,AUS_WindOn,BEL_SunPV,BEL_WindOff,BEL_WindOn,BLK_SunPV,BLK_WindOff,BLK_WindOn,BLT_SunPV,BLT_WindOff,BLT_WindOn,CZE_SunPV,CZE_WindOff,CZE_WindOn,DEN_SunPV,DEN_WindOff,DEN_WindOn,FIN_SunPV,FIN_WindOff,FIN_WindOn,FRA_SunPV,FRA_WindOff,FRA_WindOn,GER_SunPV,GER_WindOff,GER_WindOn,IRE_SunPV,IRE_WindOff,IRE_WindOn,ITA_SunPV,ITA_WindOff,ITA_WindOn,NED_SunPV,NED_WindOff,NED_WindOn,NOR_SunPV,NOR_WindOff,NOR_WindOn,POL_SunPV,POL_WindOff,POL_WindOn,POR_SunPV,POR_WindOff,POR_WindOn,SKO_SunPV,SKO_WindOff,SKO_WindOn,SPA_SunPV,SPA_WindOff,SPA_WindOn,SWE_SunPV,SWE_WindOff,SWE_WindOn,SWI_SunPV,SWI_WindOff,SWI_WindOn,UKI_SunPV,UKI_WindOff,UKI_WindOn,AUS_Demand,BEL_Demand,BLK_Demand,BLT_Demand,CZE_Demand,DEN_Demand,FIN_Demand,FRA_Demand,GER_Demand,IRE_Demand,ITA_Demand,NED_Demand,NOR_Demand,POL_Demand,POR_Demand,SKO_Demand,SPA_Demand,SWE_Demand,SWI_Demand,UKI_Demand
1,0.0,0.0,0.115,0.0,0.731,0.177,0.0,0.746,0.483,0.0,0.736,0.307,0.0,0.0,0.195,0.0,0.739,0.503,0.0,0.715,0.366,0.0,0.602,0.158,0.0,0.816,0.252,0.0,0.88,0.691,0.0,0.821,0.728,0.0,0.721,0.369,0.0,0.877,0.491,0.0,0.777,0.318,0.0,0.016,0.375,0.0,0.0,0.05,0.0,0.184,0.381,0.0,0.768,0.482,0.0,0.0,0.18,0.0,0.847,0.721,0.5191506064481091,0.6002601816288914,0.7074315386882319,0.5256347364862392,0.43397317556779846,0.5042747022013064,0.6170086075961537,0.7182235724389641,0.4900712604058843,0.5354456010168755,0.26836387433328035,0.660482651,0.7446381916581043,0.5164188314830376,0.5514181609999147,0.6074101304908058,0.4988329344716696,0.47868437642294587,0.7172233505281732,0.4280976823895046
2,0.0,0.0,0.134,0.0,0.725,0.179,0.0,0.59,0.477,0.0,0.725,0.318,0.0,0.0,0.195,0.0,0.728,0.511,0.0,0.719,0.371,0.0,0.583,0.154,0.0,0.805,0.263,0.0,0.894,0.705,0.0,0.844,0.738,0.0,0.722,0.353,0.0,0.896,0.477,0.0,0.83,0.333,0.0,0.054,0.436,0.0,0.0,0.021,0.0,0.183,0.37,0.0,0.77,0.486,0.0,0.0,0.129,0.0,0.838,0.714,0.4796151780920659,0.5494455496882167,0.6687304504717873,0.49184626614828364,0.41894199312952823,0.49225053538865954,0.5846898585712319,0.7129867533033478,0.46616948755305704,0.48887188097029904,0.240863502,0.6481863990217037,0.7434077674227902,0.47310800496163485,0.5212734614191086,0.5672866189533514,0.46536869441803186,0.46357448791096084,0.7180112483265898,0.4339540883533449
3,0.0,0.0,0.156,0.0,0.739,0.195,0.0,0.454,0.466,0.0,0.703,0.334,0.0,0.0,0.197,0.0,0.755,0.52,0.0,0.655,0.347,0.0,0.541,0.156,0.0,0.782,0.273,0.0,0.908,0.722,0.0,0.8,0.742,0.0,0.737,0.361,0.0,0.912,0.462,0.0,0.891,0.355,0.0,0.144,0.456,0.0,0.0,0.0,0.0,0.157,0.345,0.0,0.78,0.494,0.0,0.0,0.092,0.0,0.843,0.706,0.44381170757494054,0.5050240818528762,0.6184055332814907,0.4619314001021415,0.40332135255642537,0.47185511320012097,0.5735062445391472,0.6807397092677185,0.44065385775511523,0.44593164938643093,0.20229096784944506,0.6273125193406841,0.730162612,0.43419593425881214,0.48093698245622113,0.5220190674751936,0.4103845791554281,0.4451770922750293,0.6934879293508737,0.42437087859433115
4,0.0,0.0,0.155,0.0,0.749,0.212,0.0,0.449,0.457,0.0,0.741,0.346,0.0,0.0,0.197,0.0,0.769,0.539,0.0,0.581,0.321,0.0,0.516,0.162,0.0,0.801,0.272,0.0,0.9,0.729,0.0,0.77,0.734,0.0,0.741,0.381,0.0,0.935,0.457,0.0,0.868,0.36,0.0,0.13,0.439,0.0,0.0,0.0,0.0,0.164,0.316,0.0,0.804,0.488,0.0,0.0,0.071,0.0,0.844,0.696,0.4099908396597409,0.46787759386153654,0.5811891795253112,0.4453290212277076,0.39167955439345153,0.45054646315239394,0.5663032388913637,0.6376269656351932,0.41896459552831566,0.4048257725283008,0.16911948823187933,0.6052982614348061,0.7221286659415008,0.40707027337756896,0.4278248927186109,0.4870395958784392,0.36207329341498395,0.42703258180247816,0.6876771830875513,0.3750754283945571
5,0.0,0.0,0.168,0.0,0.735,0.234,0.0,0.449,0.456,0.0,0.76,0.365,0.0,0.0,0.203,0.0,0.788,0.574,0.0,0.533,0.295,0.0,0.538,0.173,0.0,0.832,0.283,0.0,0.897,0.732,0.0,0.659,0.716,0.0,0.735,0.385,0.0,0.959,0.486,0.0,0.825,0.36,0.0,0.2,0.408,0.0,0.0,0.0,0.0,0.128,0.295,0.0,0.814,0.487,0.0,0.0,0.059,0.0,0.835,0.693,0.4005443213799782,0.4376754048121988,0.5565645778105242,0.4403894376827582,0.38416396317431645,0.4408053659877188,0.5691465305944358,0.6141732970465357,0.40875797475668824,0.38175314014523287,0.149248107,0.5917624677224107,0.7174964805850291,0.3998518022906684,0.38705777519028345,0.48429610791006616,0.3279751345567394,0.42431406629613827,0.655077912,0.33035378285249256
6,0.0,0.0,0.188,0.0,0.737,0.228,0.0,0.498,0.454,0.0,0.808,0.388,0.0,0.0,0.199,0.0,0.812,0.604,0.0,0.555,0.282,0.0,0.522,0.17,0.0,0.846,0.287,0.0,0.939,0.777,0.0,0.753,0.698,0.0,0.76,0.405,0.0,0.975,0.495,0.0,0.811,0.356,0.0,0.371,0.389,0.0,0.0,0.0,0.0,0.135,0.282,0.0,0.829,0.496,0.0,0.0,0.052,0.0,0.836,0.681,0.41115707648440286,0.4249993035688641,0.5531054040622393,0.45146302295904484,0.36986960340458996,0.4449148913540658,0.5873435974940994,0.61662368,0.3974551437885715,0.3684575908173755,0.14904556705218558,0.5908699978073073,0.722852445,0.3930280913413329,0.3626549231486781,0.4870395958784392,0.31599740556446215,0.43354437475952623,0.6591158878949496,0.2924565442600278
7,0.0,0.0,0.204,0.0,0.766,0.231,0.009,0.645,0.446,0.0,0.872,0.413,0.0,0.0,0.188,0.0,0.84,0.656,0.0,0.568,0.275,0.0,0.48,0.161,0.0,0.861,0.302,0.0,0.958,0.829,0.0,0.719,0.68,0.0,0.78,0.434,0.0,0.955,0.521,0.0,0.802,0.371,0.0,0.205,0.389,0.0,0.0,0.0,0.0,0.199,0.274,0.0,0.843,0.518,0.0,0.0,0.05,0.0,0.855,0.643,0.41768800270251016,0.42940838226219746,0.553984835,0.46256158397520974,0.3607330023146607,0.46348385782422763,0.5876279266644064,0.6199001928392286,0.3749344768746801,0.3722950015943034,0.1677017112875737,0.5975635221705781,0.7311035250696662,0.39291530273060016,0.3491615814315555,0.4921836358191392,0.3195006410635957,0.45946510400602786,0.6388275195857218,0.2813003328991568
8,0.01,0.0,0.201,0.0,0.786,0.253,0.103,0.653,0.44,0.002,0.821,0.447,0.002,0.0,0.164,0.0,0.875,0.706,0.0,0.546,0.266,0.001,0.477,0.169,0.0,0.88,0.315,0.0,0.972,0.893,0.047,0.736,0.628,0.0,0.788,0.453,0.0,0.916,0.524,0.004,0.771,0.372,0.0,0.25,0.405,0.055,0.0,0.014,0.0,0.231,0.264,0.0,0.874,0.537,0.001,0.0,0.049,0.0,0.874,0.636,0.4526751074423717,0.40119027862485945,0.5584220202900639,0.4700863860293427,0.3507122140224811,0.4835748707263707,0.6017496087896654,0.6247029440785785,0.37907106364254944,0.38564566506114023,0.17607334657775994,0.6123884390936807,0.741381186,0.38597880317053196,0.3444245572117148,0.4856678518942509,0.33174528323676095,0.47956947449477794,0.6171603301292655,0.29439254623154665
9,0.088,0.0,0.159,0.025,0.796,0.334,0.203,0.68,0.417,0.025,0.78,0.466,0.04,0.0,0.147,0.0,0.87,0.703,0.001,0.491,0.24,0.067,0.603,0.188,0.044,0.868,0.333,0.0,0.982,0.949,0.202,0.78,0.605,0.015,0.795,0.496,0.0,0.907,0.56,0.042,0.717,0.379,0.04,0.121,0.392,0.147,0.0,0.014,0.102,0.301,0.235,0.002,0.91,0.55,0.054,0.0,0.035,0.0,0.902,0.65,0.49442638576527387,0.4033948179715267,0.5944439422666471,0.4799610642893026,0.35808044070790807,0.5003173814781557,0.5969160128944424,0.6178698752599123,0.3896647726703612,0.39566657103121794,0.1894184533709867,0.6252300895387745,0.746881906,0.38220038471098233,0.30681545582994824,0.5093304356214703,0.3223032294629036,0.48797790617717945,0.6116450455403496,0.3045565565820153
10,0.107,0.0,0.156,0.178,0.793,0.338,0.26,0.702,0.405,0.036,0.783,0.506,0.051,0.0,0.146,0.008,0.869,0.687,0.007,0.462,0.223,0.218,0.497,0.174,0.126,0.871,0.351,0.0,0.99,0.971,0.324,0.853,0.65,0.134,0.785,0.474,0.003,0.914,0.568,0.053,0.682,0.398,0.281,0.084,0.218,0.144,0.0,0.021,0.33,0.264,0.155,0.011,0.925,0.564,0.115,0.0,0.012,0.004,0.923,0.705,0.536294288,0.41342547199886137,0.6450761619844421,0.5151188594154715,0.4264575843486633,0.531214924,0.6021287143500749,0.6330622516292816,0.42580526730270307,0.4229058640214954,0.24518434651367757,0.6425836712213333,0.7571957566479139,0.4090440740653933,0.33437632401811324,0.5446528432142743,0.3404199616155713,0.5020130327447976,0.6361683645160666,0.3243279767161429
