n_rep_periods,period_length,clustering_type,weight_type,tol,evaluation_type,normalization
1,8760,k_means,dirac,0.01,none,unscaled
10,24,k_means,dirac,0.01,storage_regret,unscaled
10,24,k_medoids,dirac,0.01,storage_regret,unscaled
10,24,hull,dirac,0.01,storage_regret,unscaled
10,24,k_means,convex,0.01,storage_regret,unscaled
10,24,k_medoids,convex,0.01,storage_regret,unscaled
10,24,hull,convex,0.01,storage_regret,unscaled
10,24,k_means,conical_bounded,0.01,storage_regret,unscaled
10,24,k_medoids,conical_bounded,0.01,storage_regret,unscaled
10,24,hull,conical_bounded,0.01,storage_regret,unscaled
10,24,k_means,conical,0.01,storage_regret,unscaled
10,24,k_medoids,conical,0.01,storage_regret,unscaled
10,24,hull,conical,0.01,storage_regret,unscaled
20,24,k_means,dirac,0.01,storage_regret,unscaled
20,24,k_medoids,dirac,0.01,storage_regret,unscaled
20,24,hull,dirac,0.01,storage_regret,unscaled
20,24,k_means,convex,0.01,storage_regret,unscaled
20,24,k_medoids,convex,0.01,storage_regret,unscaled
20,24,hull,convex,0.01,storage_regret,unscaled
20,24,k_means,conical_bounded,0.01,storage_regret,unscaled
20,24,k_medoids,conical_bounded,0.01,storage_regret,unscaled
20,24,hull,conical_bounded,0.01,storage_regret,unscaled
20,24,k_means,conical,0.01,storage_regret,unscaled
20,24,k_medoids,conical,0.01,storage_regret,unscaled
20,24,hull,conical,0.01,storage_regret,unscaled
40,24,k_means,dirac,0.01,storage_regret,unscaled
40,24,k_medoids,dirac,0.01,storage_regret,unscaled
40,24,hull,dirac,0.01,storage_regret,unscaled
40,24,k_means,convex,0.01,storage_regret,unscaled
40,24,k_medoids,convex,0.01,storage_regret,unscaled
40,24,hull,convex,0.01,storage_regret,unscaled
40,24,k_means,conical_bounded,0.01,storage_regret,unscaled
40,24,k_medoids,conical_bounded,0.01,storage_regret,unscaled
40,24,hull,conical_bounded,0.01,storage_regret,unscaled
40,24,k_means,conical,0.01,storage_regret,unscaled
40,24,k_medoids,conical,0.01,storage_regret,unscaled
40,24,hull,conical,0.01,storage_regret,unscaled
80,24,k_means,dirac,0.01,storage_regret,unscaled
80,24,k_medoids,dirac,0.01,storage_regret,unscaled
80,24,hull,dirac,0.01,storage_regret,unscaled
80,24,k_means,convex,0.01,storage_regret,unscaled
80,24,k_medoids,convex,0.01,storage_regret,unscaled
80,24,hull,convex,0.01,storage_regret,unscaled
80,24,k_means,conical_bounded,0.01,storage_regret,unscaled
80,24,k_medoids,conical_bounded,0.01,storage_regret,unscaled
80,24,hull,conical_bounded,0.01,storage_regret,unscaled
80,24,k_means,conical,0.01,storage_regret,unscaled
80,24,k_medoids,conical,0.01,storage_regret,unscaled
80,24,hull,conical,0.01,storage_regret,unscaled
10,24,hierarchical,dirac,0.01,storage_regret,unscaled
10,24,hierarchical,convex,0.01,storage_regret,unscaled
10,24,hierarchical,conical_bounded,0.01,storage_regret,unscaled
10,24,hierarchical,conical,0.01,storage_regret,unscaled
20,24,hierarchical,dirac,0.01,storage_regret,unscaled
20,24,hierarchical,convex,0.01,storage_regret,unscaled
20,24,hierarchical,conical_bounded,0.01,storage_regret,unscaled
20,24,hierarchical,conical,0.01,storage_regret,unscaled
40,24,hierarchical,dirac,0.01,storage_regret,unscaled
40,24,hierarchical,convex,0.01,storage_regret,unscaled
40,24,hierarchical,conical_bounded,0.01,storage_regret,unscaled
40,24,hierarchical,conical,0.01,storage_regret,unscaled
80,24,hierarchical,dirac,0.01,storage_regret,unscaled
80,24,hierarchical,convex,0.01,storage_regret,unscaled
80,24,hierarchical,conical_bounded,0.01,storage_regret,unscaled
80,24,hierarchical,conical,0.01,storage_regret,unscaled
10,24,hull,dirac,0.01,storage_regret,economic
10,24,hull,dirac,0.01,storage_regret,minmax
10,24,hull,convex,0.01,storage_regret,economic
10,24,hull,convex,0.01,storage_regret,minmax
10,24,hull,conical_bounded,0.01,storage_regret,economic
10,24,hull,conical_bounded,0.01,storage_regret,minmax
10,24,hull,conical,0.01,storage_regret,economic
10,24,hull,conical,0.01,storage_regret,minmax
20,24,hull,dirac,0.01,storage_regret,economic
20,24,hull,dirac,0.01,storage_regret,minmax
20,24,hull,convex,0.01,storage_regret,economic
20,24,hull,convex,0.01,storage_regret,minmax
20,24,hull,conical_bounded,0.01,storage_regret,economic
20,24,hull,conical_bounded,0.01,storage_regret,minmax
20,24,hull,conical,0.01,storage_regret,economic
20,24,hull,conical,0.01,storage_regret,minmax
40,24,hull,dirac,0.01,storage_regret,economic
40,24,hull,dirac,0.01,storage_regret,minmax
40,24,hull,convex,0.01,storage_regret,economic
40,24,hull,convex,0.01,storage_regret,minmax
40,24,hull,conical_bounded,0.01,storage_regret,economic
40,24,hull,conical_bounded,0.01,storage_regret,minmax
40,24,hull,conical,0.01,storage_regret,economic
40,24,hull,conical,0.01,storage_regret,minmax
80,24,hull,dirac,0.01,storage_regret,economic
80,24,hull,dirac,0.01,storage_regret,minmax
80,24,hull,convex,0.01,storage_regret,economic
80,24,hull,convex,0.01,storage_regret,minmax
80,24,hull,conical_bounded,0.01,storage_regret,economic
80,24,hull,conical_bounded,0.01,storage_regret,minmax
80,24,hull,conical,0.01,storage_regret,economic
80,24,hull,conical,0.01,storage_regret,minmax
120,24,k_means,dirac,0.01,storage_regret,unscaled
160,24,k_means,dirac,0.01,storage_regret,unscaled
120,24,k_medoids,dirac,0.01,storage_regret,unscaled
160,24,k_medoids,dirac,0.01,storage_regret,unscaled
120,24,hull,dirac,0.01,storage_regret,unscaled
160,24,hull,dirac,0.01,storage_regret,unscaled
120,24,k_means,convex,0.01,storage_regret,unscaled
160,24,k_means,convex,0.01,storage_regret,unscaled
120,24,k_medoids,convex,0.01,storage_regret,unscaled
160,24,k_medoids,convex,0.01,storage_regret,unscaled
120,24,hull,convex,0.01,storage_regret,unscaled
160,24,hull,convex,0.01,storage_regret,unscaled
120,24,k_means,conical_bounded,0.01,storage_regret,unscaled
160,24,k_means,conical_bounded,0.01,storage_regret,unscaled
120,24,k_medoids,conical_bounded,0.01,storage_regret,unscaled
160,24,k_medoids,conical_bounded,0.01,storage_regret,unscaled
120,24,hull,conical_bounded,0.01,storage_regret,unscaled
160,24,hull,conical_bounded,0.01,storage_regret,unscaled
120,24,k_means,conical,0.01,storage_regret,unscaled
160,24,k_means,conical,0.01,storage_regret,unscaled
120,24,k_medoids,conical,0.01,storage_regret,unscaled
160,24,k_medoids,conical,0.01,storage_regret,unscaled
120,24,hull,conical,0.01,storage_regret,unscaled
160,24,hull,conical,0.01,storage_regret,unscaled
120,24,hierarchical,dirac,0.01,storage_regret,unscaled
160,24,hierarchical,dirac,0.01,storage_regret,unscaled
120,24,hierarchical,convex,0.01,storage_regret,unscaled
160,24,hierarchical,convex,0.01,storage_regret,unscaled
120,24,hierarchical,conical_bounded,0.01,storage_regret,unscaled
160,24,hierarchical,conical_bounded,0.01,storage_regret,unscaled
120,24,hierarchical,conical,0.01,storage_regret,unscaled
160,24,hierarchical,conical,0.01,storage_regret,unscaled
