id,initial_storage_level,peak_inflow,spillage_cost,borrow_cost,can_charge
DE_Hydro_Reservoir,129300.0,1297.0,0,10.0,false
DE_Pump_Hydro_Closed,141100.0,7382.0,0,10.0,false
DE_Pump_Hydro_Open,208350.0,1644.0,0,10.0,true
FR_Hydro_Reservoir,5.0e6,8785.0,0,10.0,false
FR_Pump_Hydro_Closed,5000.0,1950.0,0,10.0,false
FR_Pump_Hydro_Open,45000.0,1850.0,0,10.0,true
UK_Pump_Hydro_Closed,13200.0,2744.0,0,10.0,false
IE_Pump_Hydro_Closed,850.0,292.0,0,10.0,false
CH_Pump_Hydro_Closed,35000.0,2170.0,0,10.0,false
CH_Pump_Hydro_Open,5.28e6,10732.0,0,10.0,true
AT_Hydro_Reservoir,378500.0,2489.0,0,10.0,false
AT_Pump_Hydro_Closed,900.0,300.0,0,10.0,false
AT_Pump_Hydro_Open,866300.0,5793.0,0,10.0,true
LU_Pump_Hydro_Closed,2500.0,1310.0,0,10.0,false
CZ_Hydro_Reservoir,1250.0,698.0,0,10.0,false
CZ_Pump_Hydro_Closed,1850.0,688.0,0,10.0,false
CZ_Pump_Hydro_Open,1150.0,470.0,0,10.0,true
PL_Hydro_Reservoir,400.0,272.0,0,10.0,false
PL_Pump_Hydro_Closed,3150.0,1323.0,0,10.0,false
PL_Pump_Hydro_Open,750.0,216.0,0,10.0,true
SE_Hydro_Reservoir,1.6e7,37211.098,0,10.0,false
NO_Pump_Hydro_Open,2280.0,279.464,0,10.0,true
NO_Hydro_Reservoir,5.37e7,78763.359,0,10.0,false
ES_Hydro_Reservoir,5.82e6,10972.0,0,10.0,false
ES_Pump_Hydro_Closed,49500.0,6866.0,0,10.0,false
ES_Pump_Hydro_Open,2.98e6,2683.0,0,10.0,true
PT_Hydro_Reservoir,644800.0,3766.0,0,10.0,false
PT_Pump_Hydro_Open,1.01e6,3832.0,0,10.0,true
IT_Hydro_Reservoir,2.78e6,9576.0,0,10.0,false
IT_Pump_Hydro_Closed,31500.0,6200.0,0,10.0,false
IT_Pump_Hydro_Open,144495.0,3254.0,0,10.0,true
SI_Pump_Hydro_Closed,1300.0,180.0,0,10.0,false
SK_Hydro_Reservoir,10345.0,21.0,0,10.0,false
SK_Pump_Hydro_Closed,2050.0,650.0,0,10.0,false
SK_Pump_Hydro_Open,22775.0,276.0,0,10.0,true
LT_Pump_Hydro_Closed,5300.0,930.0,0,10.0,false
FI_Hydro_Reservoir,2.77e6,6133.83,0,10.0,false
HR_Hydro_Reservoir,1.02e6,1941.0,0,10.0,false
HR_Pump_Hydro_Open,9150.0,281.0,0,10.0,true
GR_Hydro_Reservoir,1.8e6,4193.499,0,10.0,false
GR_Pump_Hydro_Closed,0.0,680.0,0,10.0,false
GR_Pump_Hydro_Open,2250.0,699.0,0,10.0,true
BG_Hydro_Reservoir,421500.0,1281.0,0,10.0,false
BG_Pump_Hydro_Closed,4700.0,864.0,0,10.0,false
BG_Pump_Hydro_Open,127650.0,535.0,0,10.0,true
RO_Hydro_Reservoir,1.21e6,2579.0,0,10.0,false
RO_Pump_Hydro_Open,753200.0,839.0,0,10.0,true
