id,location,technology,unit_capacity,initial_units
NL_E_ENS,NL,ENS,33775.878,1
NL_Wind_Onshore,NL,Wind_Onshore,20000.0,1
NL_Wind_Offshore,NL,Wind_Offshore,49653.0,1
NL_Solar,NL,Solar,99984.0,1
NL_Gas,NL,Gas,15250.0,1
NL_OCGT,NL,OCGT,0.0,1
BE_E_ENS,BE,ENS,23582.924,1
BE_Wind_Onshore,BE,Wind_Onshore,10000.0,1
BE_Wind_Offshore,BE,Wind_Offshore,10960.0,1
BE_Solar,BE,Solar,55000.0,1
BE_Hydro,BE,Hydro,165.0,1
BE_Gas,BE,Gas,8868.0,1
BE_OCGT,BE,OCGT,244.0,1
DE_E_ENS,DE,ENS,119083.583,1
DE_Wind_Onshore,DE,Wind_Onshore,191500.0,1
DE_Wind_Offshore,DE,Wind_Offshore,70585.0,1
DE_Solar,DE,Solar,456389.0,1
DE_Hydro,DE,Hydro,4753.0,1
DE_Coal,DE,Coal,0.0,1
DE_Gas,DE,Gas,33582.0,1
DE_OCGT,DE,OCGT,0.0,1
FR_E_ENS,FR,ENS,92160.0,1
FR_Wind_Onshore,FR,Wind_Onshore,80000.0,1
FR_Wind_Offshore,FR,Wind_Offshore,43570.0,1
FR_Solar,FR,Solar,193594.0,1
FR_Hydro,FR,Hydro,23447.0,1
FR_Nuclear,FR,Nuclear,50139.0,1
FR_Gas,FR,Gas,10839.0,1
FR_OCGT,FR,OCGT,0.0,1
DK_E_ENS,DK,ENS,5894.653,1
DK_Wind_Onshore,DK,Wind_Onshore,11393.0,1
DK_Wind_Offshore,DK,Wind_Offshore,44191.0,1
DK_Solar,DK,Solar,24446.0,1
DK_Gas,DK,Gas,10.0,1
DK_OCGT,DK,OCGT,612.0,1
UK_E_ENS,UK,ENS,118630.247,1
UK_Wind_Onshore,UK,Wind_Onshore,53918.0,1
UK_Wind_Offshore,UK,Wind_Offshore,110458.0,1
UK_Solar,UK,Solar,63715.0,1
UK_Hydro,UK,Hydro,2513.0,1
UK_Nuclear,UK,Nuclear,16000.0,1
UK_Gas,UK,Gas,9505.0,1
UK_OCGT,UK,OCGT,1243.0,1
IE_E_ENS,IE,ENS,10172.088,1
IE_Wind_Onshore,IE,Wind_Onshore,11308.0,1
IE_Wind_Offshore,IE,Wind_Offshore,21057.0,1
IE_Solar,IE,Solar,12113.0,1
IE_Hydro,IE,Hydro,238.713,1
IE_Gas,IE,Gas,7933.0,1
IE_OCGT,IE,OCGT,116.0,1
CH_E_ENS,CH,ENS,12735.089,1
CH_Wind_Onshore,CH,Wind_Onshore,2223.0,1
CH_Solar,CH,Solar,13312.0,1
CH_Hydro,CH,Hydro,13775.0,1
CH_Nuclear,CH,Nuclear,0.0,1
AT_E_ENS,AT,ENS,18940.277,1
AT_Wind_Onshore,AT,Wind_Onshore,41145.0,1
AT_Solar,AT,Solar,53129.0,1
AT_Hydro,AT,Hydro,8137.0,1
AT_Gas,AT,Gas,3260.0,1
LU_E_ENS,LU,ENS,2251.174,1
LU_Wind_Onshore,LU,Wind_Onshore,600.0,1
LU_Solar,LU,Solar,2190.0,1
LU_Hydro,LU,Hydro,43.0,1
CZ_E_ENS,CZ,ENS,12355.162,1
CZ_Wind_Onshore,CZ,Wind_Onshore,4486.0,1
CZ_Solar,CZ,Solar,22485.0,1
CZ_Hydro,CZ,Hydro,953.0,1
CZ_Nuclear,CZ,Nuclear,6983.0,1
CZ_Coal,CZ,Coal,0.0,1
CZ_Gas,CZ,Gas,2613.0,1
PL_E_ENS,PL,ENS,33646.765,1
PL_Wind_Onshore,PL,Wind_Onshore,62000.0,1
PL_Wind_Offshore,PL,Wind_Offshore,10900.0,1
PL_Solar,PL,Solar,54303.0,1
PL_Hydro,PL,Hydro,794.0,1
PL_Coal,PL,Coal,2496.0,1
PL_Gas,PL,Gas,8223.0,1
SE_E_ENS,SE,ENS,30500.391,1
SE_Wind_Onshore,SE,Wind_Onshore,49100.0,1
SE_Wind_Offshore,SE,Wind_Offshore,14600.0,1
SE_Solar,SE,Solar,46500.0,1
SE_Nuclear,SE,Nuclear,11600.0,1
SE_Gas,SE,Gas,0.0,1
SE_OCGT,SE,OCGT,97.0,1
NO_E_ENS,NO,ENS,30109.651,1
NO_Wind_Onshore,NO,Wind_Onshore,6924.0,1
NO_Wind_Offshore,NO,Wind_Offshore,9947.0,1
NO_Solar,NO,Solar,11940.0,1
ES_E_ENS,ES,ENS,47849.09,1
ES_Wind_Onshore,ES,Wind_Onshore,99549.0,1
ES_Wind_Offshore,ES,Wind_Offshore,5711.0,1
ES_Solar,ES,Solar,148297.0,1
ES_Hydro,ES,Hydro,14839.0,1
ES_Nuclear,ES,Nuclear,0.0,1
ES_Gas,ES,Gas,14920.0,1
PT_E_ENS,PT,ENS,18910.675,1
PT_Wind_Onshore,PT,Wind_Onshore,13000.0,1
PT_Wind_Offshore,PT,Wind_Offshore,9978.0,1
PT_Solar,PT,Solar,29000.0,1
PT_Hydro,PT,Hydro,4271.0,1
PT_Gas,PT,Gas,0.0,1
IT_E_ENS,IT,ENS,71136.518,1
IT_Wind_Onshore,IT,Wind_Onshore,38210.0,1
IT_Wind_Offshore,IT,Wind_Offshore,18500.0,1
IT_Solar,IT,Solar,236134.0,1
IT_Hydro,IT,Hydro,15846.0,1
IT_Gas,IT,Gas,41910.0,1
IT_OCGT,IT,OCGT,4320.0,1
MT_E_ENS,MT,ENS,623.678,1
MT_Solar,MT,Solar,374.0,1
MT_Gas,MT,Gas,450.0,1
SI_E_ENS,SI,ENS,3143.986,1
SI_Wind_Onshore,SI,Wind_Onshore,7554.0,1
SI_Wind_Offshore,SI,Wind_Offshore,3200.0,1
SI_Solar,SI,Solar,35948.0,1
SI_Hydro,SI,Hydro,420.822,1
SI_Nuclear,SI,Nuclear,1100.0,1
SI_Coal,SI,Coal,575.0,1
SI_Gas,SI,Gas,2282.0,1
SI_OCGT,SI,OCGT,1126.0,1
HU_E_ENS,HU,ENS,12134.83,1
HU_Wind_Onshore,HU,Wind_Onshore,3000.0,1
HU_Solar,HU,Solar,23396.0,1
HU_Hydro,HU,Hydro,64.0,1
HU_Nuclear,HU,Nuclear,2360.0,1
HU_Gas,HU,Gas,3070.0,1
HU_OCGT,HU,OCGT,154.0,1
SK_E_ENS,SK,ENS,6358.487,1
SK_Wind_Onshore,SK,Wind_Onshore,2000.0,1
SK_Solar,SK,Solar,5000.0,1
SK_Hydro,SK,Hydro,1446.0,1
SK_Nuclear,SK,Nuclear,3096.0,1
SK_Coal,SK,Coal,251.0,1
SK_Gas,SK,Gas,1341.0,1
LT_E_ENS,LT,ENS,2850.6,1
LT_Wind_Onshore,LT,Wind_Onshore,5650.0,1
LT_Wind_Offshore,LT,Wind_Offshore,7600.0,1
LT_Solar,LT,Solar,7576.0,1
LT_Hydro,LT,Hydro,126.0,1
LT_Gas,LT,Gas,293.0,1
LV_E_ENS,LV,ENS,2112.915,1
LV_Wind_Onshore,LV,Wind_Onshore,352.0,1
LV_Wind_Offshore,LV,Wind_Offshore,7500.0,1
LV_Solar,LV,Solar,605.0,1
LV_Hydro,LV,Hydro,0.0,1
LV_Gas,LV,Gas,73.0,1
EE_E_ENS,EE,ENS,2493.658,1
EE_Wind_Onshore,EE,Wind_Onshore,861.0,1
EE_Wind_Offshore,EE,Wind_Offshore,6999.0,1
EE_Solar,EE,Solar,3520.0,1
FI_E_ENS,FI,ENS,20200.032,1
FI_Wind_Onshore,FI,Wind_Onshore,87909.0,1
FI_Wind_Offshore,FI,Wind_Offshore,12000.0,1
FI_Solar,FI,Solar,47767.0,1
FI_Nuclear,FI,Nuclear,10000.0,1
FI_Gas,FI,Gas,234.0,1
FI_OCGT,FI,OCGT,87.0,1
HR_E_ENS,HR,ENS,3695.268,1
HR_Wind_Onshore,HR,Wind_Onshore,3000.0,1
HR_Wind_Offshore,HR,Wind_Offshore,2896.0,1
HR_Solar,HR,Solar,3188.0,1
HR_Hydro,HR,Hydro,2011.0,1
HR_Coal,HR,Coal,0.0,1
HR_Gas,HR,Gas,0.0,1
GR_E_ENS,GR,ENS,14331.051,1
GR_Wind_Onshore,GR,Wind_Onshore,27500.0,1
GR_Wind_Offshore,GR,Wind_Offshore,17500.0,1
GR_Solar,GR,Solar,46500.0,1
GR_Hydro,GR,Hydro,3522.0,1
GR_Gas,GR,Gas,5037.0,1
GR_OCGT,GR,OCGT,0.0,1
BG_E_ENS,BG,ENS,6792.429,1
BG_Wind_Onshore,BG,Wind_Onshore,9000.0,1
BG_Solar,BG,Solar,9110.0,1
BG_Hydro,BG,Hydro,1817.0,1
BG_Nuclear,BG,Nuclear,2000.0,1
BG_Coal,BG,Coal,1004.0,1
BG_Gas,BG,Gas,2315.0,1
BG_OCGT,BG,OCGT,20.0,1
RO_E_ENS,RO,ENS,14269.145,1
RO_Wind_Onshore,RO,Wind_Onshore,9000.0,1
RO_Wind_Offshore,RO,Wind_Offshore,1000.0,1
RO_Solar,RO,Solar,34194.0,1
RO_Hydro,RO,Hydro,5958.0,1
RO_Nuclear,RO,Nuclear,3087.0,1
RO_Coal,RO,Coal,0.0,1
RO_Gas,RO,Gas,5840.0,1
RO_OCGT,RO,OCGT,167.0,1
CY_E_ENS,CY,ENS,1269.453,1
CY_Wind_Onshore,CY,Wind_Onshore,400.0,1
CY_Solar,CY,Solar,2273.0,1
CY_Gas,CY,Gas,524.0,1
OBZLL_Wind_Offshore,OBZLL,Wind_Offshore,2000.0,1
EU_SMR_CCS,EU,SMR_CCS,1.0e9,1
NL_electrolyzer,NL,Electrolyzer,16004.566,1
BE_electrolyzer,BE,Electrolyzer,11118.721,1
DE_electrolyzer,DE,Electrolyzer,68344.749,1
FR_electrolyzer,FR,Electrolyzer,6803.653,1
DK_electrolyzer,DK,Electrolyzer,2305.936,1
UK_electrolyzer,UK,Electrolyzer,35589.074,1
IE_electrolyzer,IE,Electrolyzer,2705.479,1
CH_electrolyzer,CH,Electrolyzer,3820.527,1
AT_electrolyzer,AT,Electrolyzer,5730.594,1
LU_electrolyzer,LU,Electrolyzer,513.699,1
CZ_electrolyzer,CZ,Electrolyzer,4703.196,1
PL_electrolyzer,PL,Electrolyzer,14942.922,1
SE_electrolyzer,SE,Electrolyzer,8664.384,1
NO_electrolyzer,NO,Electrolyzer,9032.895,1
ES_electrolyzer,ES,Electrolyzer,20970.32,1
PT_electrolyzer,PT,Electrolyzer,3515.982,1
IT_electrolyzer,IT,Electrolyzer,16666.667,1
MT_electrolyzer,MT,Electrolyzer,68.493,1
SI_electrolyzer,SI,Electrolyzer,650.685,1
HU_electrolyzer,HU,Electrolyzer,4212.329,1
SK_electrolyzer,SK,Electrolyzer,2716.895,1
LT_electrolyzer,LT,Electrolyzer,2066.21,1
LV_electrolyzer,LV,Electrolyzer,308.219,1
EE_electrolyzer,EE,Electrolyzer,194.064,1
FI_electrolyzer,FI,Electrolyzer,5410.959,1
HR_electrolyzer,HR,Electrolyzer,924.658,1
GR_electrolyzer,GR,Electrolyzer,6575.342,1
BG_electrolyzer,BG,Electrolyzer,1518.265,1
RO_electrolyzer,RO,Electrolyzer,4897.26,1
CY_electrolyzer,CY,Electrolyzer,285.388,1
OBZLL_electrolyzer,OBZLL,Electrolyzer,0.0,1
NL_Battery,NL,Battery,52294.0,1
BE_Battery,BE,Battery,1130.0,1
DE_Hydro_Reservoir,DE,Hydro_Reservoir,1297.0,1
DE_Battery,DE,Battery,111097.0,1
DE_Pump_Hydro_Closed,DE,PHS,7382.0,1
DE_Pump_Hydro_Open,DE,PHS,1644.0,1
FR_Hydro_Reservoir,FR,Hydro_Reservoir,8785.0,1
FR_Pump_Hydro_Closed,FR,PHS,1950.0,1
FR_Pump_Hydro_Open,FR,PHS,1850.0,1
UK_Battery,UK,Battery,12932.0,1
UK_Pump_Hydro_Closed,UK,PHS,2744.0,1
IE_Battery,IE,Battery,52206.0,1
IE_Pump_Hydro_Closed,IE,PHS,292.0,1
CH_Battery,CH,Battery,5050.0,1
CH_Pump_Hydro_Closed,CH,PHS,2170.0,1
CH_Pump_Hydro_Open,CH,PHS,10732.0,1
AT_Hydro_Reservoir,AT,Hydro_Reservoir,2489.0,1
AT_Battery,AT,Battery,304.0,1
AT_Pump_Hydro_Closed,AT,PHS,300.0,1
AT_Pump_Hydro_Open,AT,PHS,5793.0,1
LU_Pump_Hydro_Closed,LU,PHS,1310.0,1
CZ_Hydro_Reservoir,CZ,Hydro_Reservoir,698.0,1
CZ_Battery,CZ,Battery,3610.0,1
CZ_Pump_Hydro_Closed,CZ,PHS,688.0,1
CZ_Pump_Hydro_Open,CZ,PHS,470.0,1
PL_Hydro_Reservoir,PL,Hydro_Reservoir,272.0,1
PL_Pump_Hydro_Closed,PL,PHS,1323.0,1
PL_Pump_Hydro_Open,PL,PHS,216.0,1
