id,location,carrier,peak_demand
NL_E_Demand,NL,electricity,37487.253
BE_E_Demand,BE,electricity,26322.909
DE_E_Demand,DE,electricity,125041.124
FR_E_Demand,FR,electricity,91601.006
DK_E_Demand,DK,electricity,6316.626
UK_E_Demand,UK,electricity,118630.247
IE_E_Demand,IE,electricity,10918.348
CH_E_Demand,CH,electricity,12735.089
AT_E_Demand,AT,electricity,18775.78
LU_E_Demand,LU,electricity,2670.943
CZ_E_Demand,CZ,electricity,13127.736
PL_E_Demand,PL,electricity,37059.161
SE_E_Demand,SE,electricity,29958.165
NO_E_Demand,NO,electricity,30109.651
ES_E_Demand,ES,electricity,55090.265
PT_E_Demand,PT,electricity,10411.052
IT_E_Demand,IT,electricity,80321.059
MT_E_Demand,MT,electricity,632.209
SI_E_Demand,SI,electricity,3461.524
HU_E_Demand,HU,electricity,12967.15
SK_E_Demand,SK,electricity,6547.952
LT_E_Demand,LT,electricity,3420.536
LV_E_Demand,LV,electricity,2358.298
EE_E_Demand,EE,electricity,2709.725
FI_E_Demand,FI,electricity,19297.616
HR_E_Demand,HR,electricity,4605.989
GR_E_Demand,GR,electricity,16631.276
BG_E_Demand,BG,electricity,7401.237
RO_E_Demand,RO,electricity,15814.566
CY_E_Demand,CY,electricity,1563.59
OBZLL_E_Demand,OBZLL,electricity,0.0
NL_H_Demand,NL,hydrogen,16004.566
BE_H_Demand,BE,hydrogen,11118.721
DE_H_Demand,DE,hydrogen,68344.749
FR_H_Demand,FR,hydrogen,6803.653
DK_H_Demand,DK,hydrogen,2305.936
UK_H_Demand,UK,hydrogen,35589.074
IE_H_Demand,IE,hydrogen,2705.479
CH_H_Demand,CH,hydrogen,3820.527
AT_H_Demand,AT,hydrogen,5730.594
LU_H_Demand,LU,hydrogen,513.699
CZ_H_Demand,CZ,hydrogen,4703.196
PL_H_Demand,PL,hydrogen,14942.922
SE_H_Demand,SE,hydrogen,8664.384
NO_H_Demand,NO,hydrogen,9032.895
ES_H_Demand,ES,hydrogen,20970.32
PT_H_Demand,PT,hydrogen,3515.982
IT_H_Demand,IT,hydrogen,16666.667
MT_H_Demand,MT,hydrogen,68.493
SI_H_Demand,SI,hydrogen,650.685
HU_H_Demand,HU,hydrogen,4212.329
SK_H_Demand,SK,hydrogen,2716.895
LT_H_Demand,LT,hydrogen,2066.21
LV_H_Demand,LV,hydrogen,308.219
EE_H_Demand,EE,hydrogen,194.064
FI_H_Demand,FI,hydrogen,5410.959
HR_H_Demand,HR,hydrogen,924.658
GR_H_Demand,GR,hydrogen,6575.342
BG_H_Demand,BG,hydrogen,1518.265
RO_H_Demand,RO,hydrogen,4897.26
CY_H_Demand,CY,hydrogen,285.388
OBZLL_H_Demand,OBZLL,hydrogen,0.0
