n_rep_periods,period_length,clustering_type,weight_type,tol,evaluation_type,normalization,inflow_integral_weight,fix_every,chain_weight_type
1,8760,k_means,dirac,0.01,none,unscaled,0.0,1,none
10,24,hull,convex,0.0001,storage_regret,unscaled,0.0,1,none
10,24,hull,convex,0.0001,storage_regret,unscaled,0.0,1,convex
10,24,hull,convex,0.0001,storage_regret,unscaled,0.0,1,clipped_affine
10,24,hull,convex,0.0001,storage_regret,unscaled,0.0,1,affine
10,24,hull,convex,0.0001,storage_regret,unscaled,0.0,1,signed
10,24,hull,convex,0.0001,storage_regret,unscaled,0.0,1,conical_bounded
10,24,hull,convex,0.0001,storage_regret,unscaled,0.0,1,l1_ball
10,24,k_means,convex,0.0001,storage_regret,unscaled,0.0,1,none
10,24,k_medoids,convex,0.0001,storage_regret,unscaled,0.0,1,none
10,24,k_means,dirac,0.0001,storage_regret,unscaled,0.0,1,none
10,24,k_medoids,dirac,0.0001,storage_regret,unscaled,0.0,1,none
