id,location,carrier,peak_demand
NL_E_Demand,NL,electricity,37487.25257
BE_E_Demand,BE,electricity,26322.90865
DE_E_Demand,DE,electricity,125041.1243
FR_E_Demand,FR,electricity,91601.00618
DK_E_Demand,DK,electricity,6316.626413
UK_E_Demand,UK,electricity,118630.2474
IE_E_Demand,IE,electricity,10918.34823
CH_E_Demand,CH,electricity,12735.08856
AT_E_Demand,AT,electricity,18775.78042
LU_E_Demand,LU,electricity,2670.942648
CZ_E_Demand,CZ,electricity,13127.73612
PL_E_Demand,PL,electricity,37059.16112
SE_E_Demand,SE,electricity,29958.16458
NO_E_Demand,NO,electricity,30109.65055
ES_E_Demand,ES,electricity,55090.26507
PT_E_Demand,PT,electricity,10411.0523
IT_E_Demand,IT,electricity,80321.05864
MT_E_Demand,MT,electricity,632.2089885
SI_E_Demand,SI,electricity,3461.524237
HU_E_Demand,HU,electricity,12967.15039
SK_E_Demand,SK,electricity,6547.951746
LT_E_Demand,LT,electricity,3420.536077
LV_E_Demand,LV,electricity,2358.298063
EE_E_Demand,EE,electricity,2709.725187
FI_E_Demand,FI,electricity,19297.61551
HR_E_Demand,HR,electricity,4605.988696
GR_E_Demand,GR,electricity,16631.27631
BG_E_Demand,BG,electricity,7401.237471
RO_E_Demand,RO,electricity,15814.56593
CY_E_Demand,CY,electricity,1563.589525
OBZLL_E_Demand,OBZLL,electricity,0
NL_H_Demand,NL,hydrogen,16004.56621
BE_H_Demand,BE,hydrogen,11118.72146
DE_H_Demand,DE,hydrogen,68344.74886
FR_H_Demand,FR,hydrogen,6803.652968
DK_H_Demand,DK,hydrogen,2305.936073
UK_H_Demand,UK,hydrogen,35589.07422
IE_H_Demand,IE,hydrogen,2705.479452
CH_H_Demand,CH,hydrogen,3820.526568
AT_H_Demand,AT,hydrogen,5730.593607
LU_H_Demand,LU,hydrogen,513.6986301
CZ_H_Demand,CZ,hydrogen,4703.196347
PL_H_Demand,PL,hydrogen,14942.92237
SE_H_Demand,SE,hydrogen,8664.383562
NO_H_Demand,NO,hydrogen,9032.895165
ES_H_Demand,ES,hydrogen,20970.31963
PT_H_Demand,PT,hydrogen,3515.981735
IT_H_Demand,IT,hydrogen,16666.66667
MT_H_Demand,MT,hydrogen,68.49315068
SI_H_Demand,SI,hydrogen,650.6849315
HU_H_Demand,HU,hydrogen,4212.328767
SK_H_Demand,SK,hydrogen,2716.894977
LT_H_Demand,LT,hydrogen,2066.210046
LV_H_Demand,LV,hydrogen,308.2191781
EE_H_Demand,EE,hydrogen,194.0639269
FI_H_Demand,FI,hydrogen,5410.958904
HR_H_Demand,HR,hydrogen,924.6575342
GR_H_Demand,GR,hydrogen,6575.342466
BG_H_Demand,BG,hydrogen,1518.26484
RO_H_Demand,RO,hydrogen,4897.260274
CY_H_Demand,CY,hydrogen,285.3881279
OBZLL_H_Demand,OBZLL,hydrogen,0
