timestep,NO_Hydro_Min_Storage_Level,CH_Pump_Hydro_Open_Min_Storage_Level,FR_Hydro_Reservoir_Min_Storage_Level,FI_Hydro_Reservoir_Min_Storage_Level,SE_Hydro_Reservoir_Min_Storage_Level,SK_Hydro_Reservoir_Min_Storage_Level,NO_Hydro_Max_Storage_Level,CH_Pump_Hydro_Open_Max_Storage_Level,FR_Hydro_Reservoir_Max_Storage_Level,FI_Hydro_Reservoir_Max_Storage_Level,SE_Hydro_Reservoir_Max_Storage_Level,SK_Hydro_Reservoir_Max_Storage_Level
1,0.546666667,0.510907075,0.32,0.339059675,0.214987835,0.555,0.898333333,0.823231883,0.79,0.777034358,0.904908653,0.888
2,0.546666667,0.510907075,0.32,0.339059675,0.214987835,0.555,0.898333333,0.823231883,0.79,0.777034358,0.904908653,0.888
3,0.546666667,0.510907075,0.32,0.339059675,0.214987835,0.555,0.898333333,0.823231883,0.79,0.777034358,0.904908653,0.888
4,0.546666667,0.510907075,0.32,0.339059675,0.214987835,0.555,0.898333333,0.823231883,0.79,0.777034358,0.904908653,0.888
5,0.546666667,0.510907075,0.32,0.339059675,0.214987835,0.555,0.898333333,0.823231883,0.79,0.777034358,0.904908653,0.888
6,0.546666667,0.510907075,0.32,0.339059675,0.214987835,0.555,0.898333333,0.823231883,0.79,0.777034358,0.904908653,0.888
7,0.546666667,0.510907075,0.32,0.339059675,0.214987835,0.555,0.898333333,0.823231883,0.79,0.777034358,0.904908653,0.888
8,0.546666667,0.510907075,0.32,0.339059675,0.214987835,0.555,0.898333333,0.823231883,0.79,0.777034358,0.904908653,0.888
9,0.546666667,0.510907075,0.32,0.339059675,0.214987835,0.555,0.898333333,0.823231883,0.79,0.777034358,0.904908653,0.888
10,0.546666667,0.510907075,0.32,0.339059675,0.214987835,0.555,0.898333333,0.823231883,0.79,0.777034358,0.904908653,0.888
11,0.546666667,0.510907075,0.32,0.339059675,0.214987835,0.555,0.898333333,0.823231883,0.79,0.777034358,0.904908653,0.888
12,0.546666667,0.510907075,0.32,0.339059675,0.214987835,0.555,0.898333333,0.823231883,0.79,0.777034358,0.904908653,0.888
13,0.546666667,0.510907075,0.32,0.339059675,0.214987835,0.555,0.898333333,0.823231883,0.79,0.777034358,0.904908653,0.888
14,0.546666667,0.510907075,0.32,0.339059675,0.214987835,0.555,0.898333333,0.823231883,0.79,0.777034358,0.904908653,0.888
15,0.546666667,0.510907075,0.32,0.339059675,0.214987835,0.555,0.898333333,0.823231883,0.79,0.777034358,0.904908653,0.888
16,0.546666667,0.510907075,0.32,0.339059675,0.214987835,0.555,0.898333333,0.823231883,0.79,0.777034358,0.904908653,0.888
17,0.546666667,0.510907075,0.32,0.339059675,0.214987835,0.555,0.898333333,0.823231883,0.79,0.777034358,0.904908653,0.888
