name,seed,n_rep_periods,period_length,clustering_type,distance,weight_type,projection_error,termination_status,objective_value,evaluation_termination_status,evaluated_objective_value,total_spillage,total_borrow,time_to_preprocess,time_to_cluster,time_to_fit_weights,time_to_formulate_model,time_to_solve,time_to_read
gep_1_8760_k_means_euclidean_dirac_1000_0.0001,522,1,8760,k_means,euclidean,dirac,0.0,OPTIMAL,6.1837278445699625e7,N/A,,0.0,0.0,0.36671375,4.732393875,1.4e-5,19.208236666,177.603045084,0.66358875
gep_5_24_k_means_euclidean_dirac_1000_0.0001,522,5,24,k_means,euclidean,dirac,119.15885343607431,OPTIMAL,5.1130120074035995e7,OPTIMAL,1.8132347472774518e8,0.0,0.0,0.007571208,0.22327,8.34e-7,0.659622375,1.582652083,0.66358875
gep_5_24_k_medoids_euclidean_dirac_1000_0.0001,522,5,24,k_medoids,euclidean,dirac,147.71448108835776,OPTIMAL,5.287549701689109e7,OPTIMAL,1.5994003124883038e8,0.0,0.0,0.008128292,0.254964,8.75e-7,0.654532625,1.138729791,0.66358875
gep_5_24_hull_euclidean_dirac_1000_0.0001,522,5,24,hull,euclidean,dirac,173.4717128208796,OPTIMAL,6.2857240149566785e7,OPTIMAL,1.2353053467369208e8,0.0,0.0,0.008062208,0.78357175,1.083e-6,0.690141417,0.866917625,0.66358875
gep_5_24_k_means_euclidean_convex_1000_0.0001,522,5,24,k_means,euclidean,convex,115.27102805737931,OPTIMAL,5.103980846175238e7,OPTIMAL,1.766771521762383e8,0.0,0.0,0.007847917,0.216532791,4.118276458,0.587482667,1.253879084,0.66358875
gep_5_24_k_medoids_euclidean_convex_1000_0.0001,522,5,24,k_medoids,euclidean,convex,133.43397128901418,OPTIMAL,5.288264368967347e7,OPTIMAL,1.564668136490997e8,0.0,0.0,0.007859666,0.205206791,4.138653875,0.573802833,1.492039167,0.66358875
gep_5_24_hull_euclidean_convex_1000_0.0001,522,5,24,hull,euclidean,convex,129.41207299677853,OPTIMAL,6.170421914749668e7,OPTIMAL,1.3263363744329967e8,0.0,0.0,0.007922417,1.152947667,2.946096791,0.588040167,1.419676584,0.66358875
gep_5_24_k_means_euclidean_conical_bounded_1000_0.0001,522,5,24,k_means,euclidean,conical_bounded,114.01934515176552,OPTIMAL,5.065374321743211e7,OPTIMAL,1.7313373089376804e8,0.0,0.0,0.007670542,0.206863416,3.886560625,0.541194625,1.283170167,0.66358875
gep_5_24_k_medoids_euclidean_conical_bounded_1000_0.0001,522,5,24,k_medoids,euclidean,conical_bounded,130.45762468057166,OPTIMAL,5.21872833099272e7,OPTIMAL,1.5506196794688836e8,0.0,0.0,0.007778333,0.209882417,4.230269083,0.5486575,1.529038916,0.66358875
gep_5_24_hull_euclidean_conical_bounded_1000_0.0001,522,5,24,hull,euclidean,conical_bounded,120.63951748592591,OPTIMAL,6.0063438614278354e7,OPTIMAL,7.264181791575289e7,0.0,0.0,0.007576125,1.536164458,3.479881792,0.566212084,1.506571375,0.66358875
gep_5_24_k_means_euclidean_conical_1000_0.0001,522,5,24,k_means,euclidean,conical,115.04865492430278,OPTIMAL,5.177220503903552e7,OPTIMAL,1.833663783139645e8,0.0,0.0,0.007715,0.19921025,2.466862666,0.547475708,1.123618709,0.66358875
gep_5_24_k_medoids_euclidean_conical_1000_0.0001,522,5,24,k_medoids,euclidean,conical,140.2147443790478,OPTIMAL,5.314974304139248e7,OPTIMAL,1.5985282363090986e8,0.0,0.0,0.007826459,0.603196125,2.186436708,0.544237625,1.361111958,0.66358875
gep_5_24_hull_euclidean_conical_1000_0.0001,522,5,24,hull,euclidean,conical,127.12535153190645,OPTIMAL,6.922484244260426e7,OPTIMAL,6.643101451200378e7,0.0,0.0,0.007715833,3.402552625,0.0352215,0.566765292,1.143148542,0.66358875
gep_10_24_k_means_euclidean_dirac_1000_0.0001,522,10,24,k_means,euclidean,dirac,113.76643529763633,OPTIMAL,5.173350550777636e7,OPTIMAL,1.3117838763791856e8,0.0,0.0,0.007700584,0.206063875,1.334e-6,1.380085667,2.510711542,0.66358875
gep_10_24_k_medoids_euclidean_dirac_1000_0.0001,522,10,24,k_medoids,euclidean,dirac,141.96924207749518,OPTIMAL,5.417770562724446e7,OPTIMAL,1.4654444576639667e8,0.0,0.0,0.00764975,0.207127542,7.5e-7,1.376034917,2.319009292,0.66358875
gep_10_24_hull_euclidean_dirac_1000_0.0001,522,10,24,hull,euclidean,dirac,163.04728312214434,OPTIMAL,7.387734504087318e7,OPTIMAL,6.821735691224927e7,0.0,0.0,0.007972542,1.263286333,9.58e-7,0.7287785,2.913784,0.66358875
gep_10_24_k_means_euclidean_convex_1000_0.0001,522,10,24,k_means,euclidean,convex,109.75232499543577,OPTIMAL,5.1779415804799445e7,OPTIMAL,1.3242641798781073e8,0.0,0.0,0.007822166,0.891594375,4.151407292,0.731505042,2.691076458,0.66358875
gep_10_24_k_medoids_euclidean_convex_1000_0.0001,522,10,24,k_medoids,euclidean,convex,124.83461105055868,OPTIMAL,5.389544715356297e7,OPTIMAL,1.4453644358079192e8,0.0,0.0,0.007746083,0.206500416,5.419480334,0.785624708,3.045317792,0.66358875
gep_10_24_hull_euclidean_convex_1000_0.0001,522,10,24,hull,euclidean,convex,113.57617621396463,OPTIMAL,7.14280855775156e7,OPTIMAL,6.943606140373045e7,0.0,0.0,0.007506917,1.30576075,4.3406365,0.763102625,2.478534708,0.66358875
gep_10_24_k_means_euclidean_conical_bounded_1000_0.0001,522,10,24,k_means,euclidean,conical_bounded,108.60912224309152,OPTIMAL,5.1393325141678825e7,OPTIMAL,1.3236147952123597e8,0.0,0.0,0.007661875,0.21695275,5.037682625,0.727212459,2.640453125,0.66358875
gep_10_24_k_medoids_euclidean_conical_bounded_1000_0.0001,522,10,24,k_medoids,euclidean,conical_bounded,123.7398169440952,OPTIMAL,5.354730870643793e7,OPTIMAL,1.4412059705827805e8,0.0,0.0,0.007847791,0.209900041,5.304299291,0.791138709,2.714157875,0.66358875
gep_10_24_hull_euclidean_conical_bounded_1000_0.0001,522,10,24,hull,euclidean,conical_bounded,111.32824247619048,OPTIMAL,5.9899631667015284e7,OPTIMAL,6.949330907763323e7,0.0,0.0,0.007829125,1.46276525,4.900978917,0.755291167,2.835413208,0.66358875
gep_10_24_k_means_euclidean_conical_1000_0.0001,522,10,24,k_means,euclidean,conical,109.69942084589393,OPTIMAL,5.243292511757923e7,OPTIMAL,1.315849191624734e8,0.0,0.0,0.007724625,0.219349584,3.365301791,0.726079875,2.457291666,0.66358875
