name,seed,n_rep_periods,period_length,clustering_type,weight_type,normalization,tol,projection_error,sigma_max,sigma_min,kappa,stable_rank,numerical_rank,mean_weight_sum,max_weight_sum,frac_weight_sum_gt1,frac_weight_sum_lt1,weight_density,pgd_total_iters,pgd_max_iters_per_fit,cache_hits,cache_misses,termination_status,objective_value,cost_of_investment,cost_of_operations,cost_of_spillage,cost_of_borrow,n_variables,n_constraints,evaluation_termination_status,evaluated_objective_value,eval_cost_of_investment,eval_cost_of_operations,eval_cost_of_spillage,eval_cost_of_borrow,eval_n_variables,eval_n_constraints,total_spillage,total_borrow,time_to_preprocess,time_to_cluster,time_to_fit_weights,time_to_formulate_model,time_to_solve,time_to_read
nrel/118bus_1_8760_k_means_dirac_0.01_economic,653657,1,8760,k_means,dirac,economic,0.01,0.0,1.0,1.0,1.0,1.0,1,1.0,1.0,0.0,0.0,1.0,0,0,0,0,OPTIMAL,2.4380117565973625e6,0.0,2.4380117566052517e6,0.0,0.0,6053205,13008705,N/A,,,,,,0,0,0.0,0.0,0.008400208,0.625362334,9.16e-7,28.826448541,73.484405875,0.765933542
nrel/118bus_10_24_k_means_dirac_0.01_economic,653657,10,24,k_means,dirac,economic,0.01,55485.9327638858,37905.53736429292,381.76667976179596,99.28980022023963,1.0860268684021317,10,1.0,1.0,0.0,0.0,0.1,0,0,0,0,OPTIMAL,2.4137056928650583e6,0.0,2.413705692864944e6,0.0,0.0,182430,389445,OPTIMAL,2.4593462830225867e6,0.0,2.4593462830296177e6,0.0,0.0,6053205,13003230,0.0,0.0,0.008951083,1.822891084,1.834E-03,1.297567417,0.930500542,0.765933542
nrel/118bus_10_24_k_means_convex_0.01_economic,653657,10,24,k_means,convex,economic,0.01,50489.17638110106,37905.53736429292,381.76667976179596,99.28980022023963,1.0860268684021317,10,1.0,1.0000000000000002,0.0,0.0,0.2586301369863014,104132,1323,0,0,OPTIMAL,2.4178088512778417e6,0.0,2.417808851277842e6,0.0,0.0,182430,389445,OPTIMAL,2.4572340791183235e6,0.0,2.4572340791254244e6,0.0,0.0,6053205,13003230,0.0,0.0,0.009377166,0.552635875,0.050972166,1.422856583,1.291086875,0.765933542
nrel/118bus_10_24_k_means_conical_0.01_economic,653657,10,24,k_means,conical,economic,0.01,49326.897015474955,37905.53736429292,381.76667976179596,99.28980022023963,1.0860268684021317,10,1.0271610998942229,1.187402374450069,0.7534246575342466,0.2465753424657534,0.27013698630136984,125544,1149,0,0,OPTIMAL,2.5237650507900803e6,0.0,2.523765050790152e6,0.0,0.0,182430,389445,OPTIMAL,2.457013270667691e6,0.0,2.4570132706747986e6,0.0,0.0,6053205,13003230,0.0,0.0,0.009094875,0.550135959,0.038549291,1.294917667,1.785611625,0.765933542
nrel/118bus_10_24_k_means_conical_bounded_0.01_economic,653657,10,24,k_means,conical_bounded,economic,0.01,50307.813728337394,37905.53736429292,381.76667976179596,99.28980022023963,1.0860268684021317,10,0.9899311416102959,1.0,0.0,0.27671232876712326,0.25424657534246575,106710,1196,0,0,OPTIMAL,2.3740641761350203e6,0.0,2.374064176134987e6,0.0,0.0,182430,389445,OPTIMAL,2.457081373993856e6,0.0,2.4570813740009507e6,0.0,0.0,6053205,13003230,0.0,0.0,0.00921825,0.603332542,0.063163875,2.37096925,1.248495875,0.765933542
nrel/118bus_10_24_k_medoids_dirac_0.01_economic,653657,10,24,k_medoids,dirac,economic,0.01,64372.762990921976,38036.94798259427,1137.6364106453734,33.43506556810727,1.130223853021691,10,1.0,1.0,0.0,0.0,0.1,0,0,0,0,OPTIMAL,2.5900951678322945e6,0.0,2.590095167832173e6,0.0,0.0,182430,389445,OPTIMAL,2.4743545828013513e6,0.0,2.4743545828080736e6,0.0,0.0,6053205,13003230,0.0,0.0,0.009287292,0.551565042,1.583E-03,1.262124584,0.906458667,0.765933542
nrel/118bus_10_24_k_medoids_convex_0.01_economic,653657,10,24,k_medoids,convex,economic,0.01,52562.55767280997,38036.94798259427,1137.6364106453734,33.43506556810727,1.130223853021691,10,1.0,1.0000000000000002,0.0,0.0,0.3750684931506849,124530,796,0,0,OPTIMAL,2.6108346103999508e6,0.0,2.6108346104000583e6,0.0,0.0,182430,389445,OPTIMAL,2.463958875536597e6,0.0,2.463958875543499e6,0.0,0.0,6053205,13003230,0.0,0.0,0.009101708,0.541028125,0.085182375,1.327478083,1.317262375,0.765933542
nrel/118bus_10_24_k_medoids_conical_0.01_economic,653657,10,24,k_medoids,conical,economic,0.01,51622.64825742197,38036.94798259427,1137.6364106453734,33.43506556810727,1.130223853021691,10,1.0126528097662229,1.1891000765039612,0.6136986301369863,0.3589041095890411,0.4010958904109589,137546,718,0,0,OPTIMAL,2.6675135656153113e6,0.0,2.667513565615425e6,0.0,0.0,182430,389445,OPTIMAL,2.4628722183730598e6,0.0,2.462872218379933e6,0.0,0.0,6053205,13003230,0.0,0.0,0.009232833,0.565316083,0.040584291,1.344202625,1.144790541,0.765933542
nrel/118bus_10_24_k_medoids_conical_bounded_0.01_economic,653657,10,24,k_medoids,conical_bounded,economic,0.01,52196.035823273196,38036.94798259427,1137.6364106453734,33.43506556810727,1.130223853021691,10,0.9844115536100065,1.0000000000000002,0.0,0.4602739726027397,0.37123287671232874,125570,809,0,0,OPTIMAL,2.53932814076118e6,0.0,2.5393281407612595e6,0.0,0.0,182430,389445,OPTIMAL,2.4630590525847897e6,0.0,2.463059052591702e6,0.0,0.0,6053205,13003230,0.0,0.0,0.0094225,0.553976708,0.2639535,2.144300541,1.273889667,0.765933542
nrel/118bus_10_24_hierarchical_dirac_0.01_economic,653657,10,24,hierarchical,dirac,economic,0.01,66428.94427808699,39944.85347673366,1018.7217030384419,39.210761248723806,1.0987203607932814,10,1.0,1.0,0.0,0.0,0.1,0,0,0,0,OPTIMAL,2.6785640552467383e6,0.0,2.67856405524677e6,0.0,0.0,182430,389445,OPTIMAL,2.4724597218371793e6,0.0,2.472459721843722e6,0.0,0.0,6053205,13003230,0.0,0.0,0.009091667,0.585841917,1.709E-03,1.332354709,1.005412375,0.765933542
