name,seed,n_rep_periods,period_length,clustering_type,weight_type,normalization,tol,projection_error,sigma_max,sigma_min,kappa,stable_rank,numerical_rank,mean_weight_sum,max_weight_sum,frac_weight_sum_gt1,frac_weight_sum_lt1,weight_density,pgd_total_iters,pgd_max_iters_per_fit,cache_hits,cache_misses,termination_status,objective_value,cost_of_investment,cost_of_operations,cost_of_spillage,cost_of_borrow,n_variables,n_constraints,evaluation_termination_status,evaluated_objective_value,eval_cost_of_investment,eval_cost_of_operations,eval_cost_of_spillage,eval_cost_of_borrow,eval_n_variables,eval_n_constraints,total_spillage,total_borrow,time_to_preprocess,time_to_cluster,time_to_fit_weights,time_to_formulate_model,time_to_solve,time_to_read
synth/hydro_1_2880_k_means_dirac_0.01_economic,653657,1,2880,k_means,dirac,economic,0.01,0.0,1.0,1.0,1.0,1.0,1,1.0,1.0,0.0,0.0,1.0,0,0,0,0,OPTIMAL,647246.9144452743,0.0,647246.9144452743,0.0,0.0,40329,74901,N/A,,,,,,0,0,0.0,0.0,0.217077333,0.175603167,1.3458e-5,1.520620125,0.355187958,0.0788375
synth/hydro_10_24_k_means_dirac_0.01_economic,653657,10,24,k_means,dirac,economic,0.01,184.63689371273165,978.5557026373227,0.00026853693964405716,3.6440264193611047e6,1.086171344082575,10,1.0,1.0,0.0,0.0,0.1,0,0,0,0,OPTIMAL,644028.9882152642,0.0,644028.9882152644,0.0,0.0,4473,8439,OPTIMAL,688986.2756321337,0.0,688986.2756311831,0.0,9.5042196335271e-7,40329,74541,1391.3120395304231,9.5042196335271e-11,0.003288042,3.473469916,3.2417e-5,0.298028875,0.029468084,0.0788375
synth/hydro_10_24_k_means_dirac_0.01,653657,10,24,k_means,dirac,unscaled,0.01,4.339397945299009,19.28882478716558,1.754108669446485e-6,1.0996368197217928e7,1.0662955480235075,10,1.0,1.0,0.0,0.0,0.1,0,0,0,0,OPTIMAL,632939.1673126082,0.0,632939.1673126081,0.0,0.0,4473,8439,OPTIMAL,696955.0077752664,0.0,696955.0077752301,0.0,3.637978807091713e-8,40329,74541,1656.9364443318652,3.637978807091713e-12,0.003223834,0.119942166,6.67e-7,0.030141083,0.028647792,0.0788375
synth/hydro_10_24_k_means_dirac_0.01_minmax,653657,10,24,k_means,dirac,minmax,0.01,7.846767283038548,13.313644963381483,4.1915060817787595e-6,3.1763391734675807e6,1.5181062119182989,10,1.0,1.0,0.0,0.0,0.1,0,0,0,0,OPTIMAL,634591.2998583358,0.0,634591.2998583358,0.0,0.0,4473,8439,OPTIMAL,688554.7447851831,0.0,688554.7447863747,0.0,-1.191438059322536e-6,40329,74541,1376.9276780366433,-1.191438059322536e-10,0.003276667,0.003871625,7.08e-7,0.029981209,0.02502425,0.0788375
synth/hydro_10_24_k_means_convex_0.01_economic,653657,10,24,k_means,convex,economic,0.01,76.99105381778395,978.5557026373227,0.00026853693964405716,3.6440264193611047e6,1.086171344082575,10,1.0,1.0000000000000002,0.0,0.0,0.20666666666666667,92773,3693,0,0,OPTIMAL,694620.1749418397,0.0,694620.1749418399,0.0,0.0,4473,8439,OPTIMAL,660629.2633427109,0.0,660629.2633428656,0.0,-1.546140993013978e-7,40329,74541,446.07829658646307,-1.546140993013978e-11,0.003269959,0.005065,0.317322792,0.029177708,0.029522875,0.0788375
synth/hydro_10_24_k_means_convex_0.001_economic,653657,10,24,k_means,convex,economic,0.001,76.95440161011747,978.5557026373227,0.00026853693964405716,3.6440264193611047e6,1.086171344082575,10,1.0,1.0,0.0,0.0,0.21416666666666667,96957,3693,0,0,OPTIMAL,694315.8760847155,0.0,694315.8760847156,0.0,0.0,4473,8439,OPTIMAL,660497.3530610607,0.0,660497.353060888,0.0,1.7280399333685637e-7,40329,74541,441.6812871872217,1.7280399333685637e-11,0.003320458,0.005255458,0.052162833,0.030046208,0.028750583,0.0788375
synth/hydro_10_24_k_means_convex_0.0001_economic,653657,10,24,k_means,convex,economic,0.0001,76.9544016099349,978.5557026373227,0.00026853693964405716,3.6440264193611047e6,1.086171344082575,10,1.0,1.0,0.0,0.0,0.21416666666666667,111596,4245,0,0,OPTIMAL,694315.8525904162,0.0,694315.8525904161,0.0,0.0,4473,8439,OPTIMAL,660497.4541671898,0.0,660497.4541670262,0.0,1.6370904631912708e-7,40329,74541,441.68465739182585,1.6370904631912708e-11,0.003125292,0.004887292,0.049731875,0.029929375,0.030259625,0.0788375
synth/hydro_10_24_k_means_convex_1.0e-5_economic,653657,10,24,k_means,convex,economic,1.0e-5,76.95440160992268,978.5557026373227,0.00026853693964405716,3.6440264193611047e6,1.086171344082575,10,1.0,1.0,0.0,0.0,0.21416666666666667,119128,4245,0,0,OPTIMAL,694315.8526574845,0.0,694315.8526574846,0.0,0.0,4473,8439,OPTIMAL,660497.4499183365,0.0,660497.4499181818,0.0,1.546140993013978e-7,40329,74541,441.68451576369876,1.546140993013978e-11,0.003332833,0.004966667,0.056154209,0.028957375,0.031200791,0.0788375
synth/hydro_10_24_k_means_convex_0.01,653657,10,24,k_means,convex,unscaled,0.01,1.9343342252834896,19.28882478716558,1.754108669446485e-6,1.0996368197217928e7,1.0662955480235075,10,1.0,1.0,0.0,0.0,0.19083333333333333,17165,914,0,0,OPTIMAL,629497.5300747346,0.0,629497.5300747346,0.0,0.0,4473,8439,OPTIMAL,657817.5749158103,0.0,657817.5749160468,0.0,-2.3646862246096134e-7,40329,74541,352.3553490256322,-2.3646862246096134e-11,0.00325275,0.0036275,0.004973417,0.031914125,0.036003958,0.0788375
synth/hydro_10_24_k_means_convex_0.001,653657,10,24,k_means,convex,unscaled,0.001,1.931603166033117,19.28882478716558,1.754108669446485e-6,1.0996368197217928e7,1.0662955480235075,10,1.0,1.0,0.0,0.0,0.18916666666666668,27428,1667,0,0,OPTIMAL,628822.5165812264,0.0,628822.5165812264,0.0,0.0,4473,8439,OPTIMAL,656930.3059040838,0.0,656930.3059041386,0.0,-5.4569682106375694e-8,40329,74541,322.7797152954254,-5.4569682106375694e-12,0.0032065,0.003605208,0.019906208,0.029365667,0.032993459,0.0788375
