name,seed,n_rep_periods,period_length,clustering_type,weight_type,normalization,tol,projection_error,sigma_max,sigma_min,kappa,stable_rank,numerical_rank,mean_weight_sum,max_weight_sum,frac_weight_sum_gt1,frac_weight_sum_lt1,weight_density,pgd_total_iters,pgd_max_iters_per_fit,cache_hits,cache_misses,termination_status,objective_value,cost_of_investment,cost_of_operations,cost_of_spillage,cost_of_borrow,n_variables,n_constraints,evaluation_termination_status,evaluated_objective_value,eval_cost_of_investment,eval_cost_of_operations,eval_cost_of_spillage,eval_cost_of_borrow,eval_n_variables,eval_n_constraints,total_spillage,total_borrow,time_to_preprocess,time_to_cluster,time_to_fit_weights,time_to_formulate_model,time_to_solve,time_to_read
synth/knobs/base_1_2880_k_means_dirac_0.01_economic,653657,1,2880,k_means,dirac,economic,0.01,0.0,1.0,1.0,1.0,1.0,1,1.0,1.0,0.0,0.0,1.0,0,0,0,0,OPTIMAL,892295.4026920628,0.0,892295.4026920628,0.0,0.0,40329,74901,N/A,,,,,,0,0,0.0,0.0,0.003441334,0.004182333,1.292e-6,0.1096455,0.12372325,0.03006725
synth/knobs/base_10_24_conical_hull_dirac_0.01_economic,653657,10,24,conical_hull,dirac,economic,0.01,440.3853040703681,1031.03067967759,0.0007748166611617087,1.3306769605750744e6,1.2452907776052584,10,1.0,1.0,0.0,0.0,0.1,0,0,508,527,OPTIMAL,1.0296377323173397e6,0.0,1.0296377323173395e6,0.0,0.0,4473,8439,OPTIMAL,925064.792807009,0.0,925064.7928047167,0.0,2.291926648467779e-6,40329,74541,9260.82177121197,2.2919266484677792e-10,0.003423208,0.008608416,8.75e-7,0.032722042,0.015137542,0.03006725
synth/knobs/base_10_24_conical_hull_convex_0.01_economic,653657,10,24,conical_hull,convex,economic,0.01,71.20770584648092,1031.03067967759,0.0007748166611617087,1.3306769605750744e6,1.2452907776052584,10,1.0,1.0,0.0,0.0,0.20583333333333334,21455,292,508,527,OPTIMAL,972421.3072875093,0.0,972421.3072875092,0.0,0.0,4473,8439,OPTIMAL,942518.9561539777,0.0,942518.9561533227,0.0,6.548361852765083e-7,40329,74541,9842.627216165496,6.548361852765083e-11,0.003473875,0.008606833,0.007243916,0.032731292,0.0213875,0.03006725
synth/knobs/base_10_24_conical_hull_conical_0.01_economic,653657,10,24,conical_hull,conical,economic,0.01,66.90525601197321,1031.03067967759,0.0007748166611617087,1.3306769605750744e6,1.2452907776052584,10,1.0019299515644156,1.0216996701230046,0.3,0.6166666666666667,0.20666666666666667,20985,320,508,527,OPTIMAL,970095.8286992077,0.0,970095.8286992079,0.0,0.0,4473,8439,OPTIMAL,942507.3961076706,0.0,942507.3961069701,0.0,7.003109203651547e-7,40329,74541,9842.241881287071,7.003109203651547e-11,0.003377167,0.007939,0.003635541,0.031991875,0.022626875,0.03006725
synth/knobs/base_10_24_conical_hull_conical_bounded_0.01_economic,653657,10,24,conical_hull,conical_bounded,economic,0.01,71.16578960343404,1031.03067967759,0.0007748166611617087,1.3306769605750744e6,1.2452907776052584,10,0.9988115567471259,1.0,0.0,0.625,0.20583333333333334,21815,292,508,527,OPTIMAL,970075.54305887,0.0,970075.5430588699,0.0,0.0,4473,8439,OPTIMAL,943556.5187707392,0.0,943556.5187700298,0.0,7.09405867382884e-7,40329,74541,9877.212636722408,7.09405867382884e-11,0.003403,0.008444458,0.037675083,0.030828416,0.027486292,0.03006725
synth/knobs/base_10_24_k_means_convex_0.01_economic,653657,10,24,k_means,convex,economic,0.01,172.63384047811363,1002.0643754712411,0.00014314012937224614,7.000583133925365e6,1.2447524549324884,10,1.0,1.0,0.0,0.0,0.18583333333333332,25686,1555,0,0,OPTIMAL,864488.1861260652,0.0,864488.186126065,0.0,0.0,4473,8439,OPTIMAL,901902.1256512653,0.0,901902.1256505104,0.0,7.548806024715304e-7,40329,74541,8488.732866071612,7.548806024715304e-11,0.00353325,0.005284459,0.008415,0.03147375,0.025983709,0.03006725
synth/knobs/base_10_24_k_medoids_convex_0.01_economic,653657,10,24,k_medoids,convex,economic,0.01,119.96669784673111,991.9070504376979,0.0010060097912879247,985981.5073646827,1.2648437809296464,10,1.0,1.0,0.0,0.0,0.19416666666666665,35295,1541,0,0,OPTIMAL,896457.8095390914,0.0,896457.8095390914,0.0,0.0,4473,8439,OPTIMAL,901700.859815119,0.0,901700.8598142096,0.0,9.094947017729282e-7,40329,74541,8482.024004861622,9.094947017729282e-11,0.003326083,0.005042209,0.010506833,0.031212375,0.026112208,0.03006725
synth/knobs/base_10_24_hierarchical_convex_0.01_economic,653657,10,24,hierarchical,convex,economic,0.01,97.86618970754766,990.8542118281212,0.0006411047967407829,1.545541722453766e6,1.2637037910470523,10,1.0,1.0000000000000002,0.0,0.0,0.19166666666666668,20584,505,0,0,OPTIMAL,885092.0901050468,0.0,885092.0901050469,0.0,0.0,4473,8439,OPTIMAL,901638.9174614355,0.0,901638.9174600351,0.0,1.4006218407303095e-6,40329,74541,8479.959259722662,1.4006218407303095e-10,0.003532084,0.005289083,0.005971292,0.031827666,0.02666175,0.03006725
synth/knobs/base_10_24_chronological_convex_0.01_economic,653657,10,24,chronological,convex,economic,0.01,160.10917715438092,982.9653934132749,0.0003113059799767475,3.1575538429640704e6,1.2778576674753954,10,1.0,1.0,0.0,0.0,0.20083333333333334,81835,7058,0,0,OPTIMAL,888883.1264323764,0.0,888883.1264323763,0.0,0.0,4473,8439,OPTIMAL,913351.0289415997,0.0,913351.0289405175,0.0,1.0822986951097846e-6,40329,74541,8870.362975738557,1.0822986951097846e-10,0.003538458,0.005156375,0.027181084,0.031447959,0.02995875,0.03006725
synth/knobs/base_10_24_convex_hull_convex_0.01_economic,653657,10,24,convex_hull,convex,economic,0.01,77.69385457298183,1037.5098765143634,0.0007630976700924126,1.3596029934002014e6,1.2407501931082334,10,1.0,1.0000000000000002,0.0,0.0,0.20583333333333334,20707,312,474,561,OPTIMAL,964646.7383793177,0.0,964646.7383793177,0.0,0.0,4473,8439,OPTIMAL,936161.993639006,0.0,936161.9936380602,0.0,9.458744898438454e-7,40329,74541,9630.728465656817,9.458744898438454e-11,0.003269875,0.012305292,0.00619575,0.031278417,0.028449833,0.03006725
synth/knobs/base_10_24_conical_hull_convex_0.01,653657,10,24,conical_hull,convex,unscaled,0.01,1.3921182932683005,14.443033678560605,7.713463501561227e-6,1.8724446774963404e6,1.3445923118321257,10,1.0,1.0000000000000002,0.0,0.0,0.20333333333333334,11115,280,549,486,OPTIMAL,910893.8960435716,0.0,910893.8960435718,0.0,0.0,4473,8439,OPTIMAL,898804.3327357809,0.0,898804.3327336432,0.0,2.1373125491663814e-6,40329,74541,8385.47310217622,2.1373125491663814e-10,0.003423792,0.006142542,0.004089,0.032098084,0.028410667,0.03006725
synth/knobs/base_10_24_conical_hull_convex_0.01_minmax,653657,10,24,conical_hull,convex,minmax,0.01,1.5175012411917432,14.393981905249559,1.4016221911379925e-5,1.0269516276396086e6,1.427195622285435,10,1.0,1.0,0.0,0.0,0.205,10000,193,499,536,OPTIMAL,903146.906862064,0.0,903146.906862064,0.0,0.0,4473,8439,OPTIMAL,902972.3083186686,0.0,902972.3083178229,0.0,8.458300726488233e-7,40329,74541,8524.405621648913,8.458300726488233e-11,0.003317541,0.006425625,0.003240792,0.031703167,0.024759667,0.03006725
synth/knobs/base_1_2880_k_means_dirac_0.01_economic,505263,1,2880,k_means,dirac,economic,0.01,0.0,1.0,1.0,1.0,1.0,1,1.0,1.0,0.0,0.0,1.0,0,0,0,0,OPTIMAL,892295.4026920628,0.0,892295.4026920628,0.0,0.0,40329,74901,N/A,,,,,,0,0,0.0,0.0,0.003230791,0.003847541,1.041e-6,0.077978583,0.108134042,0.027261417
synth/knobs/base_10_24_conical_hull_dirac_0.01_economic,505263,10,24,conical_hull,dirac,economic,0.01,440.3853040703681,1031.03067967759,0.0007748166611617087,1.3306769605750744e6,1.2452907776052584,10,1.0,1.0,0.0,0.0,0.1,0,0,508,527,OPTIMAL,1.0296377323173397e6,0.0,1.0296377323173395e6,0.0,0.0,4473,8439,OPTIMAL,925064.792807009,0.0,925064.7928047167,0.0,2.291926648467779e-6,40329,74541,9260.82177121197,2.2919266484677792e-10,0.003287166,0.192801291,9.16e-7,0.030372167,0.014866792,0.027261417
synth/knobs/base_10_24_conical_hull_convex_0.01_economic,505263,10,24,conical_hull,convex,economic,0.01,71.20770584648092,1031.03067967759,0.0007748166611617087,1.3306769605750744e6,1.2452907776052584,10,1.0,1.0,0.0,0.0,0.20583333333333334,21455,292,508,527,OPTIMAL,972421.3072875093,0.0,972421.3072875092,0.0,0.0,4473,8439,OPTIMAL,942518.9561539777,0.0,942518.9561533227,0.0,6.548361852765083e-7,40329,74541,9842.627216165496,6.548361852765083e-11,0.00353775,0.007967208,0.006478959,0.032624625,0.021360708,0.027261417
synth/knobs/base_10_24_conical_hull_conical_0.01_economic,505263,10,24,conical_hull,conical,economic,0.01,66.90525601197321,1031.03067967759,0.0007748166611617087,1.3306769605750744e6,1.2452907776052584,10,1.0019299515644156,1.0216996701230046,0.3,0.6166666666666667,0.20666666666666667,20985,320,508,527,OPTIMAL,970095.8286992077,0.0,970095.8286992079,0.0,0.0,4473,8439,OPTIMAL,942507.3961076706,0.0,942507.3961069701,0.0,7.003109203651547e-7,40329,74541,9842.241881287071,7.003109203651547e-11,0.003499625,0.008605,0.004570333,0.032909333,0.022902917,0.027261417
synth/knobs/base_10_24_conical_hull_conical_bounded_0.01_economic,505263,10,24,conical_hull,conical_bounded,economic,0.01,71.16578960343404,1031.03067967759,0.0007748166611617087,1.3306769605750744e6,1.2452907776052584,10,0.9988115567471259,1.0,0.0,0.625,0.20583333333333334,21815,292,508,527,OPTIMAL,970075.54305887,0.0,970075.5430588699,0.0,0.0,4473,8439,OPTIMAL,943556.5187707392,0.0,943556.5187700298,0.0,7.09405867382884e-7,40329,74541,9877.212636722408,7.09405867382884e-11,0.003266416,0.007865875,0.006881875,0.0318135,0.027572334,0.027261417
synth/knobs/base_10_24_k_means_convex_0.01_economic,505263,10,24,k_means,convex,economic,0.01,123.92810087545388,997.1536275733421,0.0001385057656285438,7.199365478023428e6,1.2634274537717056,10,1.0,1.0,0.0,0.0,0.19416666666666665,21566,550,0,0,OPTIMAL,896119.9770467862,0.0,896119.9770467861,0.0,0.0,4473,8439,OPTIMAL,905116.9274151181,0.0,905116.9274142815,0.0,8.36735125631094e-7,40329,74541,8595.892924864183,8.36735125631094e-11,0.00323875,0.004942542,0.006499458,0.031002958,0.028922584,0.027261417
synth/knobs/base_10_24_k_medoids_convex_0.01_economic,505263,10,24,k_medoids,convex,economic,0.01,103.02335383952635,987.5382964185137,0.000727377831113948,1.3576689502705093e6,1.2831105324193386,10,1.0,1.0,0.0,0.0,0.1975,39677,1628,0,0,OPTIMAL,892568.4142626536,0.0,892568.4142626534,0.0,0.0,4473,8439,OPTIMAL,902326.7234857046,0.0,902326.7234844042,0.0,1.3005774235352874e-6,40329,74541,8502.886127201462,1.3005774235352874e-10,0.003316083,0.005273916,0.034459375,0.030463875,0.028024834,0.027261417
synth/knobs/base_10_24_hierarchical_convex_0.01_economic,505263,10,24,hierarchical,convex,economic,0.01,97.86618970754766,990.8542118281212,0.0006411047967407829,1.545541722453766e6,1.2637037910470523,10,1.0,1.0000000000000002,0.0,0.0,0.19166666666666668,20584,505,0,0,OPTIMAL,885092.0901050468,0.0,885092.0901050469,0.0,0.0,4473,8439,OPTIMAL,901638.9174614355,0.0,901638.9174600351,0.0,1.4006218407303095e-6,40329,74541,8479.959259722662,1.4006218407303095e-10,0.003412,0.005263959,0.005994125,0.031280125,0.026323459,0.027261417
synth/knobs/base_10_24_chronological_convex_0.01_economic,505263,10,24,chronological,convex,economic,0.01,160.10917715438092,982.9653934132749,0.0003113059799767475,3.1575538429640704e6,1.2778576674753954,10,1.0,1.0,0.0,0.0,0.20083333333333334,81835,7058,0,0,OPTIMAL,888883.1264323764,0.0,888883.1264323763,0.0,0.0,4473,8439,OPTIMAL,913351.0289415997,0.0,913351.0289405175,0.0,1.0822986951097846e-6,40329,74541,8870.362975738557,1.0822986951097846e-10,0.003413667,0.005133584,0.206246667,0.030351792,0.029799917,0.027261417
synth/knobs/base_10_24_convex_hull_convex_0.01_economic,505263,10,24,convex_hull,convex,economic,0.01,77.69385457298183,1037.5098765143634,0.0007630976700924126,1.3596029934002014e6,1.2407501931082334,10,1.0,1.0000000000000002,0.0,0.0,0.20583333333333334,20707,312,474,561,OPTIMAL,964646.7383793177,0.0,964646.7383793177,0.0,0.0,4473,8439,OPTIMAL,936161.993639006,0.0,936161.9936380602,0.0,9.458744898438454e-7,40329,74541,9630.728465656817,9.458744898438454e-11,0.003425042,0.012396833,0.007272458,0.032098875,0.028427041,0.027261417
synth/knobs/base_10_24_conical_hull_convex_0.01,505263,10,24,conical_hull,convex,unscaled,0.01,1.3921182932683005,14.443033678560605,7.713463501561227e-6,1.8724446774963404e6,1.3445923118321257,10,1.0,1.0000000000000002,0.0,0.0,0.20333333333333334,11115,280,549,486,OPTIMAL,910893.8960435716,0.0,910893.8960435718,0.0,0.0,4473,8439,OPTIMAL,898804.3327357809,0.0,898804.3327336432,0.0,2.1373125491663814e-6,40329,74541,8385.47310217622,2.1373125491663814e-10,0.003285417,0.006224875,0.004080584,0.031895042,0.028543084,0.027261417
synth/knobs/base_10_24_conical_hull_convex_0.01_minmax,505263,10,24,conical_hull,convex,minmax,0.01,1.5175012411917432,14.393981905249559,1.4016221911379925e-5,1.0269516276396086e6,1.427195622285435,10,1.0,1.0,0.0,0.0,0.205,10000,193,499,536,OPTIMAL,903146.906862064,0.0,903146.906862064,0.0,0.0,4473,8439,OPTIMAL,902972.3083186686,0.0,902972.3083178229,0.0,8.458300726488233e-7,40329,74541,8524.405621648913,8.458300726488233e-11,0.003412625,0.006389125,0.003121833,0.0311185,0.024728583,0.027261417
synth/knobs/base_1_2880_k_means_dirac_0.01_economic,570629,1,2880,k_means,dirac,economic,0.01,0.0,1.0,1.0,1.0,1.0,1,1.0,1.0,0.0,0.0,1.0,0,0,0,0,OPTIMAL,892295.4026920628,0.0,892295.4026920628,0.0,0.0,40329,74901,N/A,,,,,,0,0,0.0,0.0,0.003072292,0.003896625,1.041e-6,0.0782825,0.106681917,0.026896291
synth/knobs/base_10_24_conical_hull_dirac_0.01_economic,570629,10,24,conical_hull,dirac,economic,0.01,440.3853040703681,1031.03067967759,0.0007748166611617087,1.3306769605750744e6,1.2452907776052584,10,1.0,1.0,0.0,0.0,0.1,0,0,508,527,OPTIMAL,1.0296377323173397e6,0.0,1.0296377323173395e6,0.0,0.0,4473,8439,OPTIMAL,925064.792807009,0.0,925064.7928047167,0.0,2.291926648467779e-6,40329,74541,9260.82177121197,2.2919266484677792e-10,0.003345542,0.0079385,1.167e-6,0.031316125,0.014869917,0.026896291
