name,seed,n_rep_periods,period_length,clustering_type,weight_type,normalization,tol,projection_error,sigma_max,sigma_min,kappa,stable_rank,numerical_rank,mean_weight_sum,max_weight_sum,frac_weight_sum_gt1,frac_weight_sum_lt1,weight_density,pgd_total_iters,pgd_max_iters_per_fit,cache_hits,cache_misses,termination_status,objective_value,cost_of_investment,cost_of_operations,cost_of_spillage,cost_of_borrow,n_variables,n_constraints,evaluation_termination_status,evaluated_objective_value,eval_cost_of_investment,eval_cost_of_operations,eval_cost_of_spillage,eval_cost_of_borrow,eval_n_variables,eval_n_constraints,total_spillage,total_borrow,time_to_preprocess,time_to_cluster,time_to_fit_weights,time_to_formulate_model,time_to_solve,time_to_read
synth/knobs/beta15_1_2880_k_means_dirac_0.01_economic,653657,1,2880,k_means,dirac,economic,0.01,0.0,1.0,1.0,1.0,1.0,1,1.0,1.0,0.0,0.0,1.0,0,0,0,0,OPTIMAL,1.9997239745920554e6,0.0,1.9997239745920554e6,0.0,0.0,40329,74901,N/A,,,,,,0,0,0.0,0.0,0.003116917,0.004064125,1.166e-6,0.121118875,0.119600334,0.028216917
synth/knobs/beta15_10_24_conical_hull_dirac_0.01_economic,653657,10,24,conical_hull,dirac,economic,0.01,440.3853040703681,1031.03067967759,0.0007748166611617087,1.3306769605750744e6,1.2452907776052584,10,1.0,1.0,0.0,0.0,0.1,0,0,508,527,OPTIMAL,2.159431454910515e6,0.0,2.159431454910516e6,0.0,0.0,4473,8439,OPTIMAL,2.022308427437464e6,0.0,2.0223084274372812e6,0.0,1.8189894035458565e-7,40329,74541,45835.60959229745,1.8189894035458565e-11,0.003213334,0.007828042,9.59e-7,0.033990166,0.011920208,0.028216917
synth/knobs/beta15_10_24_conical_hull_convex_0.01_economic,653657,10,24,conical_hull,convex,economic,0.01,71.20770584648092,1031.03067967759,0.0007748166611617087,1.3306769605750744e6,1.2452907776052584,10,1.0,1.0,0.0,0.0,0.20583333333333334,21455,292,508,527,OPTIMAL,2.0661423945617503e6,0.0,2.0661423945617503e6,0.0,0.0,4473,8439,OPTIMAL,2.0174856033124726e6,0.0,2.0174856033127315e6,0.0,-2.5920599000528455e-7,40329,74541,45674.848788145726,-2.5920599000528455e-11,0.003446083,0.008474375,0.029862666,0.031370833,0.016467666,0.028216917
synth/knobs/beta15_10_24_conical_hull_conical_0.01_economic,653657,10,24,conical_hull,conical,economic,0.01,66.90525601197321,1031.03067967759,0.0007748166611617087,1.3306769605750744e6,1.2452907776052584,10,1.0019299515644156,1.0216996701230046,0.3,0.6166666666666667,0.20666666666666667,20985,320,508,527,OPTIMAL,2.0630887077130098e6,0.0,2.0630887077130098e6,0.0,0.0,4473,8439,OPTIMAL,2.017613727244132e6,0.0,2.0176137272443997e6,0.0,-2.6830093702301383e-7,40329,74541,45679.11958586796,-2.6830093702301383e-11,0.003419375,0.007875708,0.003907583,0.031746833,0.015447833,0.028216917
synth/knobs/beta15_10_24_conical_hull_conical_bounded_0.01_economic,653657,10,24,conical_hull,conical_bounded,economic,0.01,71.16578960343404,1031.03067967759,0.0007748166611617087,1.3306769605750744e6,1.2452907776052584,10,0.9988115567471259,1.0,0.0,0.625,0.20583333333333334,21815,292,508,527,OPTIMAL,2.063016004351963e6,0.0,2.0630160043519633e6,0.0,0.0,4473,8439,OPTIMAL,2.0176180746844404e6,0.0,2.0176180746847035e6,0.0,-2.637534635141492e-7,40329,74541,45679.26450054476,-2.637534635141492e-11,0.003347042,0.007683875,0.006912583,0.031697333,0.01496625,0.028216917
synth/knobs/beta15_10_24_k_means_convex_0.01_economic,653657,10,24,k_means,convex,economic,0.01,172.63384047811363,1002.0643754712411,0.00014314012937224614,7.000583133925365e6,1.2447524549324884,10,1.0,1.0,0.0,0.0,0.18583333333333332,25686,1555,0,0,OPTIMAL,1.9719167580260655e6,0.0,1.9719167580260653e6,0.0,0.0,4473,8439,OPTIMAL,2.0096618574949792e6,0.0,2.009661857495125e6,0.0,-1.4551915228366852e-7,40329,74541,45414.057260892245,-1.4551915228366852e-11,0.003358541,0.005234125,0.00759025,0.031354875,0.0244165,0.028216917
synth/knobs/beta15_10_24_k_medoids_convex_0.01_economic,653657,10,24,k_medoids,convex,economic,0.01,119.96669784673111,991.9070504376979,0.0010060097912879247,985981.5073646827,1.2648437809296464,10,1.0,1.0,0.0,0.0,0.19416666666666665,35295,1541,0,0,OPTIMAL,2.003886381439091e6,0.0,2.003886381439091e6,0.0,0.0,4473,8439,OPTIMAL,2.0097627573376123e6,0.0,2.0097627573378328e6,0.0,-2.205524651799351e-7,40329,74541,45417.42058898248,-2.205524651799351e-11,0.003389458,0.005163291,0.010273583,0.03117875,0.026756042,0.028216917
synth/knobs/beta15_10_24_hierarchical_convex_0.01_economic,653657,10,24,hierarchical,convex,economic,0.01,97.86618970754766,990.8542118281212,0.0006411047967407829,1.545541722453766e6,1.2637037910470523,10,1.0,1.0000000000000002,0.0,0.0,0.19166666666666668,20584,505,0,0,OPTIMAL,1.9900712702200518e6,0.0,1.9900712702200525e6,0.0,0.0,4473,8439,OPTIMAL,2.0110442125281615e6,0.0,2.0110442125285314e6,0.0,-3.7061909097246826e-7,40329,74541,45460.13576200568,-3.7061909097246826e-11,0.003425792,0.00519725,0.007152458,0.032046375,0.019416667,0.028216917
synth/knobs/beta15_10_24_chronological_convex_0.01_economic,653657,10,24,chronological,convex,economic,0.01,160.10917715438092,982.9653934132749,0.0003113059799767475,3.1575538429640704e6,1.2778576674753954,10,1.0,1.0,0.0,0.0,0.20083333333333334,81835,7058,0,0,OPTIMAL,1.9989473955714346e6,0.0,1.9989473955714346e6,0.0,0.0,4473,8439,OPTIMAL,2.008559557877005e6,0.0,2.0085595578774274e6,0.0,-4.2291503632441163e-7,40329,74541,45377.313940302265,-4.229150363244116e-11,0.003390833,0.005170709,0.024365292,0.031271,0.02676825,0.028216917
synth/knobs/beta15_10_24_convex_hull_convex_0.01_economic,653657,10,24,convex_hull,convex,economic,0.01,77.69385457298183,1037.5098765143634,0.0007630976700924126,1.3596029934002014e6,1.2407501931082334,10,1.0,1.0000000000000002,0.0,0.0,0.20583333333333334,20707,312,474,561,OPTIMAL,2.043015651969462e6,0.0,2.043015651969462e6,0.0,0.0,4473,8439,OPTIMAL,2.0168082672833311e6,0.0,2.0168082672835898e6,0.0,-2.5920599000528455e-7,40329,74541,45652.270920507675,-2.5920599000528455e-11,0.003504792,0.012613708,0.0061055,0.031551125,0.014927708,0.028216917
synth/knobs/beta15_10_24_conical_hull_convex_0.01,653657,10,24,conical_hull,convex,unscaled,0.01,1.3921182932683005,14.443033678560605,7.713463501561227e-6,1.8724446774963404e6,1.3445923118321257,10,1.0,1.0000000000000002,0.0,0.0,0.20333333333333334,11115,280,549,486,OPTIMAL,2.015438159300453e6,0.0,2.0154381593004528e6,0.0,0.0,4473,8439,OPTIMAL,2.0072614321846205e6,0.0,2.0072614321849248e6,0.0,-3.0468072509393096e-7,40329,74541,45334.0430838855,-3.0468072509393096e-11,0.003549792,0.025671708,0.003483916,0.030766292,0.020095458,0.028216917
synth/knobs/beta15_10_24_conical_hull_convex_0.01_minmax,653657,10,24,conical_hull,convex,minmax,0.01,1.5175012411917432,14.393981905249559,1.4016221911379925e-5,1.0269516276396086e6,1.427195622285435,10,1.0,1.0,0.0,0.0,0.205,10000,193,499,536,OPTIMAL,2.0080671373849274e6,0.0,2.008067137384927e6,0.0,0.0,4473,8439,OPTIMAL,2.0070196131576793e6,0.0,2.0070196131579198e6,0.0,-2.41016095969826e-7,40329,74541,45325.982449651994,-2.4101609596982598e-11,0.003534292,0.006475125,0.037206875,0.03074775,0.022822375,0.028216917
synth/knobs/beta15_1_2880_k_means_dirac_0.01_economic,505263,1,2880,k_means,dirac,economic,0.01,0.0,1.0,1.0,1.0,1.0,1,1.0,1.0,0.0,0.0,1.0,0,0,0,0,OPTIMAL,1.9997239745920554e6,0.0,1.9997239745920554e6,0.0,0.0,40329,74901,N/A,,,,,,0,0,0.0,0.0,0.003102541,0.004035625,1.125e-6,0.261484917,0.118509667,0.027058583
synth/knobs/beta15_10_24_conical_hull_dirac_0.01_economic,505263,10,24,conical_hull,dirac,economic,0.01,440.3853040703681,1031.03067967759,0.0007748166611617087,1.3306769605750744e6,1.2452907776052584,10,1.0,1.0,0.0,0.0,0.1,0,0,508,527,OPTIMAL,2.159431454910515e6,0.0,2.159431454910516e6,0.0,0.0,4473,8439,OPTIMAL,2.022308427437464e6,0.0,2.0223084274372812e6,0.0,1.8189894035458565e-7,40329,74541,45835.60959229745,1.8189894035458565e-11,0.003371125,0.007583,7.08e-7,0.031016666,0.011736959,0.027058583
synth/knobs/beta15_10_24_conical_hull_convex_0.01_economic,505263,10,24,conical_hull,convex,economic,0.01,71.20770584648092,1031.03067967759,0.0007748166611617087,1.3306769605750744e6,1.2452907776052584,10,1.0,1.0,0.0,0.0,0.20583333333333334,21455,292,508,527,OPTIMAL,2.0661423945617503e6,0.0,2.0661423945617503e6,0.0,0.0,4473,8439,OPTIMAL,2.0174856033124726e6,0.0,2.0174856033127315e6,0.0,-2.5920599000528455e-7,40329,74541,45674.848788145726,-2.5920599000528455e-11,0.003441708,0.008495125,0.007474291,0.032146292,0.016469125,0.027058583
synth/knobs/beta15_10_24_conical_hull_conical_0.01_economic,505263,10,24,conical_hull,conical,economic,0.01,66.90525601197321,1031.03067967759,0.0007748166611617087,1.3306769605750744e6,1.2452907776052584,10,1.0019299515644156,1.0216996701230046,0.3,0.6166666666666667,0.20666666666666667,20985,320,508,527,OPTIMAL,2.0630887077130098e6,0.0,2.0630887077130098e6,0.0,0.0,4473,8439,OPTIMAL,2.017613727244132e6,0.0,2.0176137272443997e6,0.0,-2.6830093702301383e-7,40329,74541,45679.11958586796,-2.6830093702301383e-11,0.0032945,0.007786083,0.003671334,0.031745,0.01544375,0.027058583
synth/knobs/beta15_10_24_conical_hull_conical_bounded_0.01_economic,505263,10,24,conical_hull,conical_bounded,economic,0.01,71.16578960343404,1031.03067967759,0.0007748166611617087,1.3306769605750744e6,1.2452907776052584,10,0.9988115567471259,1.0,0.0,0.625,0.20583333333333334,21815,292,508,527,OPTIMAL,2.063016004351963e6,0.0,2.0630160043519633e6,0.0,0.0,4473,8439,OPTIMAL,2.0176180746844404e6,0.0,2.0176180746847035e6,0.0,-2.637534635141492e-7,40329,74541,45679.26450054476,-2.637534635141492e-11,0.003607167,0.008605958,0.030208917,0.030658916,0.014919375,0.027058583
synth/knobs/beta15_10_24_k_means_convex_0.01_economic,505263,10,24,k_means,convex,economic,0.01,123.92810087545388,997.1536275733421,0.0001385057656285438,7.199365478023428e6,1.2634274537717056,10,1.0,1.0,0.0,0.0,0.19416666666666665,21566,550,0,0,OPTIMAL,1.987954608114225e6,0.0,1.9879546081142253e6,0.0,0.0,4473,8439,OPTIMAL,2.0090519734603614e6,0.0,2.0090519734604703e6,0.0,-1.0913936421275139e-7,40329,74541,45393.72779307034,-1.0913936421275139e-11,0.003281042,0.005081292,0.00735975,0.032317792,0.019333167,0.027058583
synth/knobs/beta15_10_24_k_medoids_convex_0.01_economic,505263,10,24,k_medoids,convex,economic,0.01,103.02335383952635,987.5382964185137,0.000727377831113948,1.3576689502705093e6,1.2831105324193386,10,1.0,1.0,0.0,0.0,0.1975,39677,1628,0,0,OPTIMAL,2.0007836125087854e6,0.0,2.0007836125087854e6,0.0,0.0,4473,8439,OPTIMAL,2.0083799902799083e6,0.0,2.008379990280067e6,0.0,-1.5916157281026244e-7,40329,74541,45371.32835372358,-1.5916157281026244e-11,0.003236583,0.004951333,0.012025417,0.0315385,0.022878667,0.027058583
synth/knobs/beta15_10_24_hierarchical_convex_0.01_economic,505263,10,24,hierarchical,convex,economic,0.01,97.86618970754766,990.8542118281212,0.0006411047967407829,1.545541722453766e6,1.2637037910470523,10,1.0,1.0000000000000002,0.0,0.0,0.19166666666666668,20584,505,0,0,OPTIMAL,1.9900712702200518e6,0.0,1.9900712702200525e6,0.0,0.0,4473,8439,OPTIMAL,2.0110442125281615e6,0.0,2.0110442125285314e6,0.0,-3.7061909097246826e-7,40329,74541,45460.13576200568,-3.7061909097246826e-11,0.003409875,0.005093375,0.005899042,0.063312292,0.019480208,0.027058583
synth/knobs/beta15_10_24_chronological_convex_0.01_economic,505263,10,24,chronological,convex,economic,0.01,160.10917715438092,982.9653934132749,0.0003113059799767475,3.1575538429640704e6,1.2778576674753954,10,1.0,1.0,0.0,0.0,0.20083333333333334,81835,7058,0,0,OPTIMAL,1.9989473955714346e6,0.0,1.9989473955714346e6,0.0,0.0,4473,8439,OPTIMAL,2.008559557877005e6,0.0,2.0085595578774274e6,0.0,-4.2291503632441163e-7,40329,74541,45377.313940302265,-4.229150363244116e-11,0.0032965,0.005068208,0.202962709,0.030372125,0.026298208,0.027058583
synth/knobs/beta15_10_24_convex_hull_convex_0.01_economic,505263,10,24,convex_hull,convex,economic,0.01,77.69385457298183,1037.5098765143634,0.0007630976700924126,1.3596029934002014e6,1.2407501931082334,10,1.0,1.0000000000000002,0.0,0.0,0.20583333333333334,20707,312,474,561,OPTIMAL,2.043015651969462e6,0.0,2.043015651969462e6,0.0,0.0,4473,8439,OPTIMAL,2.0168082672833311e6,0.0,2.0168082672835898e6,0.0,-2.5920599000528455e-7,40329,74541,45652.270920507675,-2.5920599000528455e-11,0.003442042,0.013228416,0.007104416,0.032872,0.015249875,0.027058583
synth/knobs/beta15_10_24_conical_hull_convex_0.01,505263,10,24,conical_hull,convex,unscaled,0.01,1.3921182932683005,14.443033678560605,7.713463501561227e-6,1.8724446774963404e6,1.3445923118321257,10,1.0,1.0000000000000002,0.0,0.0,0.20333333333333334,11115,280,549,486,OPTIMAL,2.015438159300453e6,0.0,2.0154381593004528e6,0.0,0.0,4473,8439,OPTIMAL,2.0072614321846205e6,0.0,2.0072614321849248e6,0.0,-3.0468072509393096e-7,40329,74541,45334.0430838855,-3.0468072509393096e-11,0.003496583,0.040172042,0.003481167,0.031005916,0.020415459,0.027058583
