name,seed,n_rep_periods,period_length,clustering_type,weight_type,normalization,tol,projection_error,sigma_max,sigma_min,kappa,stable_rank,numerical_rank,mean_weight_sum,max_weight_sum,frac_weight_sum_gt1,frac_weight_sum_lt1,weight_density,pgd_total_iters,pgd_max_iters_per_fit,cache_hits,cache_misses,termination_status,objective_value,cost_of_investment,cost_of_operations,cost_of_spillage,cost_of_borrow,n_variables,n_constraints,evaluation_termination_status,evaluated_objective_value,eval_cost_of_investment,eval_cost_of_operations,eval_cost_of_spillage,eval_cost_of_borrow,eval_n_variables,eval_n_constraints,total_spillage,total_borrow,time_to_preprocess,time_to_cluster,time_to_fit_weights,time_to_formulate_model,time_to_solve,time_to_read
synth/knobs/hull10_1_2880_k_means_dirac_0.01_economic,653657,1,2880,k_means,dirac,economic,0.01,0.0,1.0,1.0,1.0,1.0,1,1.0,1.0,0.0,0.0,1.0,0,0,0,0,OPTIMAL,178676.67300935564,0.0,178676.67300935564,0.0,0.0,40329,74901,N/A,,,,,,0,0,0.0,0.0,0.003032125,0.004126083,1.0e-6,0.079091083,0.162642083,0.028624292
synth/knobs/hull10_10_24_conical_hull_dirac_0.01_economic,653657,10,24,conical_hull,dirac,economic,0.01,438.1652776591217,132.33654869774526,0.0008266320920653065,160091.23038897244,1.8799138048616615,10,1.0,1.0,0.0,0.0,0.1,0,0,491,544,OPTIMAL,113363.98006614944,0.0,113363.98006614942,0.0,0.0,4473,8439,OPTIMAL,293726.26894371817,0.0,293726.26894340856,0.0,3.092281986027956e-7,40329,74541,4828.9210415192565,3.092281986027956e-11,0.003264417,0.007420916,7.5e-7,0.031190125,0.017147917,0.028624292
synth/knobs/hull10_10_24_conical_hull_convex_0.01_economic,653657,10,24,conical_hull,convex,economic,0.01,361.07747321448136,132.33654869774526,0.0008266320920653065,160091.23038897244,1.8799138048616615,10,1.0,1.0,0.0,0.0,0.25416666666666665,10554,185,491,544,OPTIMAL,249165.192116273,0.0,249165.192116273,0.0,0.0,4473,8439,OPTIMAL,277464.1706653593,0.0,277464.1706653808,0.0,-2.1600499167107046e-8,40329,74541,4286.851098918365,-2.1600499167107046e-12,0.003505917,0.007458417,0.003338,0.031665125,0.023725584,0.028624292
synth/knobs/hull10_10_24_conical_hull_conical_0.01_economic,653657,10,24,conical_hull,conical,economic,0.01,22.63860786468052,132.33654869774526,0.0008266320920653065,160091.23038897244,1.8799138048616615,10,1.1165053453008744,3.0078695360206207,0.675,0.24166666666666667,0.2658333333333333,43992,3970,491,544,OPTIMAL,350109.75080476404,0.0,350109.75080476404,0.0,0.0,4473,8439,OPTIMAL,252025.42350563756,0.0,252025.42350566943,0.0,-3.183231456205249e-8,40329,74541,3438.8928602613023,-3.183231456205249e-12,0.003439792,0.008025125,0.008787167,0.032472667,0.029452875,0.028624292
synth/knobs/hull10_10_24_conical_hull_conical_bounded_0.01_economic,653657,10,24,conical_hull,conical_bounded,economic,0.01,360.19696596307153,132.33654869774526,0.0008266320920653065,160091.23038897244,1.8799138048616615,10,0.9156973086341329,1.0,0.0,0.275,0.25416666666666665,18322,586,491,544,OPTIMAL,252517.65078112498,0.0,252517.65078112498,0.0,0.0,4473,8439,OPTIMAL,276331.3877175865,0.0,276331.38771761255,0.0,-2.6147972675971687e-8,40329,74541,4249.091667326081,-2.6147972675971687e-12,0.00353975,0.007674625,0.006045667,0.032681625,0.024157709,0.028624292
synth/knobs/hull10_10_24_k_means_convex_0.01_economic,653657,10,24,k_means,convex,economic,0.01,105.08992790998738,515.4373686966532,0.00021077607089030237,2.4454264021503213e6,1.0304515582051905,10,1.0,1.0000000000000002,0.0,0.0,0.22,33603,1163,0,0,OPTIMAL,205127.4794163145,0.0,205127.47941631454,0.0,0.0,4473,8439,OPTIMAL,196037.50047794974,0.0,196037.50047819305,0.0,-2.432898327242583e-7,40329,74541,1572.6287593454058,-2.432898327242583e-11,0.003413166,0.00536175,0.011548708,0.03228875,0.057716458,0.028624292
synth/knobs/hull10_10_24_k_medoids_convex_0.01_economic,653657,10,24,k_medoids,convex,economic,0.01,95.69608508011268,453.6410257339303,0.00058053433890501,781419.7978186392,1.044633356690984,10,1.0,1.0000000000000002,0.0,0.0,0.23583333333333334,51671,5125,0,0,OPTIMAL,213802.00073177074,0.0,213802.0007317708,0.0,0.0,4473,8439,OPTIMAL,195275.03614295728,0.0,195275.03614258906,0.0,3.6834535421803594e-7,40329,74541,1547.213281491927,3.6834535421803594e-11,0.00341225,0.005074125,0.014808375,0.033824875,0.0445835,0.028624292
synth/knobs/hull10_10_24_hierarchical_convex_0.01_economic,653657,10,24,hierarchical,convex,economic,0.01,98.96850817820112,520.8448743912735,0.000879714922255881,592060.9747708433,1.032314560319339,10,1.0,1.0000000000000002,0.0,0.0,0.23583333333333334,44607,3065,0,0,OPTIMAL,205540.49247915432,0.0,205540.49247915432,0.0,0.0,4473,8439,OPTIMAL,189911.42617871347,0.0,189911.42617858606,0.0,1.2732925824820995e-7,40329,74541,1368.4262826918775,1.2732925824820995e-11,0.003458417,0.005341042,0.01226925,0.031922333,0.043874833,0.028624292
synth/knobs/hull10_10_24_chronological_convex_0.01_economic,653657,10,24,chronological,convex,economic,0.01,646.7010663602769,116.39492221979889,0.0005984142312569617,194505.60521482382,1.3544746907778882,10,1.0,1.0000000000000002,0.0,0.0,0.2075,11855,523,0,0,OPTIMAL,0.0,0.0,0.0,0.0,0.0,4473,8439,OPTIMAL,326021.6332486493,0.0,326021.633248663,0.0,-1.3642420526593924e-8,40329,74541,5905.433185027777,-1.3642420526593924e-12,0.003467292,0.005276917,0.003664833,0.031785292,0.029234875,0.028624292
synth/knobs/hull10_10_24_convex_hull_convex_0.01_economic,653657,10,24,convex_hull,convex,economic,0.01,35.76317941629868,517.7993247788113,0.0004146743154097173,1.2486891652963886e6,1.0579461468676798,10,1.0,1.0000000000000002,0.0,0.0,0.2733333333333333,45500,2084,407,628,OPTIMAL,211981.86169952457,0.0,211981.8616995246,0.0,0.0,4473,8439,OPTIMAL,186554.19164889943,0.0,186554.19164895176,0.0,-5.2295945351943374e-8,40329,74541,1256.5184650373558,-5.229594535194337e-12,0.003435333,0.029177167,0.015430917,0.031720041,0.028923417,0.028624292
