name,seed,n_rep_periods,period_length,clustering_type,weight_type,normalization,tol,projection_error,sigma_max,sigma_min,kappa,stable_rank,numerical_rank,mean_weight_sum,max_weight_sum,frac_weight_sum_gt1,frac_weight_sum_lt1,weight_density,pgd_total_iters,pgd_max_iters_per_fit,cache_hits,cache_misses,termination_status,objective_value,cost_of_investment,cost_of_operations,cost_of_spillage,cost_of_borrow,n_variables,n_constraints,evaluation_termination_status,evaluated_objective_value,eval_cost_of_investment,eval_cost_of_operations,eval_cost_of_spillage,eval_cost_of_borrow,eval_n_variables,eval_n_constraints,total_spillage,total_borrow,time_to_preprocess,time_to_cluster,time_to_fit_weights,time_to_formulate_model,time_to_solve,time_to_read
synth/knobs/reg6_1_2880_k_means_dirac_0.01_economic,653657,1,2880,k_means,dirac,economic,0.01,0.0,1.0,1.0,1.0,1.0,1,1.0,1.0,0.0,0.0,1.0,0,0,0,0,OPTIMAL,880245.5950241275,0.0,880245.5950241275,0.0,0.0,40329,74901,N/A,,,,,,0,0,0.0,0.0,0.002990625,0.004053917,1.875e-6,0.079656125,0.193034,0.029310209
synth/knobs/reg6_10_24_conical_hull_dirac_0.01_economic,653657,10,24,conical_hull,dirac,economic,0.01,0.0,1072.0420561399096,2.3490687988061455e-76,4.563689478506324e78,1.1905366304601082,5,1.0,1.0,0.0,0.0,0.1,0,0,630,405,OPTIMAL,879472.9704879604,0.0,879472.9704879604,0.0,0.0,4473,8439,OPTIMAL,880788.9905772184,0.0,880788.9905873872,0.0,-1.0168150765821338e-5,40329,74541,7614.037848067107,-1.0168150765821338e-9,0.003464459,0.006670167,1.416e-6,0.031931541,0.012543209,0.029310209
synth/knobs/reg6_10_24_conical_hull_convex_0.01_economic,653657,10,24,conical_hull,convex,economic,0.01,0.0,1072.0420561399096,2.3490687988061455e-76,4.563689478506324e78,1.1905366304601082,5,1.0,1.0,0.0,0.0,0.1,0,0,630,405,OPTIMAL,879472.9704879604,0.0,879472.9704879604,0.0,0.0,4473,8439,OPTIMAL,880788.9905772184,0.0,880788.9905873872,0.0,-1.0168150765821338e-5,40329,74541,7614.037848067107,-1.0168150765821338e-9,0.003452416,0.006036209,9.0042e-5,0.030614167,0.012242708,0.029310209
synth/knobs/reg6_10_24_conical_hull_conical_0.01_economic,653657,10,24,conical_hull,conical,economic,0.01,0.0,1072.0420561399096,2.3490687988061455e-76,4.563689478506324e78,1.1905366304601082,5,1.0,1.0,0.0,0.0,0.1,0,0,630,405,OPTIMAL,879472.9704879604,0.0,879472.9704879604,0.0,0.0,4473,8439,OPTIMAL,880788.9905772184,0.0,880788.9905873872,0.0,-1.0168150765821338e-5,40329,74541,7614.037848067107,-1.0168150765821338e-9,0.003280416,0.006117541,8.9667e-5,0.031358583,0.012406459,0.029310209
synth/knobs/reg6_10_24_conical_hull_conical_bounded_0.01_economic,653657,10,24,conical_hull,conical_bounded,economic,0.01,0.0,1072.0420561399096,2.3490687988061455e-76,4.563689478506324e78,1.1905366304601082,5,1.0,1.0,0.0,0.0,0.1,0,0,630,405,OPTIMAL,879472.9704879604,0.0,879472.9704879604,0.0,0.0,4473,8439,OPTIMAL,880788.9905772184,0.0,880788.9905873872,0.0,-1.0168150765821338e-5,40329,74541,7614.037848067107,-1.0168150765821338e-9,0.003298,0.00640675,0.000124292,0.031305541,0.012321833,0.029310209
synth/knobs/reg6_10_24_k_medoids_convex_0.01_economic,653657,10,24,k_medoids,convex,economic,0.01,0.0,1049.2689714447336,1.1908939356231845e-31,8.810767609591195e33,1.1988580521920447,5,1.0,1.0,0.0,0.0,0.1,0,0,0,0,OPTIMAL,879472.97048796,0.0,879472.9704879599,0.0,0.0,4473,8439,OPTIMAL,880788.990579285,0.0,880788.990587379,0.0,-8.094502845779061e-6,40329,74541,7614.037848066993,-8.094502845779061e-10,0.00298725,0.004908125,0.0001115,0.030800417,0.018731958,0.029310209
synth/knobs/reg6_10_24_hierarchical_convex_0.01_economic,653657,10,24,hierarchical,convex,economic,0.01,0.0,1068.5213920942185,1.2735164665836778e-75,8.390322544950071e77,1.1966252410241889,5,1.0,1.0,0.0,0.0,0.1,0,0,0,0,OPTIMAL,879472.9704879601,0.0,879472.9704879599,0.0,0.0,4473,8439,OPTIMAL,880788.9905767415,0.0,880788.9905874007,0.0,-1.0659277904778719e-5,40329,74541,7614.037848067481,-1.0659277904778719e-9,0.00325575,0.004973042,9.8375e-5,0.030536375,0.017778584,0.029310209
synth/knobs/reg6_10_24_chronological_convex_0.01_economic,653657,10,24,chronological,convex,economic,0.01,0.0,1025.9070825232716,2.423997189777376e-31,4.23229485104103e33,1.2981448969369394,5,1.0,1.0,0.0,0.0,0.1,2632,229,0,0,OPTIMAL,879472.9704879601,0.0,879472.9704879603,0.0,0.0,4473,8439,OPTIMAL,882258.61313659,0.0,882258.6131460654,0.0,-9.476934792473912e-6,40329,74541,7663.025266690379,-9.476934792473912e-10,0.003526208,0.005256375,0.189695791,0.030267958,0.017533708,0.029310209
synth/knobs/reg6_10_24_convex_hull_convex_0.01_economic,653657,10,24,convex_hull,convex,economic,0.01,0.0,1072.0420561399096,3.999329818606685e-75,2.6805542547461e77,1.1905366304601082,5,1.0,1.0,0.0,0.0,0.1,0,0,630,405,OPTIMAL,879472.9704879604,0.0,879472.9704879604,0.0,0.0,4473,8439,OPTIMAL,880788.9905772184,0.0,880788.9905873871,0.0,-1.0168150765821338e-5,40329,74541,7614.037848067108,-1.0168150765821338e-9,0.003320083,0.01744,0.000127417,0.031061459,0.01286875,0.029310209
synth/knobs/reg6_10_24_conical_hull_convex_0.01,653657,10,24,conical_hull,convex,unscaled,0.01,0.0,12.076784215278014,9.737190678739516e-77,1.2402739777548817e77,1.5813110773216457,5,1.0,1.0,0.0,0.0,0.1,0,0,650,385,OPTIMAL,879472.9704879598,0.0,879472.9704879598,0.0,0.0,4473,8439,OPTIMAL,880788.9905772186,0.0,880788.9905873874,0.0,-1.0168150765821338e-5,40329,74541,7614.037848067126,-1.0168150765821338e-9,0.003445959,0.00496825,0.000129875,0.031590667,0.012611917,0.029310209
