name,seed,n_rep_periods,period_length,clustering_type,weight_type,normalization,tol,projection_error,sigma_max,sigma_min,kappa,stable_rank,numerical_rank,mean_weight_sum,max_weight_sum,frac_weight_sum_gt1,frac_weight_sum_lt1,weight_density,pgd_total_iters,pgd_max_iters_per_fit,cache_hits,cache_misses,termination_status,objective_value,cost_of_investment,cost_of_operations,cost_of_spillage,cost_of_borrow,n_variables,n_constraints,evaluation_termination_status,evaluated_objective_value,eval_cost_of_investment,eval_cost_of_operations,eval_cost_of_spillage,eval_cost_of_borrow,eval_n_variables,eval_n_constraints,total_spillage,total_borrow,time_to_preprocess,time_to_cluster,time_to_fit_weights,time_to_formulate_model,time_to_solve,time_to_read
synth/knobs/renew40_1_2880_k_means_dirac_0.01_economic,653657,1,2880,k_means,dirac,economic,0.01,0.0,1.0,1.0,1.0,1.0,1,1.0,1.0,0.0,0.0,1.0,0,0,0,0,OPTIMAL,2.7656529769153893e6,0.0,2.7656529769153893e6,0.0,0.0,40329,74901,N/A,,,,,,0,0,0.0,0.0,0.003033458,0.0041155,9.58e-7,0.079467417,0.335862666,0.027957667
synth/knobs/renew40_10_24_conical_hull_dirac_0.01_economic,653657,10,24,conical_hull,dirac,economic,0.01,334.6184434394818,755.4011221299194,0.0006772215760549698,1.1154416055825779e6,1.114939933654806,10,1.0,1.0,0.0,0.0,0.1,0,0,500,535,OPTIMAL,2.8209141703597438e6,0.0,2.8209141703597447e6,0.0,0.0,4473,8439,OPTIMAL,2.78570562891395e6,0.0,2.7857056289132168e6,0.0,7.321432349272072e-7,40329,74541,668.4217332607982,7.321432349272072e-11,0.003334333,0.008101666,1.0e-6,0.030880375,0.022944084,0.027957667
synth/knobs/renew40_10_24_conical_hull_convex_0.01_economic,653657,10,24,conical_hull,convex,economic,0.01,42.138826431589294,755.4011221299194,0.0006772215760549698,1.1154416055825779e6,1.114939933654806,10,1.0,1.0000000000000002,0.0,0.0,0.20583333333333334,25398,1702,500,535,OPTIMAL,2.7789295349350343e6,0.0,2.7789295349350343e6,0.0,0.0,4473,8439,OPTIMAL,2.770665944976252e6,0.0,2.7706659449757873e6,0.0,4.638422979041934e-7,40329,74541,167.09893534651647,4.638422979041934e-11,0.003683542,0.008803166,0.028036084,0.0313135,0.030708625,0.027957667
synth/knobs/renew40_10_24_conical_hull_conical_0.01_economic,653657,10,24,conical_hull,conical,economic,0.01,41.03919802695123,755.4011221299194,0.0006772215760549698,1.1154416055825779e6,1.114939933654806,10,0.9974868955545001,1.0067886484780497,0.25,0.6666666666666666,0.205,29658,1772,500,535,OPTIMAL,2.7777601209078627e6,0.0,2.7777601209078645e6,0.0,0.0,4473,8439,OPTIMAL,2.7719911601744434e6,0.0,2.7719911601739195e6,0.0,5.229594535194337e-7,40329,74541,211.27277528421803,5.2295945351943374e-11,0.003395042,0.008155334,0.021180875,0.031139334,0.032657208,0.027957667
synth/knobs/renew40_10_24_conical_hull_conical_bounded_0.01_economic,653657,10,24,conical_hull,conical_bounded,economic,0.01,41.2809829958456,755.4011221299194,0.0006772215760549698,1.1154416055825779e6,1.114939933654806,10,0.9967274763086239,1.0,0.0,0.6666666666666666,0.205,28653,1702,500,535,OPTIMAL,2.7765488545372966e6,0.0,2.776548854537296e6,0.0,0.0,4473,8439,OPTIMAL,2.7706659461697894e6,0.0,2.77066594616926e6,0.0,5.275069270282984e-7,40329,74541,167.09897512888998,5.275069270282984e-11,0.003460458,0.008070875,0.042545875,0.030720167,0.03043825,0.027957667
synth/knobs/renew40_10_24_k_means_convex_0.01_economic,653657,10,24,k_means,convex,economic,0.01,77.05934091394097,854.4342998289555,0.00012427323102000862,6.875449304857836e6,1.0719266813375017,10,1.0,1.0,0.0,0.0,0.19166666666666668,46275,1885,0,0,OPTIMAL,2.779146985832245e6,0.0,2.779146985832244e6,0.0,0.0,4473,8439,OPTIMAL,2.774623953157689e6,0.0,2.7746239531575614e6,0.0,1.2732925824820995e-7,40329,74541,299.0325414057479,1.2732925824820995e-11,0.003219875,0.005031417,0.013115084,0.03059725,0.037131625,0.027957667
synth/knobs/renew40_10_24_k_medoids_convex_0.01_economic,653657,10,24,k_medoids,convex,economic,0.01,78.74436210452129,891.7629620889371,0.0008906228964363556,1.0012800767385875e6,1.0622248575971347,10,1.0,1.0,0.0,0.0,0.195,106362,6946,0,0,OPTIMAL,2.792640305737728e6,0.0,2.792640305737728e6,0.0,0.0,4473,8439,OPTIMAL,2.7761542615214367e6,0.0,2.776154261521232e6,0.0,2.0463630789890885e-7,40329,74541,350.0428201948138,2.0463630789890885e-11,0.003270083,0.005011125,0.035309291,0.032518458,0.034600958,0.027957667
synth/knobs/renew40_10_24_hierarchical_convex_0.01_economic,653657,10,24,hierarchical,convex,economic,0.01,49.67118729149328,823.3788222271952,0.0006654888447463819,1.2372541308952898e6,1.0895239214408228,10,1.0,1.0,0.0,0.0,0.1875,44344,1741,0,0,OPTIMAL,2.769140972588099e6,0.0,2.769140972588099e6,0.0,0.0,4473,8439,OPTIMAL,2.7692896587410974e6,0.0,2.769289658740888e6,0.0,2.091837814077735e-7,40329,74541,121.22272751668649,2.091837814077735e-11,0.0037005,0.005640208,0.012905458,0.034515083,0.037117084,0.027957667
synth/knobs/renew40_10_24_chronological_convex_0.01_economic,653657,10,24,chronological,convex,economic,0.01,72.70772884177319,894.8128534255516,0.0005287443100799157,1.6923356646434786e6,1.0669201574690357,10,1.0,1.0,0.0,0.0,0.2,152366,15113,0,0,OPTIMAL,2.781856189057817e6,0.0,2.781856189057819e6,0.0,0.0,4473,8439,OPTIMAL,2.771884439390399e6,0.0,2.771884439389444e6,0.0,9.549694368615746e-7,40329,74541,207.7154158017306,9.549694368615746e-11,0.003629625,0.005584667,0.07455075,0.032980417,0.03929025,0.027957667
synth/knobs/renew40_10_24_convex_hull_convex_0.01_economic,653657,10,24,convex_hull,convex,economic,0.01,34.59284577834989,784.6454839383874,0.0010899391041234462,719898.4612717581,1.1029464286523045,10,1.0,1.0000000000000002,0.0,0.0,0.20666666666666667,32176,539,464,571,OPTIMAL,2.779286847511864e6,0.0,2.7792868475118633e6,0.0,0.0,4473,8439,OPTIMAL,2.7681406315673958e6,0.0,2.7681406315671545e6,0.0,2.41016095969826e-7,40329,74541,82.92182172545421,2.4101609596982598e-11,0.003451916,0.015798709,0.009598125,0.0507575,0.031862834,0.027957667
