name,seed,n_rep_periods,period_length,clustering_type,weight_type,normalization,tol,projection_error,sigma_max,sigma_min,kappa,stable_rank,numerical_rank,mean_weight_sum,max_weight_sum,frac_weight_sum_gt1,frac_weight_sum_lt1,weight_density,pgd_total_iters,pgd_max_iters_per_fit,cache_hits,cache_misses,termination_status,objective_value,cost_of_investment,cost_of_operations,cost_of_spillage,cost_of_borrow,n_variables,n_constraints,evaluation_termination_status,evaluated_objective_value,eval_cost_of_investment,eval_cost_of_operations,eval_cost_of_spillage,eval_cost_of_borrow,eval_n_variables,eval_n_constraints,total_spillage,total_borrow,time_to_preprocess,time_to_cluster,time_to_fit_weights,time_to_formulate_model,time_to_solve,time_to_read
synth/knobs/scale2_1_2880_k_means_dirac_0.01_economic,653657,1,2880,k_means,dirac,economic,0.01,0.0,1.0,1.0,1.0,1.0,1,1.0,1.0,0.0,0.0,1.0,0,0,0,0,OPTIMAL,892300.5957174249,0.0,892300.5957174249,0.0,0.0,40329,74901,N/A,,,,,,0,0,0.0,0.0,0.003090083,0.00407475,1.041e-6,0.117309042,0.108910291,0.028053375
synth/knobs/scale2_10_24_conical_hull_dirac_0.01_economic,653657,10,24,conical_hull,dirac,economic,0.01,440.3844137877482,1031.030556939061,0.0007748154600462897,1.33067886497446e6,1.2452905448216072,10,1.0,1.0,0.0,0.0,0.1,0,0,508,527,OPTIMAL,1.0296466347776949e6,0.0,1.0296466347776947e6,0.0,0.0,4473,8439,OPTIMAL,925074.1260063907,0.0,925074.1260023986,0.0,3.992681740783155e-6,40329,74541,9260.985083675052,3.992681740783155e-10,0.003479917,0.007868083,6.67e-7,0.030956208,0.014829375,0.028053375
synth/knobs/scale2_10_24_conical_hull_convex_0.01_economic,653657,10,24,conical_hull,convex,economic,0.01,71.20890606625586,1031.030556939061,0.0007748154600462897,1.33067886497446e6,1.2452905448216072,10,1.0,1.0,0.0,0.0,0.20583333333333334,21468,292,508,527,OPTIMAL,972430.2611169432,0.0,972430.2611169432,0.0,0.0,4473,8439,OPTIMAL,942526.961337061,0.0,942526.9613351509,0.0,1.9099388737231493e-6,40329,74541,9842.746261433336,1.9099388737231493e-10,0.003373791,0.007619292,0.006299166,0.0315755,0.021514166,0.028053375
synth/knobs/scale2_10_24_conical_hull_conical_0.01_economic,653657,10,24,conical_hull,conical,economic,0.01,66.90629523193341,1031.030556939061,0.0007748154600462897,1.33067886497446e6,1.2452905448216072,10,1.0019300081247318,1.0217006305148835,0.3,0.6166666666666667,0.20666666666666667,20951,320,508,527,OPTIMAL,970104.7331809136,0.0,970104.7331809136,0.0,0.0,4473,8439,OPTIMAL,942515.5958780415,0.0,942515.5958766681,0.0,1.3733369996771216e-6,40329,74541,9842.367412817168,1.3733369996771216e-10,0.003481833,0.008501625,0.023059958,0.030600041,0.028204667,0.028053375
synth/knobs/scale2_10_24_conical_hull_conical_bounded_0.01_economic,653657,10,24,conical_hull,conical_bounded,economic,0.01,71.16708876355126,1031.030556939061,0.0007748154600462897,1.33067886497446e6,1.2452905448216072,10,0.9988114991498459,1.0,0.0,0.625,0.20583333333333334,21792,292,508,527,OPTIMAL,970084.4657959072,0.0,970084.4657959072,0.0,0.0,4473,8439,OPTIMAL,943564.8906639345,0.0,943564.8906620425,0.0,1.8917489796876907e-6,40329,74541,9877.343905663023,1.8917489796876907e-10,0.003488208,0.007856584,0.041313292,0.03069425,0.023916083,0.028053375
synth/knobs/scale2_10_24_k_means_convex_0.01_economic,653657,10,24,k_means,convex,economic,0.01,172.63319951935986,1002.0643396446154,0.00014313984339784717,7.000596869869753e6,1.2447524254732028,10,1.0,1.0000000000000002,0.0,0.0,0.18583333333333332,25751,1592,0,0,OPTIMAL,864492.9055516733,0.0,864492.9055516731,0.0,0.0,4473,8439,OPTIMAL,901906.6689763303,0.0,901906.6689750117,0.0,1.318767317570746e-6,40329,74541,8488.736516095341,1.318767317570746e-10,0.00352725,0.005272375,0.194399292,0.030715458,0.025851417,0.028053375
synth/knobs/scale2_10_24_k_medoids_convex_0.01_economic,653657,10,24,k_medoids,convex,economic,0.01,119.96748257654693,991.9070950489161,0.0010060064175399634,985984.8583018734,1.2648435806242957,10,1.0,1.0000000000000002,0.0,0.0,0.19416666666666665,35287,1541,0,0,OPTIMAL,896462.4000672231,0.0,896462.4000672236,0.0,0.0,4473,8439,OPTIMAL,901706.0145976876,0.0,901706.0145966053,0.0,1.0822986951097846e-6,40329,74541,8482.048036815102,1.0822986951097846e-10,0.003612709,0.005233292,0.010538,0.032423833,0.025915958,0.028053375
synth/knobs/scale2_10_24_hierarchical_convex_0.01_economic,653657,10,24,hierarchical,convex,economic,0.01,97.86694462980554,990.8541024673443,0.0006411040510343603,1.5455433495837308e6,1.2637035077572278,10,1.0,1.0,0.0,0.0,0.19166666666666668,20534,503,0,0,OPTIMAL,885096.9382715499,0.0,885096.9382715499,0.0,0.0,4473,8439,OPTIMAL,901644.0435090724,0.0,901644.0435076356,0.0,1.4370016288012266e-6,40329,74541,8479.982333849432,1.4370016288012266e-10,0.0035285,0.005251666,0.006954917,0.0318175,0.024578167,0.028053375
synth/knobs/scale2_10_24_chronological_convex_0.01_economic,653657,10,24,chronological,convex,economic,0.01,160.10480441308357,982.9645047911473,0.00031130228515642555,3.157588465170501e6,1.2778594809985635,10,1.0,1.0,0.0,0.0,0.20083333333333334,81962,7071,0,0,OPTIMAL,888887.825190638,0.0,888887.8251906381,0.0,0.0,4473,8439,OPTIMAL,913353.283308635,0.0,913353.2833071435,0.0,1.4915713109076023e-6,40329,74541,8870.290327166393,1.4915713109076023e-10,0.003408542,0.005057917,0.025195583,0.031352042,0.028449417,0.028053375
synth/knobs/scale2_10_24_convex_hull_convex_0.01_economic,653657,10,24,convex_hull,convex,economic,0.01,77.6919433873854,1037.5096348514378,0.000763099022481589,1.3596002671808812e6,1.2407506078072674,10,1.0,1.0000000000000002,0.0,0.0,0.20583333333333334,20606,312,474,561,OPTIMAL,964655.408756037,0.0,964655.4087560368,0.0,0.0,4473,8439,OPTIMAL,936170.5288840624,0.0,936170.5288825796,0.0,1.482476363889873e-6,40329,74541,9630.86517968089,1.482476363889873e-10,0.003529583,0.012550125,0.006177584,0.03198725,0.021976625,0.028053375
