name,seed,n_rep_periods,period_length,clustering_type,weight_type,normalization,tol,projection_error,sigma_max,sigma_min,kappa,stable_rank,numerical_rank,mean_weight_sum,max_weight_sum,frac_weight_sum_gt1,frac_weight_sum_lt1,weight_density,pgd_total_iters,pgd_max_iters_per_fit,cache_hits,cache_misses,termination_status,objective_value,cost_of_investment,cost_of_operations,cost_of_spillage,cost_of_borrow,n_variables,n_constraints,evaluation_termination_status,evaluated_objective_value,eval_cost_of_investment,eval_cost_of_operations,eval_cost_of_spillage,eval_cost_of_borrow,eval_n_variables,eval_n_constraints,total_spillage,total_borrow,time_to_preprocess,time_to_cluster,time_to_fit_weights,time_to_formulate_model,time_to_solve,time_to_read
synth/knobs/sd30_1_2880_k_means_dirac_0.01_economic,653657,1,2880,k_means,dirac,economic,0.01,0.0,1.0,1.0,1.0,1.0,1,1.0,1.0,0.0,0.0,1.0,0,0,0,0,OPTIMAL,1.3641281624390967e6,0.0,1.3641281624390967e6,0.0,0.0,40329,74901,N/A,,,,,,0,0,0.0,0.0,0.00308,0.003983375,7.92e-7,0.079120041,0.173272458,0.029031875
synth/knobs/sd30_10_24_conical_hull_dirac_0.01_economic,653657,10,24,conical_hull,dirac,economic,0.01,549.4116216876831,618.6676323364205,0.00021742673059989924,2.8454074189933445e6,1.61247528136845,10,1.0,1.0,0.0,0.0,0.1,0,0,534,501,OPTIMAL,1.6409267664139224e6,0.0,1.6409267664139227e6,0.0,0.0,4473,8439,OPTIMAL,1.5412978684540445e6,0.0,1.5412978684533942e6,0.0,6.502887117676437e-7,40329,74541,23658.956072556408,6.502887117676437e-11,0.003355833,0.008225208,1.0e-6,0.032371375,0.012995917,0.029031875
synth/knobs/sd30_10_24_conical_hull_convex_0.01_economic,653657,10,24,conical_hull,convex,economic,0.01,140.87712763777972,618.6676323364205,0.00021742673059989924,2.8454074189933445e6,1.61247528136845,10,1.0,1.0,0.0,0.0,0.2025,12156,625,534,501,OPTIMAL,1.516941305967208e6,0.0,1.5169413059672078e6,0.0,0.0,4473,8439,OPTIMAL,1.438144227923056e6,0.0,1.438144227922247e6,0.0,8.094502845779061e-7,40329,74541,20220.50138818477,8.094502845779061e-11,0.003518667,0.0074265,0.003822458,0.030760708,0.029201167,0.029031875
synth/knobs/sd30_10_24_conical_hull_conical_0.01_economic,653657,10,24,conical_hull,conical,economic,0.01,69.59350457607178,618.6676323364205,0.00021742673059989924,2.8454074189933445e6,1.61247528136845,10,0.9737906830860742,1.044222917602166,0.45,0.4666666666666667,0.1775,13765,560,534,501,OPTIMAL,1.5047795084963264e6,0.0,1.5047795084963264e6,0.0,0.0,4473,8439,OPTIMAL,1.4336057610625199e6,0.0,1.4336057610618554e6,0.0,6.639311322942376e-7,40329,74541,20069.21915950509,6.639311322942376e-11,0.0032825,0.007256458,0.002538417,0.031155416,0.01875375,0.029031875
synth/knobs/sd30_10_24_conical_hull_conical_bounded_0.01_economic,653657,10,24,conical_hull,conical_bounded,economic,0.01,83.86723174735434,618.6676323364205,0.00021742673059989924,2.8454074189933445e6,1.61247528136845,10,0.9651612607563865,1.0,0.0,0.475,0.17083333333333334,12496,625,534,501,OPTIMAL,1.4932321908062277e6,0.0,1.4932321908062277e6,0.0,0.0,4473,8439,OPTIMAL,1.438951798003949e6,0.0,1.4389517980033853e6,0.0,5.638867150992155e-7,40329,74541,20247.42039088937,5.638867150992155e-11,0.0036365,0.007507125,0.004765875,0.031635042,0.016024125,0.029031875
synth/knobs/sd30_10_24_k_means_convex_0.01_economic,653657,10,24,k_means,convex,economic,0.01,168.63567619384315,646.3191186228418,0.00019920243128222485,3.2445342883749926e6,1.4895697045747693,10,1.0,1.0000000000000002,0.0,0.0,0.2025,17970,432,0,0,OPTIMAL,1.338574137676455e6,0.0,1.338574137676455e6,0.0,0.0,4473,8439,OPTIMAL,1.3658659070382733e6,0.0,1.3658659070377734e6,0.0,5.002220859751105e-7,40329,74541,17811.22402536902,5.002220859751105e-11,0.003604917,0.00532025,0.006245917,0.032228083,0.026006458,0.029031875
synth/knobs/sd30_10_24_k_medoids_convex_0.01_economic,653657,10,24,k_medoids,convex,economic,0.01,134.96673899754634,683.5993226431697,0.0008268122447018067,826789.0648979354,1.4273168286191622,10,1.0,1.0000000000000002,0.0,0.0,0.19666666666666666,22078,531,0,0,OPTIMAL,1.355635306941336e6,0.0,1.3556353069413358e6,0.0,0.0,4473,8439,OPTIMAL,1.3733691404308786e6,0.0,1.3733691404310567e6,0.0,-1.77351466845721e-7,40329,74541,18061.331805144997,-1.77351466845721e-11,0.003439333,0.005162666,0.006586042,0.031162333,0.025023041,0.029031875
synth/knobs/sd30_10_24_hierarchical_convex_0.01_economic,653657,10,24,hierarchical,convex,economic,0.01,100.65641056717358,621.0476360630161,0.0007129286787435159,871121.6908226593,1.6135937035085477,10,1.0,1.0000000000000002,0.0,0.0,0.20166666666666666,16028,361,0,0,OPTIMAL,1.3519142308234065e6,0.0,1.351914230823406e6,0.0,0.0,4473,8439,OPTIMAL,1.3686389994418917e6,0.0,1.3686389994417964e6,0.0,9.549694368615746e-8,40329,74541,17903.66043883637,9.549694368615746e-12,0.0033325,0.005232959,0.004825542,0.031489292,0.027117125,0.029031875
synth/knobs/sd30_10_24_chronological_convex_0.01_economic,653657,10,24,chronological,convex,economic,0.01,125.80896780542942,715.5073349245512,0.0005775557129856527,1.2388542245141387e6,1.4312469708938362,10,1.0,1.0000000000000002,0.0,0.0,0.19583333333333333,62619,9306,0,0,OPTIMAL,1.3602075656654746e6,0.0,1.360207565665475e6,0.0,0.0,4473,8439,OPTIMAL,1.3759455919371715e6,0.0,1.3759455919362346e6,0.0,9.367795428261161e-7,40329,74541,18147.213521984315,9.367795428261161e-11,0.003525958,0.005122334,0.036441625,0.030907083,0.026597542,0.029031875
synth/knobs/sd30_10_24_convex_hull_convex_0.01_economic,653657,10,24,convex_hull,convex,economic,0.01,85.6280394674709,614.3465410755047,0.0004151731176598082,1.4797358377593674e6,1.8024887947021369,10,1.0,1.0,0.0,0.0,0.2,16242,323,417,618,OPTIMAL,1.432262654159644e6,0.0,1.4322626541596442e6,0.0,0.0,4473,8439,OPTIMAL,1.3666444412124024e6,0.0,1.3666444412117747e6,0.0,6.275513442233205e-7,40329,74541,17837.175164502347,6.275513442233205e-11,0.003375083,0.012999542,0.004897708,0.031360958,0.021858542,0.029031875
