name,seed,n_rep_periods,period_length,clustering_type,weight_type,normalization,tol,projection_error,sigma_max,sigma_min,kappa,stable_rank,numerical_rank,mean_weight_sum,max_weight_sum,frac_weight_sum_gt1,frac_weight_sum_lt1,weight_density,pgd_total_iters,pgd_max_iters_per_fit,cache_hits,cache_misses,termination_status,objective_value,cost_of_investment,cost_of_operations,cost_of_spillage,cost_of_borrow,n_variables,n_constraints,evaluation_termination_status,evaluated_objective_value,eval_cost_of_investment,eval_cost_of_operations,eval_cost_of_spillage,eval_cost_of_borrow,eval_n_variables,eval_n_constraints,total_spillage,total_borrow,time_to_preprocess,time_to_cluster,time_to_fit_weights,time_to_formulate_model,time_to_solve,time_to_read
tyndp/gep_1_8760_k_means_dirac_0.01_economic,653657,1,8760,k_means,dirac,economic,0.01,0.0,1.0,1.0,1.0,1.0,1,1.0,1.0,0.0,0.0,1.0,0,0,0,0,OPTIMAL,6.6152486747575805e7,4.2178614801414296e7,2.397387194609671e7,0.0,0.0,1489306,3959534,N/A,,,,,,0,0,0.0,0.0,0.004507792,0.216082875,1.0e-6,7.269749791,72.347363291,0.272698583
tyndp/gep_10_24_k_means_dirac_0.01_economic,653657,10,24,k_means,dirac,economic,0.01,795162.5852082047,394916.88547886343,6165.403716107824,64.05369439913525,1.0420262707725945,10,1.0,1.0,0.0,0.0,0.1,0,0,0,0,OPTIMAL,5.0846251832241766e7,3.326131037469894e7,1.758494145754341e7,0.0,0.0,40906,141154,OPTIMAL,3.33466848375944e8,3.326131037469894e7,3.002055380012408e8,0.0,0.0,1489306,3959534,0.0,0.0,0.004991583,0.15948725,1.666e-6,0.503459334,1.506041084,0.272698583
tyndp/gep_10_24_k_means_convex_0.01_economic,653657,10,24,k_means,convex,economic,0.01,759932.5195570156,394916.88547886343,6165.403716107824,64.05369439913525,1.0420262707725945,10,1.0,1.0000000000000002,0.0,0.0,0.2843835616438356,158626,1382,0,0,OPTIMAL,5.1242580595026955e7,3.3602539807541214e7,1.764004078748588e7,0.0,0.0,40906,141154,OPTIMAL,3.2665217197701204e8,3.3602539807541214e7,2.9304963216948265e8,0.0,0.0,1489306,3959534,0.0,0.0,0.005191125,0.257508417,0.514092208,0.498792083,1.455372167,0.272698583
tyndp/gep_10_24_k_means_conical_0.01_economic,653657,10,24,k_means,conical,economic,0.01,737895.1974825858,394916.88547886343,6165.403716107824,64.05369439913525,1.0420262707725945,10,1.0028599138027983,1.3256969764572195,0.536986301369863,0.46301369863013697,0.2821917808219178,188442,1415,0,0,OPTIMAL,5.153535520535767e7,3.361104842423083e7,1.7924306781127054e7,0.0,0.0,40906,141154,OPTIMAL,3.313899860555187e8,3.361104842423083e7,2.977789376313584e8,0.0,0.0,1489306,3959534,0.0,0.0,0.005191042,0.1559575,0.495444875,0.500346666,1.576016916,0.272698583
tyndp/gep_10_24_k_means_conical_bounded_0.01_economic,653657,10,24,k_means,conical_bounded,economic,0.01,750567.5675180029,394916.88547886343,6165.403716107824,64.05369439913525,1.0420262707725945,10,0.9571632725309053,1.0,0.0,0.5287671232876713,0.27972602739726027,169302,1382,0,0,OPTIMAL,5.087626500907584e7,3.346546175247798e7,1.7410803256597545e7,0.0,0.0,40906,141154,OPTIMAL,3.2137260090209275e8,3.346546175247798e7,2.8790713914961976e8,0.0,0.0,1489306,3959534,0.0,0.0,0.005101667,0.152421917,0.5246825,0.502378875,1.780345958,0.272698583
tyndp/gep_10_24_k_medoids_dirac_0.01_economic,653657,10,24,k_medoids,dirac,economic,0.01,966197.167859801,409429.37745105295,22432.656758216155,18.25148852692608,1.0994717920063046,10,1.0,1.0,0.0,0.0,0.1,0,0,0,0,OPTIMAL,6.012170422255399e7,4.129881398211267e7,1.8822890240441166e7,0.0,0.0,40906,141154,OPTIMAL,9.392600382485344e7,4.129881398211267e7,5.262718984268513e7,0.0,0.0,1489306,3959534,0.0,0.0,0.00516875,0.623086958,1.584e-6,0.445896125,1.455227417,0.272698583
tyndp/gep_10_24_k_medoids_convex_0.01_economic,653657,10,24,k_medoids,convex,economic,0.01,794946.5812061435,409429.37745105295,22432.656758216155,18.25148852692608,1.0994717920063046,10,1.0,1.0000000000000002,0.0,0.0,0.45972602739726026,139453,588,0,0,OPTIMAL,6.115278213563398e7,4.114664684883965e7,2.0006135286794282e7,0.0,0.0,40906,141154,OPTIMAL,9.48688151520491e7,4.114664684883965e7,5.372216830322218e7,0.0,0.0,1489306,3959534,0.0,0.0,0.005227125,0.265688958,0.051679,0.937392625,1.654442291,0.272698583
tyndp/gep_10_24_k_medoids_conical_0.01_economic,653657,10,24,k_medoids,conical,economic,0.01,764400.9837128002,409429.37745105295,22432.656758216155,18.25148852692608,1.0994717920063046,10,0.9605685147500066,1.3620904571263774,0.36164383561643837,0.6109589041095891,0.4761643835616438,151377,655,0,0,OPTIMAL,6.097116132651462e7,4.1142300855880044e7,1.982886047063458e7,0.0,0.0,40906,141154,OPTIMAL,9.47582638875653e7,4.1142300855880044e7,5.361596303165745e7,0.0,0.0,1489306,3959534,0.0,0.0,0.004990291,0.146077,0.109217375,0.653304417,1.813196,0.272698583
tyndp/gep_10_24_k_medoids_conical_bounded_0.01_economic,653657,10,24,k_medoids,conical_bounded,economic,0.01,773256.2959329992,409429.37745105295,22432.656758216155,18.25148852692608,1.0994717920063046,10,0.923845019207637,1.0,0.0,0.6821917808219178,0.4586301369863014,145728,625,0,0,OPTIMAL,6.071585635476101e7,4.109286241754163e7,1.962299393721912e7,0.0,0.0,40906,141154,OPTIMAL,9.541069963893926e7,4.109286241754163e7,5.431783722140661e7,0.0,0.0,1489306,3959534,0.0,0.0,0.005236959,0.259820291,0.054760125,0.927690625,1.78634725,0.272698583
tyndp/gep_10_24_hierarchical_dirac_0.01_economic,653657,10,24,hierarchical,dirac,economic,0.01,1.0118008254262422e6,400631.8760417363,18756.41127533777,21.359729756433463,1.0827897012343377,10,1.0,1.0,0.0,0.0,0.1,0,0,0,0,OPTIMAL,5.314531122615578e7,3.587317735139807e7,1.727213387475762e7,0.0,0.0,40906,141154,OPTIMAL,2.3548273131379104e8,3.587317735139807e7,1.996095539623739e8,0.0,0.0,1489306,3959534,0.0,0.0,0.005180125,0.599983042,1.75e-6,0.547486917,1.492254125,0.272698583
