name,seed,n_rep_periods,period_length,clustering_type,weight_type,normalization,tol,projection_error,sigma_max,sigma_min,kappa,stable_rank,numerical_rank,mean_weight_sum,max_weight_sum,frac_weight_sum_gt1,frac_weight_sum_lt1,weight_density,pgd_total_iters,pgd_max_iters_per_fit,cache_hits,cache_misses,termination_status,objective_value,cost_of_investment,cost_of_operations,cost_of_spillage,cost_of_borrow,n_variables,n_constraints,evaluation_termination_status,evaluated_objective_value,eval_cost_of_investment,eval_cost_of_operations,eval_cost_of_spillage,eval_cost_of_borrow,eval_n_variables,eval_n_constraints,total_spillage,total_borrow,time_to_preprocess,time_to_cluster,time_to_fit_weights,time_to_formulate_model,time_to_solve,time_to_read
tyndp/p2x_1_8760_k_means_dirac_0.01_economic,653657,1,8760,k_means,dirac,economic,0.01,0.0,1.0,1.0,1.0,1.0,1,1.0,1.0,0.0,0.0,1.0,0,0,0,0,OPTIMAL,2.5796645974282894e7,0.0,2.5789826867125563e7,0.0,6819.107160000018,5492686,11353433,N/A,,,,,,0,0,0.0,0.0,0.007900542,0.613797041,1.0e-6,19.307577708,63.597630917,0.566440209
tyndp/p2x_10_24_k_means_dirac_0.01_economic,653657,10,24,k_means,dirac,economic,0.01,6.81762005618821e6,3.881364673508561e6,48298.41170888772,80.36215966899643,1.0876614027730742,10,1.0,1.0,0.0,0.0,0.1,0,0,0,0,OPTIMAL,1.6647483992734041e7,0.0,1.616268388583904e7,0.0,2.9525625101034194e-10,202712,415081,OPTIMAL,2.8165093285912436e7,0.0,2.7476829777182624e7,0.0,688263.5087333161,5492686,11336278,3.950453203426652e7,68826.35087333158,0.008518208,0.483489458,1.083e-6,1.312936959,1.699108208,0.566440209
tyndp/p2x_10_24_k_means_convex_0.01_economic,653657,10,24,k_means,convex,economic,0.01,6.303578992195481e6,3.881364673508561e6,48298.41170888772,80.36215966899643,1.0876614027730742,10,1.0,1.0000000000000002,0.0,0.0,0.2706849315068493,166936,1421,0,0,OPTIMAL,1.7140199836747933e7,0.0,1.6676619368821869e7,0.0,-8.990667125775476e-10,202712,415081,OPTIMAL,2.7287423867857594e7,0.0,2.7275486240701657e7,0.0,11937.627159011035,5492686,11336278,4.9942984830279216e7,1193.762715901103,0.009014042,0.440673541,0.087350292,1.257451833,2.039210875,0.566440209
tyndp/p2x_10_24_k_means_conical_0.01_economic,653657,10,24,k_means,conical,economic,0.01,6.078327100692554e6,3.881364673508561e6,48298.41170888772,80.36215966899643,1.0876614027730742,10,1.015756255505983,1.2487618414132067,0.5972602739726027,0.40273972602739727,0.27479452054794523,194809,1909,0,0,OPTIMAL,1.777070313567221e7,0.0,1.7334397898530472e7,0.0,-2.7574588031187487e-8,202712,415081,OPTIMAL,2.8606590874944612e7,0.0,2.7370021317122582e7,0.0,1.236569557825276e6,5492686,11336278,4.768986433987822e7,123656.95578252786,0.009025041,0.452073875,0.050411584,2.184613958,2.041089125,0.566440209
tyndp/p2x_10_24_k_means_conical_bounded_0.01_economic,653657,10,24,k_means,conical_bounded,economic,0.01,6.230450411621064e6,3.881364673508561e6,48298.41170888772,80.36215966899643,1.0876614027730742,10,0.974251889707614,1.0000000000000002,0.0,0.43561643835616437,0.2671232876712329,174142,1532,0,0,OPTIMAL,1.56131025719778e7,0.0,1.522287058820338e7,0.0,1.0487024775838257e-10,202712,415081,OPTIMAL,2.7324762788540397e7,0.0,2.7312310628543854e7,0.0,12452.159999703465,5492686,11336278,5.693311582656756e7,1245.2159999703456,0.008715458,0.465324292,0.239487334,1.993738375,2.416013916,0.566440209
tyndp/p2x_10_24_k_medoids_dirac_0.01_economic,653657,10,24,k_medoids,dirac,economic,0.01,8.2285226611346295e6,4.005112137818668e6,182473.06369333298,21.949059531053422,1.1130110815614043,10,1.0,1.0,0.0,0.0,0.1,0,0,0,0,OPTIMAL,2.2981945106763687e7,0.0,2.0233902386763677e7,0.0,0.0,202712,415081,OPTIMAL,2.817935110861071e7,0.0,2.7778422860714674e7,0.0,400928.2478992682,5492686,11336278,4.988315522960226e7,40092.82478992681,0.009038708,0.436640125,1.667e-6,1.218375,1.682938791,0.566440209
tyndp/p2x_10_24_k_medoids_convex_0.01_economic,653657,10,24,k_medoids,convex,economic,0.01,6.892303016789635e6,4.005112137818668e6,182473.06369333298,21.949059531053422,1.1130110815614043,10,1.0,1.0000000000000002,0.0,0.0,0.4073972602739726,160002,724,0,0,OPTIMAL,2.3187521071071435e7,0.0,2.095054933932361e7,0.0,-3.808356134402011e-10,202712,415081,OPTIMAL,2.7549453639831875e7,0.0,2.7536348679834753e7,0.0,13104.96000042767,5492686,11336278,4.577152460125416e7,1310.4960000427673,0.008713916,0.428568708,0.065025875,2.158159208,2.299096542,0.566440209
tyndp/p2x_10_24_k_medoids_conical_0.01_economic,653657,10,24,k_medoids,conical,economic,0.01,6.708066542661889e6,4.005112137818668e6,182473.06369333298,21.949059531053422,1.1130110815614043,10,0.9881468763449031,1.206649296193543,0.4657534246575342,0.5068493150684932,0.40328767123287673,170127,812,0,0,OPTIMAL,2.268161962218345e7,0.0,2.0607130441721957e7,0.0,-9.291399598308542e-8,202712,415081,OPTIMAL,2.7896608581336033e7,0.0,2.7716143839247227e7,0.0,180464.74209208658,5492686,11336278,5.568086753561021e7,18046.474209208693,0.008856375,0.436478042,0.055003666,1.34822925,1.982442625,0.566440209
tyndp/p2x_10_24_k_medoids_conical_bounded_0.01_economic,653657,10,24,k_medoids,conical_bounded,economic,0.01,6.789999691832274e6,4.005112137818668e6,182473.06369333298,21.949059531053422,1.1130110815614043,10,0.958746198630391,1.0000000000000002,0.0,0.5534246575342465,0.4005479452054794,166205,720,0,0,OPTIMAL,2.137151345412186e7,0.0,1.9584332225298613e7,0.0,-1.164365474286263e-7,202712,415081,OPTIMAL,2.770041642089364e7,0.0,2.7689885772716973e7,0.0,10530.64817991775,5492686,11336278,6.151167128632806e7,1053.064817991773,0.00876625,0.4716785,0.074456708,2.189650292,2.000807542,0.566440209
tyndp/p2x_10_24_hierarchical_dirac_0.01_economic,653657,10,24,hierarchical,dirac,economic,0.01,8.556972958591342e6,3.797670250843443e6,153060.41711389853,24.811576516333684,1.1423954097853726,10,1.0,1.0,0.0,0.0,0.1,0,0,0,0,OPTIMAL,2.839441329292407e7,0.0,2.7399312652924072e7,0.0,0.0,202712,415081,OPTIMAL,2.8710262789782032e7,0.0,2.8104366631125364e7,0.0,605896.1586597115,5492686,11336278,5.4569481522178896e7,60589.61586597118,0.008733667,0.509863,1.875e-6,1.233189292,1.710442875,0.566440209
