name,seed,n_rep_periods,period_length,clustering_type,distance,weight_type,projection_error,termination_status,objective_value,evaluation_termination_status,evaluated_objective_value,total_spillage,total_borrow,time_to_preprocess,time_to_cluster,time_to_fit_weights,time_to_formulate_model,time_to_solve,time_to_read
tyndp2024_1_8760_k_means_euclidean_dirac_1000_0.0001,522,1,8760,k_means,euclidean,dirac,0.0,OPTIMAL,2.323285434445553e7,N/A,,0.0,0.0,0.336302042,5.154107208,1.6083e-5,44.153827,104.0801875,1.226332083
tyndp2024_10_24_k_means_euclidean_dirac_1000_0.0001,522,10,24,k_means,euclidean,dirac,180.91419171826672,OPTIMAL,1.426121913619269e7,OPTIMAL,3.822596980590437e7,1.0535793739720505e8,1.7633330819426153e7,0.012765666,0.81559575,1.292e-6,3.158243166,2.452683,1.226332083
tyndp2024_10_24_k_medoids_euclidean_dirac_1000_0.0001,522,10,24,k_medoids,euclidean,dirac,232.71471489284738,OPTIMAL,2.062054646619528e7,OPTIMAL,3.596216721456849e7,1.2970186516188306e8,1.4387606931653e7,0.013001125,0.542764875,4.084e-6,2.089175375,2.146332,1.226332083
tyndp2024_10_24_hull_euclidean_dirac_1000_0.0001,522,10,24,hull,euclidean,dirac,249.8444172638333,OPTIMAL,1.703904309114629e7,OPTIMAL,5.410459591693947e7,1.3347878006271721e8,3.2977091225965798e7,0.013283791,3.003773083,1.417e-6,1.780287292,2.390305583,1.226332083
tyndp2024_10_24_k_means_euclidean_convex_1000_0.0001,522,10,24,k_means,euclidean,convex,173.93651291776732,OPTIMAL,1.400995483384908e7,OPTIMAL,2.840585343213033e7,9.237143504244085e7,7.9529212434052285e6,0.013142416,0.531644,11.955586166,1.7547225,3.222431292,1.226332083
tyndp2024_10_24_k_medoids_euclidean_convex_1000_0.0001,522,10,24,k_medoids,euclidean,convex,197.42250391968258,OPTIMAL,2.1098828393134005e7,OPTIMAL,2.6550488128907327e7,1.1722294292471464e8,5.174676679092898e6,0.013364209,0.486242709,10.655493542,1.850482334,3.392540459,1.226332083
tyndp2024_10_24_hull_euclidean_convex_1000_0.0001,522,10,24,hull,euclidean,convex,184.85995883433563,OPTIMAL,2.290503764939115e7,OPTIMAL,2.632515252853217e7,9.78338770278672e7,5.752235863601437e6,0.013290334,2.8976385,7.441994125,1.776578208,3.317527542,1.226332083
tyndp2024_10_24_k_means_euclidean_conical_bounded_1000_0.0001,522,10,24,k_means,euclidean,conical_bounded,172.87943818353682,OPTIMAL,1.3509615477646124e7,OPTIMAL,2.972234806330531e7,5.344174810515935e7,8.28655370722915e6,0.015101292,0.84172725,11.0631645,1.724640417,3.511484417,1.226332083
tyndp2024_10_24_k_medoids_euclidean_conical_bounded_1000_0.0001,522,10,24,k_medoids,euclidean,conical_bounded,196.20432991646427,OPTIMAL,2.026773892773947e7,OPTIMAL,2.6805854635716453e7,6.5198767855480015e7,4.622256271932943e6,0.013066834,0.580231125,11.153598667,1.818031958,3.5618785,1.226332083
tyndp2024_10_24_hull_euclidean_conical_bounded_1000_0.0001,522,10,24,hull,euclidean,conical_bounded,181.809821277012,OPTIMAL,2.3195538665461034e7,OPTIMAL,2.9765706892538466e7,9.87117954991451e7,9.180085652173843e6,0.013380375,3.103240792,8.087524959,1.787480208,3.618762583,1.226332083
tyndp2024_10_24_k_means_euclidean_conical_1000_0.0001,522,10,24,k_means,euclidean,conical,174.51795792290005,OPTIMAL,1.4437484162635062e7,OPTIMAL,3.3704075203521e7,1.0004911057283616e8,1.3149369129838077e7,0.0131735,0.685842792,7.511825,1.725855667,2.337762916,1.226332083
tyndp2024_10_24_k_medoids_euclidean_conical_1000_0.0001,522,10,24,k_medoids,euclidean,conical,208.36811099309753,OPTIMAL,2.1918469166236036e7,OPTIMAL,2.8299544503691714e7,1.1840103188228951e8,6.835850271863465e6,0.013083708,0.483545958,7.600886167,1.735930709,2.769564417,1.226332083
tyndp2024_10_24_hull_euclidean_conical_1000_0.0001,522,10,24,hull,euclidean,conical,244.03746328981984,OPTIMAL,5.895257979384786e7,OPTIMAL,3.2117226875291962e7,9.23670285523609e7,1.1843537324140005e7,0.013101542,7.961790792,0.046144083,1.804794959,3.653528333,1.226332083
tyndp2024_20_24_k_means_euclidean_dirac_1000_0.0001,522,20,24,k_means,euclidean,dirac,169.76561655188263,OPTIMAL,1.517402923859293e7,OPTIMAL,3.3147469320871882e7,9.16999946106193e7,1.2834597052632686e7,0.0130945,0.523204917,1.125e-6,3.273876333,5.253863417,1.226332083
tyndp2024_20_24_k_medoids_euclidean_dirac_1000_0.0001,522,20,24,k_medoids,euclidean,dirac,218.8250433899291,OPTIMAL,1.9544157262185417e7,OPTIMAL,3.430000276125387e7,7.013803044665873e7,1.2081483229534522e7,0.013034042,0.492905125,1.167e-6,3.277186542,4.220881084,1.226332083
tyndp2024_20_24_hull_euclidean_dirac_1000_0.0001,522,20,24,hull,euclidean,dirac,231.29958630768476,OPTIMAL,2.619031945987073e7,OPTIMAL,4.192857505129668e7,1.1752223158020733e8,2.1197426763173405e7,0.013148792,3.288653,1.0e-6,2.821118959,6.264098916,1.226332083
tyndp2024_20_24_k_means_euclidean_convex_1000_0.0001,522,20,24,k_means,euclidean,convex,161.46553332614934,OPTIMAL,1.5079467924134865e7,OPTIMAL,2.7348820530095194e7,8.633815534053494e7,7.201816550236531e6,0.012985208,0.522594625,15.227476375,2.809438125,7.846228333,1.226332083
